age_group,coef,se,pvalue,n_obs,status,variant
22-25,0.0080816930088088,0.0125571448493437,0.519839262339773,11208600,ok,floor
26-30,0.0130763471994544,0.0092473317649022,0.157342215001344,11208600,ok,floor
31-34,0.009091583350719,0.0088851029039384,0.306194881834469,11208600,ok,floor
35-40,-0.0044245878478714,0.0083428496522423,0.595872814330672,11208600,ok,floor
41-49,-0.0193200345371677,0.0089128411726143,0.0301843493654126,11208600,ok,floor
50+,0.0356706231812686,0.0143715561308943,0.0130636538785426,11208600,ok,floor
22-25,-0.0048504996538242,0.0139481684227993,0.728026645939067,38398230,ok,shrunk
26-30,0.0110527583253401,0.0117278720785087,0.345969922554455,38398230,ok,shrunk
31-34,0.0062275893498013,0.0114347556521855,0.586015334042586,38398230,ok,shrunk
35-40,-0.0115839575945917,0.0109100166362528,0.288338895564617,38398230,ok,shrunk
41-49,-0.0305117392574772,0.0113806919438292,0.0073400508476354,38398230,ok,shrunk
50+,0.0178121709475034,0.0160810176028078,0.268012146467112,38398230,ok,shrunk
