grp,n_workers,mean_daioe,edu_quartile
53R,11213.0,24.037055306142868,1
83T,22249.0,24.53130748189492,1
01Z,18806.0,25.91078498144209,1
53F,31809.0,26.871642710869565,1
63Z,25639.0,30.225719987992512,1
53B,56895.0,30.52856734994604,1
73T,1959.0,30.74094007718224,1
73O,48531.0,31.73537418277967,1
75T,500.0,32.3840600762,1
02Z,89973.0,32.556084054125684,1
75Y,1792.0,32.97860475061385,1
53I,44149.0,32.98312206146912,1
73X,851.0,33.89850769459459,1
93Z,16221.0,34.23155864316442,2
85P,4505.0,34.233508478867925,2
83R,39763.0,34.91934710201997,2
43Z,3176.0,35.71862421328715,2
75V,2444.0,36.04415130004092,2
53E,56412.0,38.21915738601574,2
75SB,769.0,38.269778918075424,2
75N,26029.0,38.27499920573975,2
75SA,2588.0,38.71208984733386,2
45X,1249.0,39.0274140578783,2
75SD,1020.0,39.05447970686274,2
74P,29136.0,39.2761894676771,2
73B,33240.0,39.55047281377467,2
85T,3450.0,39.69668751187827,2
75R,1038.0,39.73400950867052,2
03T,10027.0,40.36927827223596,2
83X,17031.0,40.96427773073101,2
75SP,412.0,41.13898060436894,2
23X,13734.0,41.51159624506699,2
23E,29807.0,42.053460594518064,2
33H,40702.0,42.08390959688688,2
75SX,488.0,43.01415931147541,2
65V,1014.0,43.123767298224855,2
64P,2122.0,43.55670146017436,2
75O,2910.0,43.64467033560137,2
13Z,3516.0,43.74653890084471,2
03A,146641.0,44.34995821799183,3
75F,1754.0,44.72183029890536,3
95Z,9063.0,44.72273541379565,3
75M,1187.0,44.78370775737152,3
75L,5240.0,44.8158885507252,3
55T,10227.0,45.115289987180994,3
03N,23928.0,45.33603217537112,3
33E,13160.0,46.17898837003039,3
55Q,1250.0,47.178536077472,3
84P,5742.0,48.13732703730756,3
14P,33172.0,50.59693599343784,3
24P,23441.0,51.59641051677787,3
75J,1182.0,51.78341751700508,3
75X,3566.0,51.96537881838194,3
75D,2193.0,52.55835478089376,3
75HS,730.0,53.7358911369863,3
83H,11574.0,54.49353309175566,3
25K,10399.0,55.89277257717185,3
75P,15941.0,56.09706526297598,3
75B,3068.0,57.96969357147981,3
54P,46183.0,58.41875633476907,3
34P,71091.0,59.20902529463083,4
65S,759.0,59.89188428035573,4
25T,738.0,60.06372681788618,4
15B,11550.0,61.04176710584416,4
44P,19261.0,61.14611796799543,4
75A,1707.0,61.85239055407148,4
15V,591.0,63.06507467005077,4
15F,2124.0,63.15669457283426,4
55K,1058.0,63.39424397331759,4
25H,9094.0,65.27446065451838,4
75H,11891.0,65.96492222986294,4
45B,6073.0,67.14654535034744,4
25M,6443.0,67.50595735169642,4
15G,21119.0,67.79929762736825,4
55L,1305.0,67.80592375852108,4
55H,8364.0,67.97966699572335,4
65J,518.0,69.23619733976834,4
35F,14173.0,69.70430115034925,4
55I,7152.0,69.85721796951482,4
15P,1966.0,71.1964177958291,4
35Y,16261.0,71.34548822156758,4
45G,1299.0,72.14564252315627,4
15H,9864.0,72.72523606922141,4
35S,13200.0,73.49022226471742,4
45K,1135.0,73.88980638334803,4
35J,14302.0,73.93334824636764,4
55J,4868.0,75.71160074147494,4
15S,1121.0,76.301820029438,4
45DL,6034.0,76.36371109412495,4
35M,8945.0,76.49932856033539,4
45Q,3763.0,76.98174372917089,4
35E,47807.0,77.62042096324618,4
55C,4723.0,77.63487136470464,4
55F,4141.0,78.39346085283746,4
35V,2282.0,79.09891761411043,4
35B,1127.0,80.0821947888199,4
35P,3193.0,80.24515415471343,4
55G,6201.0,81.52569803061118,4
55D,7270.0,82.13233065848694,4
45FM,2434.0,83.32528009128595,4
55A,2401.0,84.49796164989586,4
55B,5066.0,84.7684566182195,4
55E,11064.0,87.12916646672993,4
45DH,12650.0,87.54660156911225,4
