age_group,n_total,n_mapped,year,mapped_share
22-25,4536544,4414435,2019,0.97308325456559
26-30,7429163,7094950,2019,0.95501337095444
31-34,5671058,5363413,2019,0.9457517450888352
35-40,8047899,7645255,2019,0.9499690540350966
41-49,12748487,12272083,2019,0.9626305458836018
50+,23026896,22313451,2019,0.9690168835608586
22-25,4115973,4002816,2020,0.9725078371505352
26-30,7161810,6841522,2020,0.9552783444408606
31-34,5728108,5420266,2020,0.9462576473767604
35-40,8017718,7604577,2020,0.9484714977503574
41-49,12522336,12040038,2020,0.9614849817158716
50+,22747160,22022589,2020,0.9681467488688698
22-25,4186391,4060770,2021,0.9699930082976004
26-30,7057270,6740633,2021,0.95513321723556
31-34,6010867,5687908,2021,0.9462708125134028
35-40,8216139,7772452,2021,0.9459981141993824
41-49,12584741,12064895,2021,0.9586923560842452
50+,23029953,22276862,2021,0.967299499048044
22-25,4484713,4316733,2022,0.9625438684705132
26-30,7087976,6729674,2022,0.9494493209344952
31-34,6424569,6059528,2022,0.9431804686041976
35-40,8669123,8170768,2022,0.942513792917692
41-49,12824533,12245356,2022,0.954838355517507
50+,23659336,22850803,2022,0.9658260485416836
22-25,4482909,4312471,2023,0.9619804907929204
26-30,6799211,6444034,2023,0.947762027094026
31-34,6538495,6164594,2023,0.9428154338268976
35-40,8965047,8430626,2023,0.9403883772165388
41-49,12850377,12233335,2023,0.9519825760753944
50+,24494350,23636956,2023,0.9649962542382224
22-25,4369219,4210855,2024,0.9637546206770592
26-30,6445151,6102571,2024,0.946846862082828
31-34,6431353,6052386,2024,0.9410750739385632
35-40,9146135,8586247,2024,0.9387841968219364
41-49,12689791,12054447,2024,0.9499326663457264
50+,24740689,23859611,2024,0.9643874913912058
22-25,2098286,2034280,2025,0.9694960553518444
26-30,3096192,2941066,2025,0.9498978099549382
31-34,3106400,2929792,2025,0.9431470512490344
35-40,4697850,4414465,2025,0.9396777249167172
41-49,6329831,6005251,2025,0.94872216967562
50+,12560448,12110385,2025,0.9641682366743608
