trunc,assignment,age_group,gamma2,se,p,n_obs
2021,true,22-25,-0.009944809760808,0.0059119404912417,0.0925384759061813,8961480
2021,true,26-30,0.0119083530331824,0.0036172442083194,0.0009943996068174,11962260
2021,true,50+,0.0223104950499209,0.0036875459382255,1.44640648627379e-09,19698300
2021,asof,22-25,-0.369526714197541,0.0087681184787577,0.0,8569380
2021,asof,26-30,-0.177792779708461,0.0050397295470735,1.26647635966612e-272,11572080
2021,asof,50+,0.0194626113437978,0.0036922558988914,1.35536270708747e-07,19598520
2022,true,22-25,-0.009944809760808,0.0059119404912417,0.0925384759061813,8961480
2022,true,26-30,0.0119083530331824,0.0036172442083194,0.0009943996068174,11962260
2022,true,50+,0.0223098460909584,0.0036875388507715,1.44788292751138e-09,19698300
2022,asof,22-25,-0.304089101464448,0.0076697766700301,0.0,9196680
2022,asof,26-30,-0.124532002456806,0.0045277575420628,1.56717835868082e-166,11914680
2022,asof,50+,0.0200903280812627,0.0036823990272389,4.8760633399995e-08,19619460
