design,arm,trunc,age_group,tier,code_tag,gamma2,se,p,n_obs,status,elapsed_s
OL_daioe,true,2021,22-25,gate,9e331e6741bb,0.0061643754865111,0.0048505023210212,0.203773609453338,10341000,ok,97.6
OL_daioe,asof,2021,22-25,gate,9e331e6741bb,-0.156233737201519,0.0069600269520746,1.3601773460139603e-111,10136040,ok,90.6
OL_daioe,asof_legacy,2021,22-25,gate,9e331e6741bb,-0.156233737201519,0.0069600269520746,1.3601773460139603e-111,10136040,ok,90.4
OL_exact,true,2021,22-25,A,9e331e6741bb,0.0206303893307805,0.0045250823676877,5.13686411006233e-06,10877640,ok,95.7
OL_exact,asof,2021,22-25,A,9e331e6741bb,-0.0939147744253319,0.0063178314860122,5.55873758868158e-50,10597920,ok,95.6
OL_exact,true,2022,22-25,A,9e331e6741bb,0.0206303893307805,0.0045250823676877,5.13686411006233e-06,10877640,ok,96.2
OL_exact,asof,2022,22-25,A,9e331e6741bb,-0.109016559369779,0.0068665813294947,9.23345547855006e-57,10733340,ok,95.7
OL_daioe,true,2022,22-25,A,9e331e6741bb,0.0061643754865111,0.0048505023210212,0.203773609453338,10341000,ok,93.2
OL_daioe,asof,2022,22-25,A,9e331e6741bb,-0.13840311575782,0.0067754989307665,9.623620848425231e-93,10281540,ok,92.3
fresh_stock,true,2021,22-25,A,9e331e6741bb,0.006380460299878,0.0048540861881642,0.188694348830939,10344420,ok,90.0
fresh_stock,asof,2021,22-25,A,9e331e6741bb,-0.156432930134495,0.0069597655459431,7.008181483105842e-112,10140240,ok,90.0
fresh_stock,true,2022,22-25,A,9e331e6741bb,0.006380460299878,0.0048540861881642,0.188694348830939,10344420,ok,92.7
fresh_stock,asof,2022,22-25,A,9e331e6741bb,-0.138847584063994,0.0067741495891414,2.3048700910861802e-93,10288500,ok,90.4
entrant,true,2021,22-25,A,9e331e6741bb,-0.0126718067547534,0.005318901504588,0.0171997126925227,9526080,ok,83.2
entrant,asof,2021,22-25,A,9e331e6741bb,-0.396686685906692,0.0084781578716822,0.0,9144000,ok,83.0
entrant,true,2022,22-25,A,9e331e6741bb,-0.0126718067547534,0.005318901504588,0.0171997126925227,9526080,ok,84.0
entrant,asof,2022,22-25,A,9e331e6741bb,-0.2997488863582,0.0074727254674865,0.0,9631860,ok,87.2
entrant_share,true,2021,22-25,A,9e331e6741bb,-0.020567033578865,0.0051744256023126,7.04540567111328e-05,9619560,ok,86.4
entrant_share,asof,2021,22-25,A,9e331e6741bb,-0.356597439850516,0.008021437917029,0.0,9298620,ok,83.4
entrant_share,true,2022,22-25,A,9e331e6741bb,-0.020567033578865,0.0051744256023126,7.04540567111328e-05,9619560,ok,86.5
entrant_share,asof,2022,22-25,A,9e331e6741bb,-0.249558804767425,0.006751352261398,4.2967449447930403e-299,9706860,ok,87.9
expband,true,2021,22-25,A,9e331e6741bb,0.0049371537390767,0.0062891761048143,0.432439538586896,8163900,ok,71.8
expband,asof,2021,22-25,A,9e331e6741bb,-0.437138204576475,0.0108173745714381,0.0,7834260,ok,73.6
expband,true,2022,22-25,A,9e331e6741bb,0.0049371537390767,0.0062891761048143,0.432439538586896,8163900,ok,71.7
expband,asof,2022,22-25,A,9e331e6741bb,-0.40187890210474,0.0098974393070092,0.0,8657520,ok,80.6
enrol,true,2021,22-25,A,9e331e6741bb,-0.0126718067547534,0.005318901504588,0.0171997126925227,9526080,ok,84.8
enrol,asof,2021,22-25,A,9e331e6741bb,-0.397592424861037,0.0084901626732404,0.0,9144240,ok,84.2
enrol,true,2022,22-25,A,9e331e6741bb,-0.0126718067547534,0.005318901504588,0.0171997126925227,9526080,ok,86.0
enrol,asof,2022,22-25,A,9e331e6741bb,-0.300375291761945,0.0074649709628396,0.0,9631980,ok,86.7
full,true,2021,22-25,A,9e331e6741bb,-0.0072426471199262,0.0054440499711056,0.18339358955463,9445020,ok,87.2
full,asof,2021,22-25,A,9e331e6741bb,-0.50022859590174,0.0087816239004789,0.0,8913180,ok,87.1
full,true,2022,22-25,A,9e331e6741bb,-0.0072426471199262,0.0054440499711056,0.18339358955463,9445020,ok,84.4
full,asof,2022,22-25,A,9e331e6741bb,-0.362623470026003,0.0075567326169345,0.0,9567900,ok,90.8
OL_exact,true,2021,26-30,B,9e331e6741bb,0.029174530034714,0.0033104561968895,1.2201159540854798e-18,13135140,ok,119.0
OL_exact,asof,2021,26-30,B,9e331e6741bb,-0.104637681660984,0.0050551334520529,3.51498442283376e-95,12794940,ok,119.2
OL_exact,true,2021,50+,B,9e331e6741bb,0.0109715516903038,0.0027668617522141,7.3290945103126e-05,23120520,ok,214.1
OL_exact,asof,2021,50+,B,9e331e6741bb,0.0096582708753078,0.0027737723551141,0.0004976866841018,23017800,ok,227.6
OL_exact,true,2022,26-30,B,9e331e6741bb,0.029174530034714,0.0033104561968895,1.2201159540854798e-18,13135140,ok,117.9
OL_exact,asof,2022,26-30,B,9e331e6741bb,-0.069985078043102,0.0042850637667997,5.81209998259408e-60,12903660,ok,115.3
OL_exact,true,2022,50+,B,9e331e6741bb,0.0109715516903038,0.0027668617522141,7.3290945103126e-05,23120520,ok,213.6
OL_exact,asof,2022,50+,B,9e331e6741bb,0.0100241244144325,0.0027672539693353,0.0002918726708587,23002560,ok,210.2
OL_daioe,true,2021,26-30,B,9e331e6741bb,0.035280316647061,0.0035479835509097,2.68481977133141e-23,12097080,ok,108.9
OL_daioe,asof,2021,26-30,B,9e331e6741bb,-0.0842553611430786,0.0055181102988434,1.23273111522351e-52,11849280,ok,112.3
OL_daioe,true,2021,50+,B,9e331e6741bb,0.0210553543903223,0.0034804151638493,1.45145115089942e-09,21359580,ok,203.6
OL_daioe,asof,2021,50+,B,9e331e6741bb,0.0188436559056714,0.0034951986141839,6.99507162583085e-08,21265740,ok,201.2
OL_daioe,true,2022,26-30,B,9e331e6741bb,0.035280316647061,0.0035479835509097,2.68481977133141e-23,12097080,ok,112.0
OL_daioe,asof,2022,26-30,B,9e331e6741bb,-0.0583598293405342,0.0049258214968977,2.2108505337698e-32,12046860,ok,110.2
OL_daioe,true,2022,50+,B,9e331e6741bb,0.0210553543903223,0.0034804151638493,1.45145115089942e-09,21359580,ok,210.8
OL_daioe,asof,2022,50+,B,9e331e6741bb,0.0193191151220691,0.0034869176652371,3.01684431545703e-08,21265560,ok,207.3
OL_exact,true,2022,31-34,C,9e331e6741bb,-0.0015994784322937,0.0028638173096188,0.576494312215393,11368200,ok,107.0
OL_exact,asof,2022,31-34,C,9e331e6741bb,-0.0338421948796265,0.003122322755059,2.25437439740055e-27,11243820,ok,103.0
OL_exact,true,2022,35-40,C,9e331e6741bb,,,,13330380,no_output,123.1
OL_exact,asof,2022,35-40,C,9e331e6741bb,-0.0137861079002773,0.0024707387432815,2.40862619626805e-08,13172940,ok,121.8
OL_exact,true,2022,41-49,C,9e331e6741bb,0.0029517563714753,0.0017577801535448,0.0931028823902254,16908360,ok,158.4
