grp,n_workers,score,quartile
01Z,103475,24.89447201965006,1
83T,54431,26.432462915933016,1
63Z,76579,29.203955499807,1
53R,31549,29.531731996459797,1
53F,99950,30.674726290252025,1
53B,145591,31.31489710781573,1
53I,237534,32.79993987254999,1
73O,227391,33.1585931172082,1
75T,3609,33.640338145497374,1
02Z,394953,33.76571657719151,2
75Y,8039,33.79241541056101,2
73T,11175,34.22878460201164,2
83R,104893,36.033777928087765,2
73X,12063,36.216422102522586,2
93Z,68709,37.56528282138817,2
75V,9093,39.40398060439789,2
83X,86363,39.7574268521236,2
03T,19704,39.86108336932298,2
45X,3635,40.245920258910594,2
75N,61685,40.56926812915506,2
75SD,16414,40.85406546511393,2
75SB,5742,41.30178334804946,2
74P,46022,41.399916722819526,2
53E,158004,41.70807835156775,2
23X,21044,42.12303093897405,2
73B,98284,42.66488751994241,2
75R,4105,42.68415490643119,2
75SA,17666,43.15106381044266,2
85T,10726,43.35207384020977,2
75SP,5354,43.96656144155772,3
13Z,9108,44.256059652941374,3
85P,21971,44.80662437683537,3
23E,59646,44.9887472164068,3
95Z,31491,45.044495296367536,3
64P,3543,45.31166262951171,3
75SX,24183,45.62496393896125,3
65V,3752,46.39961083576759,3
03A,376960,46.463042946271855,3
75M,8527,46.55983077984051,3
75L,18264,48.65084911381844,3
75X,12366,48.94960864765648,3
55T,20446,48.9746635669461,3
03N,68283,49.28975937099497,3
43Z,21059,50.02927879747709,3
75F,12542,50.500941728329614,3
84P,9329,51.234987922457925,3
33H,229638,51.97805386584119,3
53A,39493,52.72566592726509,3
75O,18698,52.83476461771205,3
75HS,23593,53.56301020926969,3
14P,59170,53.56549832021413,3
75J,5674,53.62972474091998,3
75D,11270,55.13957217096717,3
83H,19786,55.95875684268473,3
15V,12436,57.23668135663075,3
25K,29046,58.38999487967293,3
75P,50078,58.48045117793841,3
24P,57425,58.57209937406739,3
75B,11921,59.038760145315,3
65S,2956,60.043907495186055,3
33E,119439,60.592142647819216,4
15B,72077,61.69467298596349,4
25T,6736,62.14991894180078,4
15F,16959,62.18849958078661,4
54P,87054,62.66889667637329,4
55L,3236,63.56472519027194,4
65J,4448,64.27886712108364,4
55Q,68105,64.44549985928478,4
34P,148381,64.55057154887169,4
75A,5091,65.17646860856414,4
15S,20618,65.9398296294985,4
75H,33120,66.12083681328502,4
55K,4520,66.49980089476327,4
44P,41526,67.03470922126596,4
15G,103516,67.77311484868214,4
25H,31505,67.81947866005491,4
25M,12807,68.28892289790818,4
15P,22304,68.77897714642575,4
55H,18121,69.04967768559627,4
55I,22166,70.1175384403176,4
45B,20026,70.73207217646261,4
45Q,13571,70.84089024134994,4
35F,37511,70.86667908144705,4
15H,67190,72.36655492259965,4
35Y,44047,72.60314270927736,4
35S,45134,73.224082200672,4
35J,47047,74.25951591732607,4
45G,4616,74.4251882079246,4
45K,7093,74.97793743930636,4
55J,28056,76.1684220327634,4
55G,15755,76.30901901514758,4
35E,158581,76.75749409429831,4
45DL,20516,76.89380130752437,4
35V,13072,77.53306230239443,4
55C,18714,77.58364386250294,4
35M,19831,77.63453721579346,4
35P,15354,77.76005893038948,4
55F,16188,78.14741922340129,4
35B,7134,78.90719931812448,4
55D,28130,80.17202846535193,4
45FM,9780,82.42413229517076,4
55B,12428,82.71903626148615,4
55A,8423,83.29437194671375,4
55E,42742,86.38846331169506,4
45DH,35711,87.04534935793873,4
