grp,n_workers,score,quartile
01Z,90319,0.1652609541234706,1
13Z,7683,0.2009778320367908,1
53R,30308,0.2030247322206448,1
75V,8895,0.2034740044752271,1
63Z,68707,0.2228489319978388,1
53B,140081,0.2293340388914446,1
53I,219552,0.2341886174259808,1
53F,95175,0.2388959963614539,1
02Z,345861,0.2455482864221125,2
73B,73106,0.2501250705448498,2
83T,52448,0.2517105517085666,2
83R,91791,0.2556677258962591,2
23X,17925,0.2662423317915562,2
93Z,58836,0.2685682361488362,2
45X,2879,0.2698967527234241,2
53E,141222,0.2712777609912982,2
15B,69889,0.2746078231108108,2
83X,68998,0.2765315077017079,2
03T,17430,0.2795176110614707,2
75L,17657,0.2862202959094438,2
95Z,26094,0.2930528434537049,2
75T,3487,0.2938768796418364,2
73X,6506,0.2962312823585394,2
15F,16060,0.2963187368375957,2
73T,10234,0.2964201893140698,2
65V,3702,0.3012726210930518,2
75D,10853,0.3092968900105641,2
14P,49617,0.3154897148524266,2
23E,50009,0.3182789272817522,2
64P,3288,0.3235036001746767,2
55T,18563,0.3254064752708603,2
75R,4005,0.3329027375455344,2
73O,60750,0.3354021892343885,3
15G,98708,0.3389498293051134,3
03A,319542,0.3409389859800715,3
74P,28935,0.342325553500076,3
03N,57439,0.3426036666807148,3
75F,10226,0.3442699272770859,3
75N,58818,0.3499489692905598,3
75X,9162,0.3528418986791738,3
75SD,16202,0.3532771140240802,3
75SB,5679,0.353574663419372,3
43Z,16436,0.3540520108455487,3
15H,65537,0.3591413971065607,3
75SA,17500,0.3593229763913363,3
53A,35484,0.3599639722365844,3
15P,21583,0.3611043047361667,3
75SP,5208,0.3622339802543197,3
75SX,23150,0.3651419403044091,3
85P,21674,0.3673096686268262,3
15V,12005,0.3685752674001916,3
85T,10345,0.3698125031040669,3
84P,8452,0.3699252184466305,3
25K,26039,0.3724990513374149,3
75Y,1873,0.3744431652922435,3
75B,11373,0.3854118775122905,3
54P,69050,0.3911499122960115,3
75M,8452,0.3913323240590518,3
25T,6456,0.3921063807466629,3
44P,27214,0.3967300975930607,3
33H,199222,0.3998606046403054,4
75P,48044,0.4028382084476852,4
75O,15031,0.4034601961367915,4
55L,2699,0.405780087564636,4
65S,2849,0.4058875761240726,4
24P,49001,0.4064737570599944,4
15S,20214,0.4123316034989596,4
75HS,1522,0.4159584532512353,4
45Q,10297,0.418300677708802,4
65J,4280,0.4221171343402914,4
55Q,59333,0.423119013180831,4
83H,17769,0.423610479383348,4
45DL,9237,0.4277919506296636,4
55K,4299,0.4326827573975665,4
75J,5554,0.4327412394341179,4
45B,19071,0.4413326693615779,4
25M,11063,0.4435227214731621,4
33E,108397,0.4483098812864976,4
55J,18731,0.4487788983637398,4
55H,17595,0.4489071070130483,4
45K,6707,0.4517000841981531,4
75H,10696,0.4521528996436887,4
55I,20788,0.4523738748924528,4
25H,28179,0.4526396135238952,4
55G,12031,0.4526519622152729,4
45G,4298,0.4538430570332654,4
75A,5011,0.4555844388362474,4
35P,14966,0.4591895742832639,4
34P,133945,0.4620074235922009,4
55F,15344,0.470802478522015,4
55C,17918,0.4741379163545616,4
35J,45451,0.4753050335024733,4
55A,8265,0.4763371674954702,4
35F,35010,0.4784272483507197,4
35S,41735,0.4789748062478989,4
45DH,14612,0.4841562477754127,4
55D,25151,0.4910001053957238,4
45FM,8081,0.4928418425235668,4
35B,6894,0.4956302865707352,4
55B,10588,0.5006704170998303,4
55E,27877,0.5109696886740999,4
35E,147373,0.5157682014311656,4
35Y,41334,0.5355334146692187,4
35M,18439,0.5406882361509268,4
35V,12477,0.6106168384505308,4
