grp,n_workers,score,quartile
75M,3044,0.0032851511169513,1
75N,49697,0.0040042658510574,1
75R,1806,0.0066445182724252,1
83T,16631,0.007696470446756,1
75SB,2056,0.0092412451361867,1
85P,2919,0.0092497430626927,1
75B,5030,0.0099403578528827,1
75SA,6262,0.0113382305972532,1
75HS,23593,0.0119103123807909,1
73O,38519,0.014122900386822,1
15B,27043,0.0176015974559035,1
75V,3426,0.0183887915936952,1
75T,693,0.0187590187590187,1
53R,11043,0.0208276736394095,1
75Y,3551,0.0222472542945649,1
01Z,103475,0.0226721430297173,1
73T,4109,0.0236067169627646,1
75D,3866,0.0237972064148991,1
75SP,1043,0.024928092042186,1
75SD,2348,0.0251277683134582,1
93Z,634,0.0252365930599369,1
53F,19701,0.0260900461905487,1
75F,2364,0.0274957698815566,1
75J,2160,0.0296296296296296,1
75SX,1479,0.0297498309668695,1
83R,17882,0.0314841740297505,1
02Z,76139,0.0323487306111191,2
73B,28910,0.0409892770667589,2
75L,8299,0.0416917700927822,2
53B,44779,0.0416936510417829,2
63Z,20795,0.0433758114931473,2
13Z,9108,0.0476504172156346,2
75P,28023,0.0492809477928844,2
75O,4781,0.0506170257268353,2
23X,2451,0.0530395756833945,2
65V,960,0.065625,2
53E,37897,0.0673931973507137,2
33H,28381,0.0684260596878193,3
74P,48276,0.0721476510067114,3
83X,22029,0.0725861364564891,3
53I,18062,0.0790610120695382,3
75H,22097,0.0839480472462325,3
73X,12063,0.0843073862223327,3
23E,26237,0.0915882151160574,3
03A,131229,0.1041614277331992,3
03N,44273,0.1118740541639373,3
03T,32914,0.1224706811691073,3
15F,5852,0.1384142173615858,3
85T,4013,0.1460254173934712,3
33E,72791,0.147422071409927,3
45X,3635,0.1568088033012379,3
55T,11448,0.1890286512928022,3
55Q,2738,0.1939371804236669,3
25T,1085,0.1972350230414746,3
84P,7197,0.1985549534528275,3
64P,2919,0.2137718396711202,3
75A,2470,0.2141700404858299,3
14P,57308,0.2336323026453549,3
95Z,667,0.2338830584707646,3
24P,28692,0.2537641154328732,4
53A,39493,0.254804648925126,4
83H,11340,0.2753086419753086,4
43Z,21059,0.2925590009022271,4
25K,10734,0.2993292342090553,4
15V,983,0.3041709053916582,4
75X,3614,0.3408965135583841,4
55H,11080,0.3755415162454874,4
54P,65857,0.382677619691149,4
34P,105524,0.400117508813161,4
55K,1257,0.4280031821797931,4
44P,25867,0.4307805311787219,4
65S,1255,0.4374501992031872,4
65J,844,0.4727488151658768,4
55I,9840,0.4971544715447154,4
45B,10095,0.5094601287766221,4
35F,22765,0.5197452229299363,4
25H,10151,0.5362033297212098,4
25M,5917,0.5416596248098698,4
55L,1560,0.5487179487179488,4
15P,3099,0.5827686350435625,4
15H,17497,0.588043664628222,4
55C,7440,0.5887096774193549,4
55J,5903,0.618499068270371,4
35S,20552,0.6220319190346438,4
45G,2291,0.6499345264076822,4
35Y,17744,0.6618011722272318,4
55F,7177,0.6675491152292043,4
15S,2637,0.6738718240424725,4
45K,1812,0.6843267108167771,4
35M,10476,0.7445589919816724,4
55G,7390,0.754533152909337,4
55D,12317,0.7553787448242267,4
45DL,6608,0.763771186440678,4
15G,28691,0.7850196925865254,4
55B,8332,0.7933269323091695,4
35E,57721,0.8078169123889053,4
55E,18028,0.8107388506767251,4
45Q,4906,0.8151243375458622,4
55A,4105,0.8160779537149817,4
45DH,15039,0.823126537668728,4
35J,18599,0.8462820581751707,4
45FM,4369,0.8603799496452278,4
35B,1985,0.908816120906801,4
35V,5385,0.9595171773444754,4
35P,6649,0.9691682959843584,4
