grp,n_workers,score,quartile
01Z,164962,24.14820394424316,1
83T,106969,26.421627973648253,1
63Z,151821,29.68930164025484,1
53R,62125,30.223362493359357,1
53F,198780,31.20629315408608,1
73O,533400,32.561145150227745,2
53B,276649,32.69220495625479,2
75Y,24655,32.991454520919085,2
53I,446657,33.001864990029645,2
73T,23900,33.311235874448535,2
02Z,686174,33.35197081090281,2
75T,7691,33.42158896007021,2
73X,22550,34.90086555166874,2
83R,216456,36.39196780906808,2
93Z,136264,37.86712096850049,2
75V,18339,39.40147666235182,2
83X,173107,39.71363149261296,2
75N,166353,40.26353548621227,2
03T,41183,40.30140019635068,2
75SD,39393,40.75304158435763,2
75SB,15308,40.80525215668278,2
45X,7543,41.12683279821291,2
74P,85651,41.6380298958352,2
75R,9729,41.96945161381437,2
53E,319715,41.985229925155245,2
23X,40612,42.336378010566825,3
73B,227443,42.625938813745336,3
85T,23534,42.677899607159006,3
75SA,45876,42.71870587554844,3
75SP,13015,43.84521322935844,3
13Z,16199,44.116617824673135,3
23E,113658,45.25026807405849,3
75SX,54206,45.4206193764325,3
85P,24112,45.66372865919874,3
03A,731152,46.12071344339064,3
95Z,63831,46.185311068856194,3
75M,21893,46.33982910643128,3
65V,8645,46.57218386857144,3
64P,6654,48.55625652642019,3
75L,45688,48.76304433208829,3
03N,124153,49.262367441094376,3
75F,27579,49.51767510887088,3
55T,47685,49.85583940358352,3
43Z,42047,50.214528336669446,3
75X,29174,50.30000481321485,3
33H,439538,50.45156822009869,3
75O,46162,52.36016283187946,3
53A,59173,52.41316723779951,3
75HS,58992,53.49126408816619,3
84P,18110,53.52825035953672,3
75J,13254,53.58973926647503,3
75D,24791,54.54881083541608,3
14P,123396,55.32000985075708,3
83H,41583,56.54739573775893,3
15V,25911,57.432122752917294,3
75P,130997,58.1171311428477,3
75B,30788,59.2690005503404,4
25K,60445,59.57862055553213,4
33E,233959,59.69791248426545,4
24P,108256,59.77970604839483,4
65S,7126,59.79165893896014,4
15B,170407,61.71606556083542,4
25T,14847,62.44127829786085,4
15F,42224,62.70673699386416,4
75A,12985,64.22176390345014,4
65J,9960,64.84608356731526,4
55Q,126277,64.987868815847,4
55L,6909,65.00038664700391,4
54P,166393,66.05097482016089,4
75H,88403,66.06957241080246,4
15S,51067,66.24785482039674,4
34P,284248,66.69186738877389,4
55K,10662,66.91252859430594,4
15G,260074,68.46207855800434,4
25H,67858,68.4905201051792,4
25M,24608,68.68768242998415,4
44P,79840,69.2506870541835,4
15P,50336,69.61236178187599,4
55H,43104,70.19628838359526,4
45B,49754,71.18691284554086,4
35F,94675,71.22670540503566,4
45Q,29198,71.54486273294815,4
55I,51342,71.98504219023899,4
15H,179844,72.64075674469657,4
35Y,85643,73.2037736158529,4
35S,96721,74.36585684157629,4
35J,103844,74.95417781198856,4
45K,16741,75.03441252606176,4
45G,11433,75.49697863961515,4
55J,62720,76.43344094993829,4
45DL,41178,77.44998332411967,4
35E,336338,77.59560223472967,4
55G,37103,77.74558206061747,4
55C,41994,77.81321257196457,4
55F,37582,77.99023139514341,4
35V,33073,78.17662477299913,4
35P,37597,78.43271232302045,4
35M,43875,78.50582670095135,4
35B,17790,79.35433618610456,4
55D,64622,80.71683966645197,4
55B,28332,83.11375389310038,4
55A,18141,83.19297003104569,4
45FM,22946,83.31500380034517,4
55E,92684,86.14609119517716,4
45DH,82592,87.31188787617833,4
