grp,n_workers,score,quartile
01Z,54150,24.549395136445057,1
83T,34971,26.55444200237711,1
53R,20960,30.2513121044022,1
63Z,46873,30.61248959564845,1
53F,67200,31.197310296951784,1
53B,92886,32.06152749868506,1
73O,179785,32.68614237909036,1
53I,154710,33.0597981431762,1
75T,2702,33.2039416196151,1
73T,8024,33.287865885715355,1
75Y,7254,33.38939999921423,1
02Z,241097,33.46704701152325,2
73X,7948,35.060530875756164,2
83R,73948,36.16865380295261,2
93Z,47057,37.86497002074059,2
75V,6257,39.596218620057535,2
83X,60110,39.763454877313926,2
03T,12841,40.17538934600965,2
75N,54343,40.27315948391384,2
45X,2530,40.651320173395256,2
75SD,13130,40.84858053086062,2
75SB,4966,40.9596637182642,2
53E,108961,42.03083563998367,2
74P,28752,42.03555626747322,2
75R,3242,42.11492747134485,2
85P,18859,42.18940420382947,2
23X,14213,42.3603315031028,2
73B,74658,42.53596654874696,2
75SA,14872,42.71785663781469,3
85T,7567,42.72958810955861,3
75SP,4339,44.00704772539756,3
13Z,6738,44.54616073340161,3
23E,39368,45.11154973988747,3
75SX,18687,45.41160562233103,3
95Z,21374,45.79410126229905,3
03A,251617,46.18516064309113,3
75M,7261,46.47969510790525,3
65V,2882,47.19124560683554,3
75L,15031,48.58678063841927,3
64P,2245,49.03897121021381,3
03N,42462,49.60023649842424,3
75F,9432,49.79824858532973,3
75X,9589,49.91604340755032,3
55T,15335,49.97822958414476,3
43Z,14634,50.33228312306,3
33H,153619,50.95342188416101,3
75O,15116,52.85050997827335,3
84P,5975,53.129421138068615,3
75HS,19369,53.569740149006144,3
75J,4390,53.59260547760364,3
53A,21382,53.62848713566552,3
75D,8561,54.767157668368185,3
14P,41373,55.138381631219886,3
83H,13751,56.39509647983929,3
15V,8731,58.10223356048333,3
75P,42590,58.248287210934485,3
75B,10199,59.204380783321895,3
25K,20017,59.519571365456855,3
24P,37113,59.568898503364856,3
33E,79051,60.65649397451747,4
65S,2269,61.08183804441163,4
15B,57154,61.815734361641006,4
25T,4849,62.39109567939369,4
15F,13947,62.63438766176096,4
75A,4068,64.87097872249262,4
55L,2278,64.944319761554,4
55Q,44542,65.48602406978964,4
54P,56055,66.00941291349979,4
75H,28539,66.10493518778513,4
15S,16277,66.32215653194692,4
34P,97119,66.93527049131735,4
55K,3519,67.19842286060529,4
65J,3131,67.81530846358352,4
25H,22449,68.52059963488485,4
15G,84832,68.52090537563832,4
25M,8214,68.62172425900414,4
44P,27078,69.35896368464878,4
15P,17237,69.6725776240355,4
55H,14022,70.09279501601698,4
35F,30498,71.2446268057676,4
45B,16025,71.29685665892919,4
45Q,9742,71.85509040917677,4
55I,16694,72.0798224237798,4
15H,57408,72.80371272606953,4
35Y,28243,73.56889856463229,4
35S,31764,74.53259580872214,4
35J,34532,75.04323370883237,4
45K,5638,75.31567937144376,4
45G,3717,75.77565213491525,4
55J,21096,76.6222428569691,4
45DL,13801,77.61365514228896,4
55G,11826,77.63365240651446,4
35E,111161,77.7894950640927,4
55C,14093,78.18806448895764,4
35V,10740,78.21595255063315,4
55F,12416,78.40118577443138,4
35P,12380,78.51508525628432,4
35M,14179,78.54571305223922,4
35B,5928,79.35427076632928,4
55D,21322,80.82367450207204,4
55B,9045,83.01309584074627,4
55A,5980,83.55338288564715,4
45FM,7450,83.6359238284,4
55E,30447,86.40810462605084,4
45DH,26450,87.47027310637354,4
