year,fq,firms,workers,design,trunc
2019,1,144743,14747294,OL_daioe,2021
2019,2,43592,14731916,OL_daioe,2021
2019,3,31493,14757767,OL_daioe,2021
2019,4,108884,14755374,OL_daioe,2021
2020,1,145122,14202914,OL_daioe,2021
2020,2,44379,13766472,OL_daioe,2021
2020,3,31638,13982492,OL_daioe,2021
2020,4,114644,15871518,OL_daioe,2021
2021,1,147004,14216789,OL_daioe,2021
2021,2,45201,13055058,OL_daioe,2021
2021,3,32012,14545107,OL_daioe,2021
2021,4,118888,16674600,OL_daioe,2021
2022,1,150379,14491362,OL_daioe,2021
2022,2,46651,12456932,OL_daioe,2021
2022,3,32829,15712557,OL_daioe,2021
2022,4,125125,17596393,OL_daioe,2021
2023,1,150073,14440061,OL_daioe,2021
2023,2,47193,12278390,OL_daioe,2021
2023,3,33091,16098138,OL_daioe,2021
2023,4,129317,18289113,OL_daioe,2021
2019,1,144743,14747294,OL_daioe,2022
2019,2,43592,14731916,OL_daioe,2022
2019,3,31493,14757767,OL_daioe,2022
2019,4,108884,14755374,OL_daioe,2022
2020,1,145122,14202914,OL_daioe,2022
2020,2,44379,13766472,OL_daioe,2022
2020,3,31638,13982492,OL_daioe,2022
2020,4,114644,15871518,OL_daioe,2022
2021,1,147004,14216789,OL_daioe,2022
2021,2,45201,13055058,OL_daioe,2022
2021,3,32012,14545107,OL_daioe,2022
2021,4,118888,16674600,OL_daioe,2022
2022,1,150379,14491362,OL_daioe,2022
2022,2,46651,12456932,OL_daioe,2022
2022,3,32829,15712557,OL_daioe,2022
2022,4,125125,17596393,OL_daioe,2022
2023,1,150073,14440061,OL_daioe,2022
2023,2,47193,12278390,OL_daioe,2022
2023,3,33091,16098138,OL_daioe,2022
2023,4,129317,18289113,OL_daioe,2022
2019,1,147160,14747976,entrant,2021
2019,2,58713,14716560,entrant,2021
2019,3,24102,14727715,entrant,2021
2019,4,98737,14800100,entrant,2021
2020,1,147351,14056163,entrant,2021
2020,2,59664,13165430,entrant,2021
2020,3,24538,15470260,entrant,2021
2020,4,104230,15131543,entrant,2021
2021,1,149049,13934183,entrant,2021
2021,2,60492,13231838,entrant,2021
2021,3,25202,15402654,entrant,2021
2021,4,108362,15922879,entrant,2021
2022,1,151947,14201271,entrant,2021
2022,2,62275,13518049,entrant,2021
2022,3,26162,15191390,entrant,2021
2022,4,114600,17346534,entrant,2021
2023,1,151486,14010478,entrant,2021
2023,2,62780,13658954,entrant,2021
2023,3,26278,15680134,entrant,2021
2023,4,119130,17756136,entrant,2021
2019,1,147160,14747976,entrant,2022
2019,2,58713,14716560,entrant,2022
2019,3,24102,14727715,entrant,2022
2019,4,98737,14800100,entrant,2022
2020,1,147351,14056163,entrant,2022
2020,2,59664,13165430,entrant,2022
2020,3,24538,15470260,entrant,2022
2020,4,104230,15131543,entrant,2022
2021,1,149049,13934183,entrant,2022
2021,2,60492,13231838,entrant,2022
2021,3,25202,15402654,entrant,2022
2021,4,108362,15922879,entrant,2022
2022,1,151947,14201271,entrant,2022
2022,2,62275,13518049,entrant,2022
2022,3,26162,15191390,entrant,2022
2022,4,114600,17346534,entrant,2022
2023,1,151486,14010478,entrant,2022
2023,2,62780,13658954,entrant,2022
2023,3,26278,15680134,entrant,2022
2023,4,119130,17756136,entrant,2022
