gamma3,se,n_obs,status,design,arm,trunc,young_band,n_firms
-0.0132365980994367,0.0111088294464263,34194060,ok,OL_daioe,true,2021,22-25,311227
,,39747180,no_output,OL_daioe,true,2021,26-30,311227
-0.008090956318925,0.0114963296113055,34238760,ok,OL_daioe,asof,2021,22-25,311774
,,39806400,no_output,OL_daioe,asof,2021,26-30,311774
-0.0132365980994367,0.0111088294464263,34194060,ok,OL_daioe,true,2022,22-25,311227
,,39747180,no_output,OL_daioe,true,2022,26-30,311227
-0.0087989788085536,0.0113998272018563,34228200,ok,OL_daioe,asof,2022,22-25,311289
,,39790500,no_output,OL_daioe,asof,2022,26-30,311289
-0.0152921768396553,0.0114259872662644,34194060,ok,entrant,true,2021,22-25,311227
,,39747180,no_output,entrant,true,2021,26-30,311227
-0.0143900051658832,0.0114232328352656,34238760,ok,entrant,asof,2021,22-25,311774
,,39806400,no_output,entrant,asof,2021,26-30,311774
-0.0152921768396553,0.0114259872662644,34194060,ok,entrant,true,2022,22-25,311227
,,39747180,no_output,entrant,true,2022,26-30,311227
-0.0139566535707196,0.011378381091421,34228200,ok,entrant,asof,2022,22-25,311289
,,39790500,no_output,entrant,asof,2022,26-30,311289
