design,arm,trunc,fq,firms,incumbents
OL_daioe,asof,2021,1,138776,11863383
OL_daioe,asof,2021,2,39267,11880402
OL_daioe,asof,2021,3,29706,11925624
OL_daioe,asof,2021,4,104025,11915043
OL_daioe,asof,2022,1,138539,11826578
OL_daioe,asof,2022,2,39566,11873479
OL_daioe,asof,2022,3,29151,11842446
OL_daioe,asof,2022,4,104033,11880548
OL_daioe,true,2021,1,138803,11822288
OL_daioe,true,2021,2,39403,11917840
OL_daioe,true,2021,3,29203,11868353
OL_daioe,true,2021,4,103818,11872406
OL_daioe,true,2022,1,138803,11822288
OL_daioe,true,2022,2,39403,11917840
OL_daioe,true,2022,3,29203,11868353
OL_daioe,true,2022,4,103818,11872406
entrant,asof,2021,1,143981,11896111
entrant,asof,2021,2,52828,11840086
entrant,asof,2021,3,21713,11936088
entrant,asof,2021,4,93252,11912167
entrant,asof,2022,1,143977,11850779
entrant,asof,2022,2,52420,11818830
entrant,asof,2022,3,23769,11897440
entrant,asof,2022,4,91123,11856002
entrant,true,2021,1,143638,11869754
entrant,true,2021,2,53484,11866310
entrant,true,2021,3,21113,11874534
entrant,true,2021,4,92992,11870289
entrant,true,2022,1,143638,11869754
entrant,true,2022,2,53484,11866310
entrant,true,2022,3,21113,11874534
entrant,true,2022,4,92992,11870289
