year,age_group,n_top_2022,n_rest_2022,left_top_by_2023,entered_top_by_2023,net_flow_out_of_top
2023,22-25,36546,279414,0.1461719476823729,0.0455990036290235,-0.2024571772560608
2023,26-30,122915,378983,0.0740104950575601,0.05375966732017,-0.0917463287637798
2023,31-34,144032,346607,0.0627013441457454,0.0423592137492895,-0.0392343368140413
2023,35-40,204366,459941,0.0600148752727948,0.0367808044944895,-0.0227630819216503
2023,41-49,302127,633718,0.0566649124374849,0.0313783102263151,-0.0091517805426194
2023,50+,476800,1207432,0.0480977348993288,0.0202230850267344,-0.0031145134228187
2024,22-25,27552,258946,0.1803135888501742,0.038092884230689,-0.1777003484320557
2024,26-30,102525,357515,0.0815410875396244,0.0580563053298463,-0.1209070958302852
2024,31-34,137274,337423,0.0634497428500662,0.0445968413534347,-0.0461704328569139
2024,35-40,205969,463949,0.0607033097213658,0.038025731276498,-0.0249503566070622
2024,41-49,296401,620572,0.0572029109213531,0.032341130440948,-0.0105094112368041
2024,50+,499242,1231149,0.0482791912539409,0.0212200147991835,-0.0040501400122585
2025,22-25,19407,218603,0.2186839800072139,0.0335494023412304,-0.1592208996753748
2025,26-30,80760,335575,0.0913199603764239,0.0586843477613052,-0.1525260029717682
2025,31-34,125538,317414,0.0642355302776848,0.0473734617880748,-0.0555449346014752
2025,35-40,205231,464933,0.0601614765800488,0.0393540574663446,-0.0289917215235515
2025,41-49,290271,606307,0.0574842130285147,0.0333214031835357,-0.0121162637673071
2025,50+,512972,1232561,0.048016265995025,0.0218528738131419,-0.0044914732188111
