grp,expband,fresh,n,ws,wh
01Z,11-20,0,349.0,7098.8999895,0.0
01Z,11-20,1,604.0,15093.2400489,0.0
01Z,21+,0,1801.0,40876.05013375,14.0
01Z,21+,1,2941.0,64971.2103392,17.0
01Z,6-10,0,18.0,112.7800042,0.0
01Z,6-10,1,55.0,1338.0600057,0.0
01Z,na,0,33489.0,839928.18311732,772.0
01Z,na,1,58194.0,1400309.00668127,623.0
02Z,0-2,0,19238.0,580006.14285175,1110.0
02Z,0-2,1,19874.0,583723.7767801,407.0
02Z,11-20,0,20588.0,685273.3247523201,1624.0
02Z,11-20,1,29477.0,1032367.6374473,2338.0
02Z,21+,0,23005.0,872150.78459827,2778.0
02Z,21+,1,39126.0,1491772.00741502,4604.0
02Z,3-5,0,4425.0,132350.30083526,199.0
02Z,3-5,1,11773.0,366752.59281834,346.0
02Z,6-10,0,8763.0,275714.68204232,477.0
02Z,6-10,1,13718.0,452739.28370187,693.0
02Z,na,0,79278.0,2704959.65115039,7296.0
02Z,na,1,114553.0,3636356.35390093,7781.0
03A,0-2,0,12888.0,481510.79479051,1162.0
03A,0-2,1,32191.0,1290950.47500649,2797.0
03A,11-20,0,29159.0,1479478.58960845,7111.0
03A,11-20,1,53928.0,2644294.96408216,12125.0
03A,21+,0,43770.0,2447134.3088494,13882.0
03A,21+,1,86198.0,4492529.03336325,24460.0
03A,3-5,0,8851.0,360718.18421991,1028.0
03A,3-5,1,17130.0,717384.81832326,2027.0
03A,6-10,0,14478.0,652469.54632039,2497.0
03A,6-10,1,26291.0,1188744.56948514,4384.0
03A,na,0,16110.0,512738.79145016,1395.0
03A,na,1,29290.0,919785.68203284,1894.0
03N,0-2,0,7217.0,276500.30274856003,713.0
03N,0-2,1,12191.0,488509.50487596,1194.0
03N,11-20,0,3718.0,202786.80127795,1090.0
03N,11-20,1,6710.0,343440.77175894,1698.0
03N,21+,0,8600.0,527502.0018071,3322.0
03N,21+,1,13967.0,806574.10191906,5118.0
03N,3-5,0,2432.0,100920.76104378,325.0
03N,3-5,1,3248.0,137903.58163686,394.0
03N,6-10,0,2214.0,100395.31100974,380.0
03N,6-10,1,4208.0,186366.88127773,599.0
03N,na,0,348.0,16608.520083,72.0
03N,na,1,704.0,28617.1201007,111.0
03T,0-2,0,3395.0,125687.12116552,324.0
03T,0-2,1,7833.0,295933.62274618,703.0
03T,11-20,0,375.0,15238.07018322,38.0
03T,11-20,1,1011.0,39393.56037984,157.0
03T,3-5,0,2113.0,85052.34084576,271.0
03T,3-5,1,4062.0,162540.33144908,503.0
03T,6-10,0,1587.0,66357.54060082001,247.0
03T,6-10,1,2998.0,129948.55090202,485.0
03T,na,1,35.0,1670.6100239999998,8.0
13Z,11-20,0,69.0,3628.559972,0.0
13Z,11-20,1,134.0,6075.8199817,0.0
13Z,21+,0,290.0,14825.0099498,33.0
13Z,21+,1,560.0,25040.2998946,55.0
13Z,na,0,71.0,1943.2899989,0.0
13Z,na,1,379.0,13281.439983,21.0
14P,0-2,0,10999.0,511406.90230872,1573.0
14P,0-2,1,22533.0,1224387.92403306,5677.0
14P,11-20,0,2665.0,158606.9002849,874.0
14P,11-20,1,8780.0,495117.67940558,2463.0
14P,21+,0,810.0,51965.7501268,315.0
