inr,expband,fresh,n,ws,wh
010c,0-2,0,1354.0,52910.5106259,136.0
010c,0-2,1,657.0,26797.48034356,65.0
010c,11-20,0,90.0,6189.150073,38.0
010c,11-20,1,221.0,13971.11009,96.0
010c,21+,1,19.0,1658.030032,12.0
010c,3-5,0,77.0,3701.1900428,21.0
010c,3-5,1,91.0,3982.6900476,13.0
010c,6-10,0,63.0,3445.400074,18.0
010c,6-10,1,84.0,4562.490061,18.0
140z,0-2,1,36.0,3203.529958,36.0
140z,11-20,0,38.0,2488.399988,22.0
140z,11-20,1,133.0,10308.629819,93.0
140z,3-5,1,50.0,4448.439934,50.0
140z,6-10,0,16.0,1232.6300179999998,10.0
140z,6-10,1,109.0,9123.039784,96.0
140z,na,0,255.0,9256.5300481,26.0
140z,na,1,350.0,14804.2499677,50.0
142z,0-2,0,406.0,20934.4101158,107.0
142z,0-2,1,1615.0,108709.559858,778.0
142z,11-20,0,996.0,73525.639947,567.0
142z,11-20,1,3672.0,263570.9089796,1945.0
142z,21+,0,637.0,47989.91009,392.0
142z,21+,1,842.0,61929.359803,522.0
142z,3-5,0,293.0,20122.820046,167.0
142z,3-5,1,1673.0,122561.9595314,944.0
142z,6-10,0,485.0,35120.299945,260.0
142z,6-10,1,2497.0,179868.069072,1284.0
142z,na,0,86.0,3467.6899809,18.0
142z,na,1,81.0,3399.6800054,16.0
143a,0-2,0,808.0,44745.041016400006,5.0
143a,0-2,1,6984.0,428952.77303,94.0
143a,11-20,0,891.0,55757.901202,54.0
143a,11-20,1,5925.0,370827.4671807,466.0
143a,21+,0,13643.0,841275.0830812,1641.0
143a,21+,1,28333.0,1752715.1785996,2926.0
143a,3-5,0,845.0,50958.601385,10.0
143a,3-5,1,6537.0,403668.471672,156.0
143a,6-10,0,918.0,55993.0812664,24.0
143a,6-10,1,6712.0,417500.0097271,401.0
143a,na,0,4382.0,274268.6238138,547.0
143a,na,1,901.0,50091.620605,93.0
143b,0-2,0,38.0,2212.079985,5.0
143b,0-2,1,1524.0,96706.149409,209.0
143b,11-20,0,84.0,5213.430016,8.0
143b,11-20,1,1663.0,106630.719134,331.0
143b,21+,0,2983.0,182302.6096216,541.0
143b,21+,1,7831.0,491293.6968395,1611.0
143b,3-5,0,58.0,3604.729973,9.0
143b,3-5,1,1353.0,86460.719339,226.0
143b,6-10,0,50.0,3215.349983,9.0
143b,6-10,1,1188.0,77162.989224,259.0
143b,na,0,472.0,29066.029886,74.0
143b,na,1,128.0,6943.989934,20.0
143x,0-2,0,4732.0,211441.3318201,274.0
143x,0-2,1,7133.0,354404.821986,637.0
143x,11-20,0,75.0,3889.5601044,0.0
143x,11-20,1,456.0,25248.0002675,37.0
143x,21+,0,111.0,6633.460054,23.0
143x,21+,1,328.0,18674.8700818,59.0
143x,3-5,0,315.0,15179.8401282,30.0
143x,3-5,1,806.0,41094.7102841,79.0
143x,6-10,0,248.0,12048.4302116,15.0
143x,6-10,1,994.0,54431.3608011,70.0
143x,na,0,102.0,3725.7900281,7.0
143x,na,1,161.0,6607.5100524,9.0
144a,0-2,0,74.0,4663.899927,39.0
144a,0-2,1,3140.0,234636.421385,2908.0
144a,11-20,0,322.0,22285.1896324,183.0
144a,11-20,1,3019.0,216522.17429800003,2070.0
144a,21+,0,3037.0,214844.3248742,1904.0
144a,21+,1,4742.0,336368.2811377,3087.0
144a,3-5,0,63.0,4702.559836,58.0
144a,3-5,1,2592.0,194054.042834,2418.0
144a,6-10,0,80.0,5545.629915,48.0
