clerical_t,clerical_t1,fresh_t,fresh_t1,age_group,n,year
1,0,0,0,22-29,1899,2019
0,1,1,1,50+,4055,2019
1,0,1,1,30-49,10569,2019
0,0,0,0,50+,463273,2019
1,1,0,0,50+,47705,2019
0,1,1,0,22-29,900,2019
1,0,1,0,50+,372,2019
1,0,0,1,30-49,4964,2019
0,1,0,0,50+,1062,2019
0,0,0,0,30-49,353545,2019
0,1,0,0,30-49,1950,2019
0,1,1,0,50+,846,2019
0,1,0,1,30-49,4139,2019
1,0,1,0,30-49,958,2019
1,1,1,0,50+,16493,2019
1,1,1,0,30-49,20757,2019
0,0,1,0,22-29,120920,2019
0,1,0,0,22-29,1373,2019
1,1,0,1,30-49,8484,2019
1,1,1,1,22-29,32510,2019
1,0,1,1,50+,4450,2019
0,1,1,1,30-49,9117,2019
0,0,0,0,22-29,165169,2019
0,1,0,1,22-29,4878,2019
1,0,0,1,50+,2096,2019
1,0,1,1,22-29,7536,2019
0,1,0,1,50+,1513,2019
0,0,1,0,30-49,238944,2019
1,0,0,0,50+,1116,2019
1,1,0,0,30-49,29528,2019
0,0,1,1,30-49,1247513,2019
0,0,0,1,22-29,73683,2019
1,0,0,0,30-49,2526,2019
1,1,1,1,50+,68817,2019
1,1,1,1,30-49,82569,2019
1,0,1,0,22-29,1006,2019
1,0,0,1,22-29,5133,2019
0,0,1,1,22-29,371283,2019
0,0,0,1,30-49,145453,2019
0,1,1,0,30-49,1363,2019
0,0,1,0,50+,186350,2019
1,1,0,0,22-29,21374,2019
0,0,0,1,50+,88634,2019
0,0,1,1,50+,927935,2019
1,1,0,1,22-29,4976,2019
1,1,1,0,22-29,15891,2019
1,1,0,1,50+,4982,2019
0,1,1,1,22-29,6386,2019
0,1,0,1,30-49,7038,2020
0,0,0,0,30-49,453606,2020
0,1,0,0,30-49,2009,2020
0,1,1,0,50+,812,2020
1,0,1,0,30-49,945,2020
1,1,0,1,30-49,12518,2020
1,1,1,1,22-29,30337,2020
1,0,1,1,50+,4621,2020
0,0,1,0,22-29,92414,2020
1,1,1,0,30-49,16720,2020
1,1,1,0,50+,13350,2020
0,1,0,0,22-29,1321,2020
0,1,1,1,30-49,10168,2020
1,0,0,1,50+,2953,2020
1,0,1,1,22-29,7631,2020
0,1,0,1,50+,2397,2020
0,1,0,1,22-29,7428,2020
0,0,0,0,22-29,190089,2020
0,0,1,1,30-49,1259278,2020
1,1,1,1,30-49,81137,2020
1,1,1,1,50+,67387,2020
0,0,0,1,22-29,104708,2020
1,1,0,0,30-49,39643,2020
1,0,0,0,50+,1474,2020
1,0,0,0,30-49,2650,2020
1,0,1,0,22-29,910,2020
1,0,0,1,22-29,7736,2020
0,0,0,1,30-49,215766,2020
0,0,1,1,22-29,353204,2020
0,1,1,0,30-49,1217,2020
0,1,1,1,50+,4677,2020
1,0,1,1,30-49,10963,2020
1,0,0,0,22-29,1722,2020
0,0,0,0,50+,586451,2020
1,0,0,1,30-49,7989,2020
1,1,0,0,50+,58507,2020
0,1,0,0,50+,1299,2020
1,0,1,0,50+,338,2020
0,1,1,0,22-29,731,2020
0,0,1,1,50+,951228,2020
1,1,0,1,22-29,7418,2020
1,1,1,0,22-29,12357,2020
0,0,1,0,30-49,191131,2020
0,0,0,1,50+,105611,2020
0,0,1,0,50+,148347,2020
1,1,0,0,22-29,25619,2020
0,1,1,1,22-29,6686,2020
1,1,0,1,50+,7048,2020
0,0,1,0,30-49,213239,2021
1,1,0,0,30-49,33406,2021
0,0,0,1,22-29,95736,2021
0,0,1,1,30-49,1290081,2021
1,0,0,0,30-49,1853,2021
1,1,1,1,50+,68126,2021
1,1,1,1,30-49,81071,2021
1,0,0,0,50+,1145,2021
1,0,1,0,22-29,793,2021
1,0,0,1,22-29,7847,2021
0,0,0,1,30-49,205162,2021
0,0,1,1,22-29,356956,2021
0,1,1,0,30-49,1272,2021
0,0,0,0,30-49,379800,2021
0,1,0,1,30-49,7674,2021
0,1,1,0,50+,1208,2021
0,1,0,0,30-49,1847,2021
1,0,1,0,30-49,819,2021
1,1,1,0,30-49,18112,2021
0,0,1,0,22-29,96992,2021
1,1,1,0,50+,12509,2021
1,1,1,1,22-29,29826,2021
1,1,0,1,30-49,11240,2021
1,0,1,1,50+,5268,2021
0,1,0,0,22-29,1194,2021
0,1,1,1,30-49,12187,2021
0,0,0,0,22-29,142413,2021
0,1,0,1,22-29,7086,2021
1,0,0,1,50+,3316,2021
1,0,1,1,22-29,10033,2021
0,1,0,1,50+,2528,2021
0,1,1,1,50+,4907,2021
1,0,1,1,30-49,14211,2021
1,0,0,0,22-29,1402,2021
