ssyk1,age_group,code_age,ssyk_status,n,year
7,50+,4,5,6906.0,2019
7,22-29,1,2,1084.0,2019
8,50+,0,3,130.0,2019
0,50+,3,3,,2019
2,50+,3,5,13314.0,2019
2,50+,0,12,1536.0,2019
5,50+,0,3,906.0,2019
4,30-49,4,3,21.0,2019
1,50+,2,1,6446.0,2019
9,30-49,1,4,1139.0,2019
3,30-49,-1,3,43.0,2019
7,22-29,5,3,,2019
6,30-49,0,12,52.0,2019
0,22-29,3,5,194.0,2019
6,30-49,2,1,856.0,2019
9,22-29,0,4,369.0,2019
3,50+,0,2,2031.0,2019
2,30-49,4,4,139.0,2019
8,22-29,0,2,867.0,2019
6,22-29,0,15,323.0,2019
4,22-29,2,3,35.0,2019
4,22-29,2,5,4937.0,2019
4,22-29,1,3,92.0,2019
5,22-29,0,2,3816.0,2019
5,22-29,2,5,15086.0,2019
4,22-29,1,5,3861.0,2019
8,22-29,1,5,1867.0,2019
2,22-29,2,1,1726.0,2019
7,50+,1,2,887.0,2019
7,22-29,4,5,1799.0,2019
1,22-29,4,4,,2019
7,30-49,0,14,5003.0,2019
5,30-49,-1,2,172.0,2019
8,30-49,-1,2,84.0,2019
9,30-49,3,2,55.0,2019
4,50+,5,3,16.0,2019
1,22-29,3,3,,2019
9,22-29,3,1,805.0,2019
2,22-29,-1,4,56.0,2019
4,22-29,0,2,1568.0,2019
3,30-49,5,5,3343.0,2019
8,30-49,4,1,2887.0,2019
7,50+,4,3,25.0,2019
3,22-29,1,5,2452.0,2019
8,22-29,1,3,50.0,2019
5,50+,0,14,6655.0,2019
3,22-29,2,5,2818.0,2019
9,30-49,-1,1,2456.0,2019
7,22-29,4,3,7.0,2019
1,50+,0,2,834.0,2019
9,50+,3,2,25.0,2019
1,22-29,3,5,100.0,2019
5,22-29,3,4,505.0,2019
3,50+,1,1,21084.0,2019
1,50+,1,5,1658.0,2019
4,30-49,3,1,2869.0,2019
7,22-29,5,5,879.0,2019
3,30-49,1,1,26669.0,2019
1,30-49,5,4,33.0,2019
4,30-49,0,15,86.0,2019
3,22-29,0,2,1379.0,2019
6,30-49,0,4,30.0,2019
0,22-29,-1,4,16.0,2019
3,50+,2,2,337.0,2019
4,50+,-1,3,21.0,2019
0,30-49,1,1,128.0,2019
5,50+,4,4,124.0,2019
5,50+,0,5,1567.0,2019
2,50+,3,3,41.0,2019
8,50+,2,2,186.0,2019
0,22-29,3,3,,2019
7,22-29,-1,4,108.0,2019
2,22-29,0,1,112411.0,2019
3,50+,0,14,6403.0,2019
4,30-49,0,4,285.0,2019
3,30-49,5,3,13.0,2019
2,50+,-1,4,46.0,2019
3,22-29,3,3,5.0,2019
3,22-29,3,5,1851.0,2019
9,30-49,3,3,26.0,2019
0,30-49,-1,3,,2019
8,50+,-1,1,2045.0,2019
1,22-29,1,5,131.0,2019
3,50+,4,4,94.0,2019
2,22-29,5,2,9.0,2019
5,30-49,4,4,235.0,2019
1,22-29,2,5,177.0,2019
0,22-29,3,2,21.0,2019
7,22-29,3,2,97.0,2019
7,50+,3,2,77.0,2019
5,30-49,0,1,311939.0,2019
5,50+,-1,1,3025.0,2019
3,22-29,5,4,20.0,2019
6,22-29,1,3,42.0,2019
0,30-49,2,5,26.0,2019
8,30-49,5,3,,2019
5,22-29,0,13,713.0,2019
3,50+,0,13,3660.0,2019
9,30-49,5,1,534.0,2019
6,30-49,4,3,38.0,2019
9,22-29,2,4,270.0,2019
5,50+,0,2,1667.0,2019
8,30-49,3,1,2942.0,2019
7,50+,2,4,152.0,2019
4,22-29,4,3,10.0,2019
9,22-29,1,4,1138.0,2019
2,50+,3,2,248.0,2019
5,22-29,0,5,2138.0,2019
6,22-29,2,3,7.0,2019
2,22-29,-1,2,122.0,2019
4,30-49,2,2,179.0,2019
1,50+,4,4,93.0,2019
4,30-49,1,2,1335.0,2019
7,30-49,5,5,2424.0,2019
3,22-29,4,4,19.0,2019
4,30-49,3,4,91.0,2019
0,50+,5,1,62.0,2019
8,22-29,5,5,658.0,2019
2,22-29,4,1,242.0,2019
1,50+,-1,1,2804.0,2019
4,22-29,4,2,30.0,2019
5,30-49,5,4,103.0,2019
2,30-49,2,1,10817.0,2019
2,30-49,1,1,36840.0,2019
3,30-49,5,2,62.0,2019
0,50+,3,2,5.0,2019
0,50+,0,4,,2019
8,50+,4,3,17.0,2019
1,30-49,5,1,1359.0,2019
8,50+,0,13,2372.0,2019
2,22-29,3,1,887.0,2019
9,30-49,0,12,,2019
3,22-29,-1,1,2937.0,2019
6,50+,2,1,797.0,2019
2,30-49,-1,3,48.0,2019
6,30-49,1,4,134.0,2019
7,30-49,2,4,373.0,2019
3,50+,0,3,190.0,2019
8,22-29,0,3,102.0,2019
1,22-29,0,5,51.0,2019
5,22-29,2,3,128.0,2019
4,30-49,4,2,65.0,2019
6,22-29,4,2,9.0,2019
4,30-49,1,5,2769.0,2019
6,50+,2,4,23.0,2019
3,22-29,2,2,152.0,2019
2,22-29,5,3,,2019
2,50+,0,13,6009.0,2019
3,50+,-1,1,5003.0,2019
8,22-29,4,5,1378.0,2019
4,22-29,0,5,620.0,2019
5,50+,0,13,4230.0,2019
0,30-49,-1,2,10.0,2019
4,50+,-1,2,28.0,2019
6,22-29,4,3,6.0,2019
8,50+,0,14,3208.0,2019
1,30-49,0,1,110551.0,2019
4,30-49,0,2,1437.0,2019
3,22-29,0,15,217.0,2019
4,22-29,5,3,,2019
6,30-49,-1,1,751.0,2019
3,30-49,3,4,164.0,2019
0,30-49,5,2,,2019
1,50+,4,1,4710.0,2019
2,22-29,5,5,552.0,2019
5,30-49,2,1,9360.0,2019
3,50+,2,3,37.0,2019
3,22-29,3,2,56.0,2019
9,50+,3,3,12.0,2019
4,30-49,1,3,69.0,2019
9,50+,0,15,631.0,2019
8,30-49,1,1,10294.0,2019
2,50+,-1,1,4406.0,2019
6,30-49,5,5,187.0,2019
5,30-49,5,1,1514.0,2019
6,22-29,2,5,439.0,2019
4,30-49,0,13,,2019
8,50+,2,5,4157.0,2019
3,30-49,4,1,3202.0,2019
0,50+,0,3,,2019
4,22-29,0,3,299.0,2019
2,30-49,1,4,4273.0,2019
6,30-49,0,5,226.0,2019
9,50+,5,4,22.0,2019
8,22-29,5,3,,2019
7,50+,-1,3,8.0,2019
8,30-49,0,14,2046.0,2019
6,22-29,4,5,268.0,2019
9,22-29,2,5,5362.0,2019
2,50+,0,2,2519.0,2019
9,22-29,1,3,84.0,2019
8,50+,2,4,111.0,2019
1,22-29,4,5,76.0,2019
9,22-29,0,1,30474.0,2019
8,50+,3,5,4359.0,2019
8,22-29,0,15,284.0,2019
1,50+,1,4,670.0,2019
5,22-29,2,2,732.0,2019
6,50+,-1,3,,2019
2,30-49,4,1,3419.0,2019
3,50+,0,11,,2019
0,22-29,-1,2,27.0,2019
4,22-29,2,2,199.0,2019
7,50+,1,3,21.0,2019
7,30-49,0,4,467.0,2019
7,50+,-1,1,4963.0,2019
9,22-29,2,1,1743.0,2019
3,30-49,2,3,68.0,2019
5,22-29,0,3,1604.0,2019
6,50+,5,4,5.0,2019
5,50+,1,1,26341.0,2019
4,22-29,3,1,1107.0,2019
4,50+,1,1,12861.0,2019
5,30-49,3,4,234.0,2019
7,22-29,1,5,2405.0,2019
5,22-29,3,2,353.0,2019
6,22-29,1,2,72.0,2019
1,22-29,1,2,99.0,2019
0,22-29,5,3,,2019
6,22-29,0,4,52.0,2019
8,30-49,5,5,1476.0,2019
9,50+,1,5,1664.0,2019
7,50+,0,4,182.0,2019
9,50+,2,1,3180.0,2019
2,22-29,0,15,129.0,2019
1,22-29,1,3,5.0,2019
5,30-49,-1,3,45.0,2019
8,30-49,-1,3,23.0,2019
9,22-29,0,14,143.0,2019
9,30-49,4,4,77.0,2019
5,22-29,4,3,59.0,2019
7,22-29,5,4,24.0,2019
7,30-49,5,3,10.0,2019
9,50+,-1,4,27.0,2019
5,50+,3,5,12542.0,2019
3,50+,5,1,2496.0,2019
7,50+,4,4,103.0,2019
9,30-49,0,13,,2019
9,30-49,2,1,3803.0,2019
4,30-49,5,1,1092.0,2019
8,50+,0,2,1205.0,2019
6,50+,4,1,2178.0,2019
8,30-49,-1,4,62.0,2019
7,30-49,0,1,105587.0,2019
8,22-29,0,5,485.0,2019
4,30-49,0,3,268.0,2019
4,50+,5,2,45.0,2019
8,22-29,4,2,49.0,2019
4,22-29,0,15,11.0,2019
4,22-29,5,2,20.0,2019
3,22-29,2,3,35.0,2019
9,50+,1,1,8569.0,2019
5,30-49,1,2,3274.0,2019
6,22-29,0,1,3091.0,2019
0,50+,5,4,,2019
3,30-49,3,2,139.0,2019
8,30-49,2,5,2803.0,2019
0,22-29,0,1,49.0,2019
5,50+,4,3,65.0,2019
7,22-29,0,1,51857.0,2019
6,22-29,0,13,178.0,2019
5,30-49,0,14,5006.0,2019
5,50+,2,5,13220.0,2019
2,50+,4,4,97.0,2019
5,22-29,0,15,1377.0,2019
5,50+,2,4,356.0,2019
4,30-49,4,5,2733.0,2019
3,22-29,0,3,256.0,2019
4,50+,0,1,88419.0,2019
7,22-29,4,2,72.0,2019
7,22-29,3,5,2379.0,2019
9,30-49,3,5,3649.0,2019
3,30-49,1,4,2691.0,2019
1,30-49,1,1,14870.0,2019
6,22-29,-1,1,405.0,2019
2,50+,4,5,12002.0,2019
1,22-29,0,2,110.0,2019
0,22-29,4,5,129.0,2019
8,50+,1,1,11684.0,2019
8,22-29,3,2,66.0,2019
7,30-49,5,4,75.0,2019
1,50+,0,3,57.0,2019
5,22-29,5,1,657.0,2019
0,30-49,0,1,16.0,2019
2,30-49,0,14,6249.0,2019
5,22-29,1,2,4102.0,2019
3,22-29,0,5,872.0,2019
3,22-29,4,2,28.0,2019
2,50+,5,1,2177.0,2019
4,22-29,-1,4,37.0,2019
6,30-49,1,5,463.0,2019
3,22-29,-1,4,65.0,2019
8,22-29,5,4,15.0,2019
7,50+,-1,2,81.0,2019
7,22-29,0,5,903.0,2019
7,50+,0,13,5080.0,2019
8,50+,3,1,4010.0,2019
8,22-29,3,5,1881.0,2019
4,50+,5,4,30.0,2019
5,30-49,5,3,28.0,2019
1,50+,0,4,79.0,2019
9,30-49,3,4,68.0,2019
9,50+,1,2,561.0,2019
9,30-49,0,15,869.0,2019
0,50+,1,3,,2019
0,50+,1,5,,2019
8,22-29,4,4,47.0,2019
6,22-29,4,1,147.0,2019
4,22-29,0,14,11.0,2019
9,30-49,1,2,1053.0,2019
5,22-29,5,5,4460.0,2019
1,22-29,5,1,16.0,2019
5,50+,1,5,3840.0,2019
7,22-29,2,5,2904.0,2019
4,22-29,3,5,3823.0,2019
2,22-29,2,5,3134.0,2019
1,22-29,0,4,27.0,2019
9,22-29,4,5,3408.0,2019
4,50+,3,5,5746.0,2019
8,22-29,0,12,93.0,2019
6,30-49,0,2,101.0,2019
6,22-29,5,1,22.0,2019
6,22-29,3,2,9.0,2019
1,30-49,2,4,210.0,2019
2,22-29,1,5,2217.0,2019
6,50+,2,3,,2019
4,50+,2,1,4980.0,2019
6,50+,3,2,11.0,2019
2,50+,1,5,4567.0,2019
8,30-49,1,4,1018.0,2019
3,50+,3,1,5847.0,2019
5,22-29,4,1,2292.0,2019
7,30-49,4,1,4712.0,2019
7,22-29,-1,2,166.0,2019
8,50+,1,3,40.0,2019
2,30-49,5,1,1546.0,2019
1,22-29,3,1,141.0,2019
0,22-29,3,4,35.0,2019
7,50+,1,4,644.0,2019
0,50+,4,2,,2019
9,22-29,-1,3,22.0,2019
0,22-29,1,3,,2019
2,30-49,4,5,4917.0,2019
3,50+,0,4,245.0,2019
4,30-49,4,4,84.0,2019
5,30-49,2,4,634.0,2019
2,30-49,5,2,70.0,2019
9,30-49,4,2,59.0,2019
2,50+,2,3,67.0,2019
9,22-29,4,1,524.0,2019
2,22-29,4,3,8.0,2019
1,50+,4,5,5127.0,2019
9,22-29,-1,1,1297.0,2019
2,30-49,5,4,86.0,2019
7,22-29,1,4,1201.0,2019
2,22-29,-1,3,19.0,2019
6,30-49,4,4,28.0,2019
7,50+,2,2,215.0,2019
7,22-29,-1,3,25.0,2019
4,22-29,3,2,66.0,2019
5,50+,0,4,306.0,2019
9,22-29,-1,2,106.0,2019
0,22-29,1,2,12.0,2019
5,22-29,3,1,3652.0,2019
5,50+,4,5,12072.0,2019
3,22-29,3,1,839.0,2019
3,50+,3,5,8237.0,2019
5,22-29,2,4,1069.0,2019
1,30-49,-1,4,44.0,2019
6,22-29,4,4,7.0,2019
7,22-29,2,2,215.0,2019
0,22-29,-1,3,,2019
3,30-49,2,2,373.0,2019
8,50+,0,15,1097.0,2019
5,30-49,4,2,194.0,2019
2,50+,-1,3,28.0,2019
5,30-49,1,5,6229.0,2019
8,50+,5,2,36.0,2019
6,30-49,0,15,1658.0,2019
2,50+,5,4,84.0,2019
8,22-29,0,4,220.0,2019
1,30-49,4,4,77.0,2019
4,30-49,2,4,234.0,2019
3,22-29,0,1,63575.0,2019
2,22-29,1,2,1367.0,2019
6,50+,4,4,11.0,2019
7,22-29,3,3,,2019
6,30-49,1,2,117.0,2019
4,50+,3,3,16.0,2019
7,50+,0,5,582.0,2019
6,50+,1,4,65.0,2019
8,30-49,5,2,31.0,2019
0,22-29,4,3,6.0,2019
7,30-49,1,1,19981.0,2019
0,30-49,5,5,34.0,2019
1,50+,0,1,90528.0,2019
9,30-49,3,1,1719.0,2019
9,30-49,0,2,1142.0,2019
8,30-49,2,3,17.0,2019
7,30-49,-1,2,192.0,2019
2,30-49,0,13,4957.0,2019
9,50+,-1,3,18.0,2019
3,22-29,5,3,,2019
7,50+,0,14,9168.0,2019
4,50+,-1,4,20.0,2019
2,30-49,0,12,1874.0,2019
5,22-29,-1,4,99.0,2019
0,30-49,3,3,,2019
6,50+,5,3,,2019
2,30-49,0,4,1255.0,2019
0,22-29,1,1,168.0,2019
