period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,arm,age_group
2019H1,-0.0071485180160923,0.0159259241429341,0.653532303711872,7944780,16445333,True,22.6415388584137,ok,all,22-25
2019H2,-0.0359660321514028,0.0166655746933075,0.0309197993424577,7944780,16445333,True,22.6415388584137,ok,all,22-25
2020H1,-0.0387293554767669,0.0153339770369797,0.0115460971007646,7944780,16445333,True,22.6415388584137,ok,all,22-25
2020H2,-0.0510181549274235,0.0159145134335624,0.0013470498535075,7944780,16445333,True,22.6415388584137,ok,all,22-25
2021H1,-0.0194220840924671,0.0108466083157269,0.0733553271058977,7944780,16445333,True,22.6415388584137,ok,all,22-25
2021H2,-0.0543887633885685,0.0116423170056213,2.9879813363487e-06,7944780,16445333,True,22.6415388584137,ok,all,22-25
2022H1,0.0,0.0,,7944780,16445333,True,22.6415388584137,reference,all,22-25
2022H2,-0.0537447852133221,0.0085701985588597,3.5844902949677e-10,7944780,16445333,True,22.6415388584137,ok,all,22-25
2023H1,0.0055916157555111,0.0099382765853624,0.573683898717307,7944780,16445333,True,22.6415388584137,ok,all,22-25
2023H2,-0.0205898489414413,0.0126630255765709,0.103953530119416,7944780,16445333,True,22.6415388584137,ok,all,22-25
2019H1,-0.0544998641453954,0.0105485882679275,2.38447733968872e-07,20553960,97119387,True,67.4240920543671,ok,all,50+
2019H2,-0.053354639923716,0.0102090279504742,1.73009220229527e-07,20553960,97119387,True,67.4240920543671,ok,all,50+
2020H1,-0.0373880702753065,0.0038663357667919,4.03761873797735e-22,20553960,97119387,True,67.4240920543671,ok,all,50+
2020H2,-0.0304959835050093,0.0037050079329144,1.85630526383143e-16,20553960,97119387,True,67.4240920543671,ok,all,50+
2021H1,-0.0159086359489914,0.0021338243630997,8.95568078171641e-14,20553960,97119387,True,67.4240920543671,ok,all,50+
2021H2,-0.0119411606800944,0.0020349856939965,4.4126021114844e-09,20553960,97119387,True,67.4240920543671,ok,all,50+
2022H1,0.0,0.0,,20553960,97119387,True,67.4240920543671,reference,all,50+
2022H2,0.0045470982831747,0.001154404079913,8.18512926860504e-05,20553960,97119387,True,67.4240920543671,ok,all,50+
2023H1,0.0145784138781958,0.0033392607590897,1.26681024543058e-05,20553960,97119387,True,67.4240920543671,ok,all,50+
2023H2,0.0161977514951954,0.0037814163149159,1.83964130092789e-05,20553960,97119387,True,67.4240920543671,ok,all,50+
2019H1,-0.0411957273644785,0.0214756650524535,0.0550791250104044,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2019H2,-0.0601766394905421,0.0230394562798622,0.0090041917324143,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2020H1,-0.0946144794241178,0.020382824845416,3.45265463100953e-06,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2020H2,-0.102562575128889,0.0218114923755809,2.57339933915993e-06,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2021H1,-0.0563071910579406,0.0142034171311118,7.35989352964624e-05,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2021H2,-0.0753044194048646,0.0158651728575987,2.06942458810214e-06,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2022H1,0.0,0.0,,4878300,11704697,True,13.545175075531,reference,fresh,22-25
2022H2,-0.0495233827783672,0.0108999721035895,5.53432372756939e-06,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2023H1,-0.0556644041631155,0.0122302263598715,5.32952638078411e-06,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2023H2,-0.0670834566015235,0.0155499388879149,1.60279345076758e-05,4878300,11704697,True,13.545175075531,ok,fresh,22-25
2019H1,-0.0610545969463653,0.0087730228702111,3.41829614898221e-12,12472500,71673349,True,31.4549610614777,ok,fresh,50+
