year_month,age_group,exposure_quartile,n_coded,share_fresh
2019-01,22-25,1,93212,0.6399927048019568
2019-01,22-25,2,153669,0.6877769751869277
2019-01,22-25,3,35997,0.7022807456176904
2019-01,22-25,4,44457,0.7252851069572845
2019-01,26-30,1,126934,0.667220760395166
2019-01,26-30,2,199974,0.7360406852890876
2019-01,26-30,3,84816,0.7855946991133749
2019-01,26-30,4,134785,0.776926215825203
2019-01,31-34,1,88336,0.6914281833001268
2019-01,31-34,2,138604,0.761327234423249
2019-01,31-34,3,77383,0.7889071243037876
2019-01,31-34,4,122527,0.7634970251454781
2019-01,35-40,1,117992,0.7091582480168147
2019-01,35-40,2,183440,0.7803805058874836
2019-01,35-40,3,123467,0.796010269950675
2019-01,35-40,4,190265,0.7755551467689801
2019-01,41-49,1,184514,0.7342532273973791
2019-01,41-49,2,277276,0.7953302846261486
2019-01,41-49,3,215232,0.7926795272078502
2019-01,41-49,4,313763,0.7879450413209971
2019-01,50+,1,383193,0.6927866636394715
2019-01,50+,2,521627,0.7407496161049946
2019-01,50+,3,373929,0.7065993811659432
2019-01,50+,4,476507,0.7111605915547935
2019-02,22-25,1,90729,0.6489215135182798
2019-02,22-25,2,149814,0.6968641114982579
2019-02,22-25,3,35364,0.708913018889266
2019-02,22-25,4,43769,0.730448490941077
2019-02,26-30,1,125584,0.6717973627213658
2019-02,26-30,2,198155,0.7419393908808761
2019-02,26-30,3,84318,0.7889893024028084
2019-02,26-30,4,134180,0.7782530928603368
2019-02,31-34,1,87557,0.6948844752561188
2019-02,31-34,2,138197,0.7642423496892118
2019-02,31-34,3,77007,0.7907073382939214
2019-02,31-34,4,122455,0.764934057408844
2019-02,35-40,1,117249,0.7120487168334059
2019-02,35-40,2,183103,0.7830674538374576
2019-02,35-40,3,122952,0.7973680785997788
2019-02,35-40,4,190106,0.7768350288786257
2019-02,41-49,1,183661,0.7367432389021077
2019-02,41-49,2,276532,0.7965371096292654
2019-02,41-49,3,213817,0.7931642479316425
2019-02,41-49,4,312635,0.789262238712876
2019-02,50+,1,379611,0.6965946719141437
2019-02,50+,2,516727,0.7426958529358829
2019-02,50+,3,370642,0.7084518214341602
2019-02,50+,4,473078,0.7132439048106232
2019-03,22-25,1,91069,0.6501663573773732
2019-03,22-25,2,149296,0.704010824134605
2019-03,22-25,3,35639,0.7133477370296585
2019-03,22-25,4,43695,0.7332875615058931
2019-03,26-30,1,125892,0.6745067200457535
2019-03,26-30,2,197791,0.7464293117482595
2019-03,26-30,3,84605,0.7910407186336504
2019-03,26-30,4,134325,0.7805992927600968
2019-03,31-34,1,88218,0.6976013965403886
2019-03,31-34,2,138230,0.7663748824423063
2019-03,31-34,3,77125,0.7921944894651539
2019-03,31-34,4,122595,0.7664831355275501
2019-03,35-40,1,117927,0.7141791108058375
2019-03,35-40,2,183571,0.7843286793665666
2019-03,35-40,3,123351,0.7978208526886689
2019-03,35-40,4,190796,0.7771546573303424
2019-03,41-49,1,184739,0.7380195843866211
2019-03,41-49,2,277377,0.7975462998013534
2019-03,41-49,3,214810,0.7932451934267493
2019-03,41-49,4,313670,0.7892052156725221
2019-03,50+,1,380117,0.6982928940299961
2019-03,50+,2,518622,0.744012016459001
2019-03,50+,3,372770,0.7078332483837219
2019-03,50+,4,476250,0.7121448818897638
2019-04,22-25,1,93597,0.6529482782567817
2019-04,22-25,2,152601,0.7050674635159665
2019-04,22-25,3,36277,0.7125727044683959
2019-04,22-25,4,44827,0.7356503892743212
2019-04,26-30,1,128272,0.6757125483347886
2019-04,26-30,2,200618,0.7478292077480585
2019-04,26-30,3,85367,0.7908793796197594
2019-04,26-30,4,135494,0.7819165424299231
2019-04,31-34,1,89537,0.6978232462557379
2019-04,31-34,2,139986,0.7684911348277685
2019-04,31-34,3,77605,0.7928226274080278
2019-04,31-34,4,123196,0.7671190623072177
2019-04,35-40,1,119450,0.7149351192967769
2019-04,35-40,2,185471,0.7857023469976439
2019-04,35-40,3,123862,0.7982755001533965
2019-04,35-40,4,191515,0.7778241913166071
2019-04,41-49,1,186397,0.7378498580985745
2019-04,41-49,2,278956,0.7980685125969686
2019-04,41-49,3,215291,0.7937164117403885
2019-04,41-49,4,314849,0.7893402869311956
2019-04,50+,1,383436,0.698612023910118
2019-04,50+,2,521027,0.7444297512412984
2019-04,50+,3,373815,0.7083022350627984
2019-04,50+,4,477509,0.7130336810405667
2019-05,22-25,1,95876,0.6530831490675456
2019-05,22-25,2,155763,0.7048978255426513
2019-05,22-25,3,36951,0.7125382262996942
2019-05,22-25,4,45465,0.7383261849774552
2019-05,26-30,1,129873,0.678047015160965
2019-05,26-30,2,203225,0.7498142452946241
2019-05,26-30,3,86071,0.791997304550894
2019-05,26-30,4,137017,0.7836837764656941
2019-05,31-34,1,90488,0.700048625232075
2019-05,31-34,2,141241,0.7708668162927196
2019-05,31-34,3,78215,0.7953717317650068
2019-05,31-34,4,124216,0.7687656984607458
2019-05,35-40,1,120664,0.7164522972883378
2019-05,35-40,2,186485,0.7865190229777194
2019-05,35-40,3,124464,0.7994440159403522
2019-05,35-40,4,192967,0.7789052014074945
2019-05,41-49,1,187651,0.7387384026730474
2019-05,41-49,2,280643,0.7990186820978966
2019-05,41-49,3,216247,0.794304660873908
2019-05,41-49,4,316689,0.7896864115899195
2019-05,50+,1,385487,0.7007162368640187
2019-05,50+,2,521778,0.7462752358282642
2019-05,50+,3,374926,0.709702714669028
2019-05,50+,4,479661,0.7145609086417282
2019-06,22-25,1,101274,0.6478266879949444
2019-06,22-25,2,164558,0.6987384387267711
2019-06,22-25,3,39522,0.7075299833004403
2019-06,22-25,4,48638,0.735371520210535
2019-06,26-30,1,133522,0.6778059046449274
2019-06,26-30,2,208897,0.7496469551980163
2019-06,26-30,3,88494,0.7930142156530386
2019-06,26-30,4,140405,0.7835119831914817
2019-06,31-34,1,92376,0.7015891573568892
2019-06,31-34,2,143782,0.7724193570822495
2019-06,31-34,3,79438,0.7962184345023792
2019-06,31-34,4,126324,0.7698537095088819
2019-06,35-40,1,122066,0.7180459751282093
2019-06,35-40,2,188981,0.7886771686042512
2019-06,35-40,3,125798,0.7996709009682189
2019-06,35-40,4,194998,0.7799669740202464
2019-06,41-49,1,189709,0.7399121812881835
2019-06,41-49,2,283463,0.8002455346905946
2019-06,41-49,3,218410,0.7947346733208186
2019-06,41-49,4,319375,0.7899240704500978
2019-06,50+,1,389498,0.7010331246887018
2019-06,50+,2,526608,0.7469882721113238
2019-06,50+,3,380061,0.7089177789881098
2019-06,50+,4,485493,0.7142451075504693
2019-07,22-25,1,103827,0.6370789871613357
2019-07,22-25,2,170831,0.6859352225298687
2019-07,22-25,3,40700,0.6941277641277641
2019-07,22-25,4,49910,0.7243438188739731
2019-07,26-30,1,132775,0.6780041423460742
2019-07,26-30,2,208525,0.7494880709747033
2019-07,26-30,3,86594,0.793357507448553
2019-07,26-30,4,137614,0.7844187364657665
2019-07,31-34,1,90879,0.7046512395602944
2019-07,31-34,2,142011,0.7745738006210786
2019-07,31-34,3,76983,0.7988906641726096
2019-07,31-34,4,122770,0.7716624582552741
2019-07,35-40,1,120340,0.7214143260761177
2019-07,35-40,2,186074,0.7906908004342359
2019-07,35-40,3,122247,0.8014838809950346
2019-07,35-40,4,189830,0.7818047726913554
2019-07,41-49,1,186560,0.743026372212693
2019-07,41-49,2,278821,0.8014747813113072
2019-07,41-49,3,212748,0.796660838174742
2019-07,41-49,4,311780,0.7913496696388479
2019-07,50+,1,379638,0.7074950347436242
2019-07,50+,2,514606,0.7517790309479485
2019-07,50+,3,367070,0.714065437110088
2019-07,50+,4,469795,0.7194797730925191
2019-08,22-25,1,101897,0.6413044544981698
2019-08,22-25,2,165708,0.6904373959012239
2019-08,22-25,3,39753,0.703921716600005
2019-08,22-25,4,49732,0.7348990589560042
2019-08,26-30,1,130988,0.6813601245915656
2019-08,26-30,2,204813,0.7533652649001772
2019-08,26-30,3,86316,0.8009754854256453
2019-08,26-30,4,137960,0.7902145549434618
2019-08,31-34,1,89611,0.7090200979790428
2019-08,31-34,2,139768,0.7791840764695782
2019-08,31-34,3,77056,0.8048951411960132
2019-08,31-34,4,122682,0.7766094455584356
2019-08,35-40,1,118430,0.724250612175969
2019-08,35-40,2,183044,0.7945193505386683
2019-08,35-40,3,122164,0.806817065583969
2019-08,35-40,4,189620,0.7852283514397216
2019-08,41-49,1,183945,0.7446193155562804
2019-08,41-49,2,274637,0.8039521258970933
2019-08,41-49,3,211869,0.7999612968390846
2019-08,41-49,4,309923,0.7941811353142555
2019-08,50+,1,371978,0.7133217555876961
2019-08,50+,2,504310,0.7558386706589201
2019-08,50+,3,360544,0.7193546418745007
2019-08,50+,4,460848,0.7246163594070062
2019-09,22-25,1,102126,0.6579813171964044
2019-09,22-25,2,167003,0.7074244175254337
2019-09,22-25,3,40694,0.7261021280778494
2019-09,22-25,4,51436,0.7515747725328563
2019-09,26-30,1,132469,0.6904030376918373
2019-09,26-30,2,207517,0.7619616706101187
2019-09,26-30,3,87836,0.8060817887881961
2019-09,26-30,4,140798,0.7949970880268186
2019-09,31-34,1,90958,0.7146924954374546
2019-09,31-34,2,142269,0.784907464029409
2019-09,31-34,3,78397,0.8079263237113665
2019-09,31-34,4,124858,0.7801582597831136
2019-09,35-40,1,120371,0.7295611069111331
2019-09,35-40,2,186891,0.7980320079618601
2019-09,35-40,3,124297,0.8076622927343379
2019-09,35-40,4,192438,0.787167815088496
2019-09,41-49,1,187170,0.748079286210397
2019-09,41-49,2,279633,0.8059492263073386
2019-09,41-49,3,214599,0.8001248840861327
2019-09,41-49,4,313511,0.7945877497121313
2019-09,50+,1,376904,0.716376053318617
2019-09,50+,2,512124,0.7577500761534316
2019-09,50+,3,366651,0.7194034654207953
2019-09,50+,4,467127,0.7244817790450991
2019-10,22-25,1,95301,0.7008530865363427
2019-10,22-25,2,154108,0.7619915903132868
2019-10,22-25,3,37579,0.7669176933925863
2019-10,22-25,4,48069,0.7854750462876282
2019-10,26-30,1,129667,0.7056768491597708
2019-10,26-30,2,201693,0.7829473506765232
2019-10,26-30,3,86085,0.8143230527966545
2019-10,26-30,4,138407,0.8003785935682444
2019-10,31-34,1,90373,0.7235014882763657
2019-10,31-34,2,140874,0.7957039624061217
2019-10,31-34,3,77796,0.8105429585068641
2019-10,31-34,4,123835,0.7819921669964065
2019-10,35-40,1,120256,0.7352315061202768
2019-10,35-40,2,186123,0.8050429017370234
2019-10,35-40,3,123874,0.8087411401908391
2019-10,35-40,4,192139,0.7876068887628227
2019-10,41-49,1,187123,0.7525103808724742
2019-10,41-49,2,279067,0.8096012785460123
2019-10,41-49,3,214594,0.8005442836239597
2019-10,41-49,4,314521,0.794745024974485
2019-10,50+,1,377606,0.7208836723992733
2019-10,50+,2,512560,0.7609918838770096
2019-10,50+,3,369083,0.7197459649997426
2019-10,50+,4,471540,0.7257433091572295
2019-11,22-25,1,95384,0.6896649333221505
2019-11,22-25,2,154449,0.759700613147382
2019-11,22-25,3,37730,0.7651205936920222
2019-11,22-25,4,47723,0.7821385914548541
2019-11,26-30,1,128807,0.7027490741962782
2019-11,26-30,2,201717,0.7819519425730107
2019-11,26-30,3,86139,0.8136964673376752
2019-11,26-30,4,138108,0.8000115851362701
2019-11,31-34,1,90099,0.7210956836368884
2019-11,31-34,2,141229,0.7959484241904992
2019-11,31-34,3,77817,0.8101700142642353
2019-11,31-34,4,123696,0.7814318975552969
2019-11,35-40,1,119721,0.7336724551248319
2019-11,35-40,2,186066,0.8060473165435921
2019-11,35-40,3,123929,0.8090358188963035
2019-11,35-40,4,191725,0.7872995175381405
2019-11,41-49,1,186418,0.7519338261326696
2019-11,41-49,2,279645,0.8097087378640777
2019-11,41-49,3,214916,0.8005825531835694
2019-11,41-49,4,313684,0.7939710026651025
2019-11,50+,1,376041,0.7210490345467648
2019-11,50+,2,513376,0.7623126129776227
2019-11,50+,3,370302,0.7203282725991218
2019-11,50+,4,470774,0.7247554028047428
2019-12,22-25,1,94404,0.683975255285793
2019-12,22-25,2,154882,0.7477434433956173
2019-12,22-25,3,37821,0.7547923111498903
2019-12,22-25,4,48103,0.7768122570317859
2019-12,26-30,1,128437,0.6973847100134697
2019-12,26-30,2,202094,0.7751293952319218
2019-12,26-30,3,86769,0.81085410688149
2019-12,26-30,4,139811,0.796446631523986
2019-12,31-34,1,90031,0.7187635370039209
2019-12,31-34,2,141488,0.7913038561574126
2019-12,31-34,3,78499,0.8075771665881094
2019-12,31-34,4,125523,0.7793073779307378
2019-12,35-40,1,119820,0.7316057419462527
2019-12,35-40,2,187152,0.8018241856886381
2019-12,35-40,3,125654,0.8068266827956133
2019-12,35-40,4,195112,0.7853489277953175
2019-12,41-49,1,187404,0.7498292459072379
2019-12,41-49,2,282348,0.8071670420899032
2019-12,41-49,3,218756,0.7984466711770192
2019-12,41-49,4,320021,0.7925292402686074
2019-12,50+,1,379805,0.7177419991837917
2019-12,50+,2,519927,0.7589680859043674
2019-12,50+,3,380116,0.7158683138831304
