arm,age_group,cells,employers,zero_share,n_emp_total
all,22-25,7944780,41569,0.664125878878962,16445333
all,26-30,10878120,58921,0.6119207179181697,28454521
all,31-34,9305400,52905,0.5999114492660176,24026548
all,35-40,11147220,64463,0.571148322182571,33923413
all,41-49,14523360,84614,0.5361610536404798,52924294
all,50+,20553960,117602,0.5232042389884967,97119387
fresh,22-25,4878300,26178,0.6976735748108972,11704697
fresh,26-30,6741240,37506,0.6705459233019444,21346186
fresh,31-34,5589360,31987,0.6492900797229021,18447110
fresh,35-40,6851280,39670,0.6390052661692414,26671176
fresh,41-49,9130740,53165,0.6346300518906464,42268030
fresh,50+,12472500,72027,0.652240368811385,71673349
stale,22-25,4727040,25662,0.7191999644597888,3935237
stale,26-30,6600420,37219,0.6650335887716237,5982626
stale,31-34,5532600,33030,0.6562547446047067,4661256
stale,35-40,6684960,40657,0.6308392271606711,6123050
stale,41-49,8909580,54405,0.5966986098110124,9161145
stale,50+,14217000,84944,0.5720329183372019,23366958
