term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group,outcome
gpt_x_expo_22_25,-0.027270513257743,0.023087033029981,0.237521391682456,11013772,16197386,True,37.6521880626678,ok,22-25,n_hire
gpt_x_expo_26_30,-0.0205927742652253,0.0141866698001196,0.146624539747663,11013772,16197386,True,37.6521880626678,ok,26-30,n_hire
gpt_x_expo_31_34,-0.0123271817808617,0.0135058331112407,0.361384455596866,11013772,16197386,True,37.6521880626678,ok,31-34,n_hire
gpt_x_expo_35_40,-0.0235659531824688,0.0127194477470876,0.0639182407400212,11013772,16197386,True,37.6521880626678,ok,35-40,n_hire
gpt_x_expo_41_49,-0.0344508327467822,0.0120713391762445,0.004318119227464,11013772,16197386,True,37.6521880626678,ok,41-49,n_hire
gpt_x_expo_50p,0.0195169617862958,0.0215810371344112,0.365806136541519,11013772,16197386,True,37.6521880626678,ok,50+,n_hire
gpt_x_expo_22_25,-0.0090389084628259,0.0157041764681546,0.564903469307433,11013772,16168367,True,40.2800030708313,ok,22-25,n_sep
gpt_x_expo_26_30,-0.0050379998019524,0.0092620797206397,0.586483939066651,11013772,16168367,True,40.2800030708313,ok,26-30,n_sep
gpt_x_expo_31_34,-0.006673804080978,0.0104679597700533,0.523769368749039,11013772,16168367,True,40.2800030708313,ok,31-34,n_sep
gpt_x_expo_35_40,-0.0216627923540842,0.0104936856135702,0.0389831670211588,11013772,16168367,True,40.2800030708313,ok,35-40,n_sep
gpt_x_expo_41_49,-0.0388208737154502,0.0093588636304307,3.35344299378083e-05,11013772,16168367,True,40.2800030708313,ok,41-49,n_sep
gpt_x_expo_50p,-0.0207801993925034,0.010656915404476,0.0511849065243765,11013772,16168367,True,40.2800030708313,ok,50+,n_sep
