term,is_young_term,halfyear,coef,se,pvalue,n_obs,status,outcome
expo_2019H1,False,2019H1,-0.025103031352384,0.0083287424434889,0.0025780723345511,11208600,ok,stock
expo_2019H2,False,2019H2,-0.0322551564961014,0.0073882808643884,1.26705411293525e-05,11208600,ok,stock
expo_2020H1,False,2020H1,-0.0240639957784632,0.0063014624294365,0.0001341049260531,11208600,ok,stock
expo_2020H2,False,2020H2,-0.0168711458913669,0.0056525735608527,0.0028387140977265,11208600,ok,stock
expo_2021H1,False,2021H1,-0.0071036748445078,0.0046773345397277,0.12882688869581,11208600,ok,stock
expo_2021H2,False,2021H2,-0.0116468843053857,0.0040242952451407,0.0038019545431706,11208600,ok,stock
expo_2022H1,False,2022H1,0.0,0.0,,11208600,reference,stock
expo_2022H2,False,2022H2,-0.0021003133504291,0.0034515568316945,0.542848026476918,11208600,ok,stock
expo_2023H1,False,2023H1,0.0102281647374276,0.0078439815856877,0.192250415647297,11208600,ok,stock
expo_2023H2,False,2023H2,0.0060670675656589,0.0091136521111765,0.505595202463322,11208600,ok,stock
expo_2024H1,False,2024H1,0.0070443964957573,0.0097209803267841,0.468661215046343,11208600,ok,stock
expo_2024H2,False,2024H2,0.002454899929119,0.0109628185136005,0.82281205717785,11208600,ok,stock
expo_2025H1,False,2025H1,0.0015826736403977,0.0124264856232904,0.898653153439433,11208600,ok,stock
expo_2019H1,False,2019H1,-0.0576989113900045,0.0167287941294873,0.0005625047413417,11013772,ok,hires
expo_2019H2,False,2019H2,-0.0471890410088386,0.0172556404227536,0.006243669985124,11013772,ok,hires
expo_2020H1,False,2020H1,-0.0413967768815601,0.0175202427685171,0.0181376021600901,11013772,ok,hires
expo_2020H2,False,2020H2,-0.0500431381562057,0.0189134499974321,0.008147337817908,11013772,ok,hires
expo_2021H1,False,2021H1,-0.0193321807563619,0.0176671310999255,0.273847269946795,11013772,ok,hires
expo_2021H2,False,2021H2,-0.035476208860663,0.0155175675277421,0.0222427643468251,11013772,ok,hires
expo_2022H1,False,2022H1,0.0,0.0,,11013772,reference,hires
expo_2022H2,False,2022H2,-0.0246005403182461,0.0140645289472167,0.0802703838800213,11013772,ok,hires
expo_2023H1,False,2023H1,-0.0042805544874503,0.0230497502620771,0.85267268377368,11013772,ok,hires
expo_2023H2,False,2023H2,-0.0295663766755742,0.0149473566324552,0.0479248934725577,11013772,ok,hires
expo_2024H1,False,2024H1,-0.0483165357672404,0.0121939391661673,7.42186715545994e-05,11013772,ok,hires
expo_2024H2,False,2024H2,-0.049273646999442,0.0146886726714117,0.000794988785485,11013772,ok,hires
expo_2025H1,False,2025H1,-0.0959377524845194,0.0277704496237778,0.0005509657669641,11013772,ok,hires
expo_2019H1,False,2019H1,-0.0360505258438013,0.0164422738239679,0.0283397363362045,11013772,ok,seps
expo_2019H2,False,2019H2,-0.0668709194901823,0.0147693537993295,5.9634574246854e-06,11013772,ok,seps
expo_2020H1,False,2020H1,-0.0631858389472515,0.0153422923482963,3.81496724046669e-05,11013772,ok,seps
expo_2020H2,False,2020H2,-0.0653507890546618,0.0156772624880291,3.06600434571825e-05,11013772,ok,seps
expo_2021H1,False,2021H1,-0.0125796398323193,0.0165954955326923,0.448441812306293,11013772,ok,seps
expo_2021H2,False,2021H2,-0.0419117187607807,0.0140375215004225,0.0028293725289831,11013772,ok,seps
expo_2022H1,False,2022H1,0.0,0.0,,11013772,reference,seps
expo_2022H2,False,2022H2,-0.0419670816461723,0.0121874514765247,0.0005743076054582,11013772,ok,seps
expo_2023H1,False,2023H1,-0.0194259129165934,0.0097156974218048,0.0455612253633794,11013772,ok,seps
expo_2023H2,False,2023H2,-0.0342826943020482,0.0126272177619708,0.0066278970708045,11013772,ok,seps
expo_2024H1,False,2024H1,-0.0297651014821913,0.0109771898643139,0.0066971237905206,11013772,ok,seps
expo_2024H2,False,2024H2,-0.0607627153351746,0.0156681626033541,0.0001052750606964,11013772,ok,seps
expo_2025H1,False,2025H1,-0.044890802494375,0.0128973643385327,0.0005002578282557,11013772,ok,seps
