term,is_young_term,halfyear,coef,se,pvalue,n_obs,status,outcome
expo_2019H1_young,True,2019H1,0.0009220288823945,0.0101183517968213,0.92739373344233,11208600,ok,stock
expo_2019H2_young,True,2019H2,0.041188193571309,0.0101759856174493,5.1748209550784e-05,11208600,ok,stock
expo_2020H1_young,True,2020H1,0.0068425975361883,0.0081046662660627,0.398513655558695,11208600,ok,stock
expo_2020H2_young,True,2020H2,0.0265637887201075,0.0087606721550671,0.0024280779709873,11208600,ok,stock
expo_2021H1_young,True,2021H1,-0.003825975042524,0.005897227716552,0.516483694857589,11208600,ok,stock
expo_2021H2_young,True,2021H2,0.0266253814101438,0.0068017065999917,9.05861673161781e-05,11208600,ok,stock
expo_2022H1,False,2022H1,0.0,0.0,,11208600,reference,stock
expo_2022H2_young,True,2022H2,0.0451257941418054,0.0074900892314676,1.69388128312203e-09,11208600,ok,stock
expo_2023H1_young,True,2023H1,0.0128050866646554,0.0071797800886735,0.0745061060535677,11208600,ok,stock
expo_2023H2_young,True,2023H2,0.0426305450505142,0.0113409349028751,0.0001705955961466,11208600,ok,stock
expo_2024H1_young,True,2024H1,-0.0009194523170331,0.0103229362315794,0.92902717319128,11208600,ok,stock
expo_2024H2_young,True,2024H2,0.0159136210613731,0.0129646251264419,0.219647941897711,11208600,ok,stock
expo_2025H1_young,True,2025H1,-0.0072058629025352,0.0133080636833631,0.588186483847889,11208600,ok,stock
expo_2019H1_young,True,2019H1,0.0056957102152578,0.0182872105880667,0.755451960966058,11013772,ok,hires
expo_2019H2_young,True,2019H2,0.0642947219008311,0.019847938868272,0.0011979608970925,11013772,ok,hires
expo_2020H1_young,True,2020H1,0.0114343397515492,0.0194020327088743,0.555635090817971,11013772,ok,hires
expo_2020H2_young,True,2020H2,0.0435113061490274,0.021698654015252,0.0449359323339169,11013772,ok,hires
expo_2021H1_young,True,2021H1,0.0018222783922213,0.0179078937105262,0.918948455888626,11013772,ok,hires
expo_2021H2_young,True,2021H2,0.0601507592604037,0.0185652780109913,0.0011954644323841,11013772,ok,hires
expo_2022H1,False,2022H1,0.0,0.0,,11013772,reference,hires
expo_2022H2_young,True,2022H2,0.0755626112268663,0.0172410715881481,1.17212267767463e-05,11013772,ok,hires
expo_2023H1_young,True,2023H1,0.0270968391525302,0.0147054013484328,0.0653808106110048,11013772,ok,hires
expo_2023H2_young,True,2023H2,0.0575940539200989,0.0215550315762897,0.0075410973927185,11013772,ok,hires
expo_2024H1_young,True,2024H1,0.013205273569003,0.0138309787111101,0.339698775002719,11013772,ok,hires
expo_2024H2_young,True,2024H2,0.0587456125616524,0.0225062121136835,0.009049050406808,11013772,ok,hires
expo_2025H1_young,True,2025H1,-0.0688636863746701,0.0791819578134073,0.384470325410116,11013772,ok,hires
expo_2019H1_young,True,2019H1,0.0315701766331868,0.0183189530013204,0.0848231892673697,11013772,ok,seps
expo_2019H2_young,True,2019H2,0.03568311512182,0.0173331046610865,0.0395260138060244,11013772,ok,seps
expo_2020H1_young,True,2020H1,0.0285959808477423,0.0201926525943537,0.156729331849577,11013772,ok,seps
expo_2020H2_young,True,2020H2,0.0471074542772684,0.0196102540604071,0.0162974727801959,11013772,ok,seps
expo_2021H1_young,True,2021H1,0.0156290568420811,0.0196547424060753,0.426508840233455,11013772,ok,seps
expo_2021H2_young,True,2021H2,0.0408988496043454,0.0184197373514621,0.0263928613244224,11013772,ok,seps
expo_2022H1,False,2022H1,0.0,0.0,,11013772,reference,seps
expo_2022H2_young,True,2022H2,0.0473054036677935,0.0163145151081772,0.0037365114530213,11013772,ok,seps
expo_2023H1_young,True,2023H1,0.0291724870117487,0.0124235508638959,0.0188664075950258,11013772,ok,seps
expo_2023H2_young,True,2023H2,0.0535076062210878,0.0200718325108356,0.0076804060031443,11013772,ok,seps
expo_2024H1_young,True,2024H1,0.0198253978447609,0.0160438192767024,0.216568930259114,11013772,ok,seps
expo_2024H2_young,True,2024H2,0.0597447401375055,0.0221845643763969,0.0070795916098454,11013772,ok,seps
expo_2025H1_young,True,2025H1,0.0405721013707589,0.019688730226189,0.0393339242965357,11013772,ok,seps
