term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group,baseline,outcome
gpt_x_expo_22_25,0.0080816930088088,0.0125571448493437,0.519839262339773,11208600,321724263,True,40.4695019721985,ok,22-25,2019,stock
gpt_x_expo_26_30,0.0130763471994544,0.0092473317649022,0.157342215001344,11208600,321724263,True,40.4695019721985,ok,26-30,2019,stock
gpt_x_expo_31_34,0.009091583350719,0.0088851029039384,0.306194881834469,11208600,321724263,True,40.4695019721985,ok,31-34,2019,stock
gpt_x_expo_35_40,-0.0044245878478714,0.0083428496522423,0.595872814330672,11208600,321724263,True,40.4695019721985,ok,35-40,2019,stock
gpt_x_expo_41_49,-0.0193200345371677,0.0089128411726143,0.0301843493654126,11208600,321724263,True,40.4695019721985,ok,41-49,2019,stock
gpt_x_expo_50p,0.0356706231812686,0.0143715561308943,0.0130636538785426,11208600,321724263,True,40.4695019721985,ok,50+,2019,stock
gpt_x_expo_22_25,-0.027270513257743,0.023087033029981,0.237521391682456,11013772,16197386,True,38.6946678161621,ok,22-25,2019,hires
gpt_x_expo_26_30,-0.0205927742652253,0.0141866698001196,0.146624539747663,11013772,16197386,True,38.6946678161621,ok,26-30,2019,hires
gpt_x_expo_31_34,-0.0123271817808617,0.0135058331112407,0.361384455596866,11013772,16197386,True,38.6946678161621,ok,31-34,2019,hires
gpt_x_expo_35_40,-0.0235659531824688,0.0127194477470876,0.0639182407400212,11013772,16197386,True,38.6946678161621,ok,35-40,2019,hires
gpt_x_expo_41_49,-0.0344508327467822,0.0120713391762445,0.004318119227464,11013772,16197386,True,38.6946678161621,ok,41-49,2019,hires
gpt_x_expo_50p,0.0195169617862958,0.0215810371344112,0.365806136541519,11013772,16197386,True,38.6946678161621,ok,50+,2019,hires
gpt_x_expo_22_25,-0.0090389084628259,0.0157041764681546,0.564903469307433,11013772,16168367,True,38.7984750270844,ok,22-25,2019,seps
gpt_x_expo_26_30,-0.0050379998019524,0.0092620797206397,0.586483939066651,11013772,16168367,True,38.7984750270844,ok,26-30,2019,seps
gpt_x_expo_31_34,-0.006673804080978,0.0104679597700533,0.523769368749039,11013772,16168367,True,38.7984750270844,ok,31-34,2019,seps
gpt_x_expo_35_40,-0.0216627923540842,0.0104936856135702,0.0389831670211588,11013772,16168367,True,38.7984750270844,ok,35-40,2019,seps
gpt_x_expo_41_49,-0.0388208737154502,0.0093588636304307,3.35344299378083e-05,11013772,16168367,True,38.7984750270844,ok,41-49,2019,seps
gpt_x_expo_50p,-0.0207801993925034,0.010656915404476,0.0511849065243765,11013772,16168367,True,38.7984750270844,ok,50+,2019,seps
gpt_x_expo_22_25,-0.0252250090008723,0.0242461812364683,0.298167853368416,12327546,16840769,True,41.3325271606445,ok,22-25,2022,hires
gpt_x_expo_26_30,-0.0170278007043678,0.014699382839247,0.246699850641578,12327546,16840769,True,41.3325271606445,ok,26-30,2022,hires
gpt_x_expo_31_34,-0.0068327351431581,0.0136650673161612,0.617064695410443,12327546,16840769,True,41.3325271606445,ok,31-34,2022,hires
gpt_x_expo_35_40,-0.015501033706186,0.0127110969233924,0.222658922034342,12327546,16840769,True,41.3325271606445,ok,35-40,2022,hires
gpt_x_expo_41_49,-0.025743386354668,0.0112553885617909,0.0221838325409971,12327546,16840769,True,41.3325271606445,ok,41-49,2022,hires
gpt_x_expo_50p,0.0262449136212239,0.0183277889587579,0.152151319288067,12327546,16840769,True,41.3325271606445,ok,50+,2022,hires
gpt_x_expo_22_25,-0.0470907246395467,0.0148096069540469,0.0014740638729878,12327546,16505001,True,45.3930130004883,ok,22-25,2022,seps
gpt_x_expo_26_30,-0.0375717394840775,0.0087673853718598,1.82411976269077e-05,12327546,16505001,True,45.3930130004883,ok,26-30,2022,seps
gpt_x_expo_31_34,-0.036715267509513,0.0103510834864933,0.0003896482515502,12327546,16505001,True,45.3930130004883,ok,31-34,2022,seps
gpt_x_expo_35_40,-0.0497848303553552,0.0103878013065212,1.64613607715187e-06,12327546,16505001,True,45.3930130004883,ok,35-40,2022,seps
gpt_x_expo_41_49,-0.0660997509501928,0.0088822668348544,9.934812455393132e-14,12327546,16505001,True,45.3930130004883,ok,41-49,2022,seps
gpt_x_expo_50p,-0.0496558495776373,0.0103595052265166,1.64088979982009e-06,12327546,16505001,True,45.3930130004883,ok,50+,2022,seps
