table_name,n_rows,period,vintage,year,month
Arb_AGIIndivid201901_def,,201901,def,2019,1
Arb_AGIIndivid201902_def,,201902,def,2019,2
Arb_AGIIndivid201903_def,,201903,def,2019,3
Arb_AGIIndivid201904_def,,201904,def,2019,4
Arb_AGIIndivid201905_def,,201905,def,2019,5
Arb_AGIIndivid201906_def,,201906,def,2019,6
Arb_AGIIndivid201907_def,,201907,def,2019,7
Arb_AGIIndivid201908_def,,201908,def,2019,8
Arb_AGIIndivid201909_def,,201909,def,2019,9
Arb_AGIIndivid201910_def,,201910,def,2019,10
Arb_AGIIndivid201911_def,,201911,def,2019,11
Arb_AGIIndivid201912_def,,201912,def,2019,12
Arb_AGIIndivid202001_Def,,202001,def,2020,1
Arb_AGIIndivid202002_Def,,202002,def,2020,2
Arb_AGIIndivid202003_Def,,202003,def,2020,3
Arb_AGIIndivid202004_Def,,202004,def,2020,4
Arb_AGIIndivid202005_Def,,202005,def,2020,5
Arb_AGIIndivid202006_Def,,202006,def,2020,6
Arb_AGIIndivid202007_Def,,202007,def,2020,7
Arb_AGIIndivid202008_Def,,202008,def,2020,8
Arb_AGIIndivid202009_Def,,202009,def,2020,9
Arb_AGIIndivid202010_Def,,202010,def,2020,10
Arb_AGIIndivid202011_Def,,202011,def,2020,11
Arb_AGIIndivid202012_Def,,202012,def,2020,12
Arb_AGIIndivid202101_Def,,202101,def,2021,1
Arb_AGIIndivid202102_Def,,202102,def,2021,2
Arb_AGIIndivid202103_Def,,202103,def,2021,3
Arb_AGIIndivid202104_Def,,202104,def,2021,4
Arb_AGIIndivid202105_Def,,202105,def,2021,5
Arb_AGIIndivid202106_Def,,202106,def,2021,6
Arb_AGIIndivid202107_Def,,202107,def,2021,7
Arb_AGIIndivid202108_Def,,202108,def,2021,8
Arb_AGIIndivid202109_Def,,202109,def,2021,9
Arb_AGIIndivid202110_Def,,202110,def,2021,10
Arb_AGIIndivid202111_Def,,202111,def,2021,11
Arb_AGIIndivid202112_Def,,202112,def,2021,12
Arb_AGIIndivid202201_Def,,202201,def,2022,1
Arb_AGIIndivid202202_Def,,202202,def,2022,2
Arb_AGIIndivid202203_Def,,202203,def,2022,3
Arb_AGIIndivid202204_Def,,202204,def,2022,4
Arb_AGIIndivid202205_Def,,202205,def,2022,5
Arb_AGIIndivid202206_Def,,202206,def,2022,6
Arb_AGIIndivid202207_Def,,202207,def,2022,7
Arb_AGIIndivid202208_Def,,202208,def,2022,8
Arb_AGIIndivid202209_Def,,202209,def,2022,9
Arb_AGIIndivid202210_Def,,202210,def,2022,10
Arb_AGIIndivid202211_Def,,202211,def,2022,11
Arb_AGIIndivid202212_Def,,202212,def,2022,12
Arb_AGIIndivid202301_Def,,202301,def,2023,1
Arb_AGIIndivid202302_Def,,202302,def,2023,2
Arb_AGIIndivid202303_Def,,202303,def,2023,3
Arb_AGIIndivid202304_Def,,202304,def,2023,4
Arb_AGIIndivid202305_Def,,202305,def,2023,5
Arb_AGIIndivid202306_Def,,202306,def,2023,6
Arb_AGIIndivid202307_Def,,202307,def,2023,7
Arb_AGIIndivid202308_Def,,202308,def,2023,8
Arb_AGIIndivid202309_Def,,202309,def,2023,9
Arb_AGIIndivid202310_Def,,202310,def,2023,10
Arb_AGIIndivid202311_Def,,202311,def,2023,11
Arb_AGIIndivid202312_Def,,202312,def,2023,12
Arb_AGIIndivid202401_Def,,202401,def,2024,1
Arb_AGIIndivid202402_Def,,202402,def,2024,2
Arb_AGIIndivid202403_Def,,202403,def,2024,3
Arb_AGIIndivid202404_Def,,202404,def,2024,4
Arb_AGIIndivid202405_Def,,202405,def,2024,5
Arb_AGIIndivid202406_Def,,202406,def,2024,6
Arb_AGIIndivid202407_Def,,202407,def,2024,7
Arb_AGIIndivid202408_Def,,202408,def,2024,8
Arb_AGIIndivid202409_Def,,202409,def,2024,9
Arb_AGIIndivid202410_Def,,202410,def,2024,10
Arb_AGIIndivid202411_Def,,202411,def,2024,11
Arb_AGIIndivid202412_Def,,202412,def,2024,12
Arb_AGIIndivid202501_Prel,,202501,prel,2025,1
Arb_AGIIndivid202502_Prel,,202502,prel,2025,2
Arb_AGIIndivid202503_Prel,,202503,prel,2025,3
Arb_AGIIndivid202504_Prel,,202504,prel,2025,4
Arb_AGIIndivid202505_Prel,,202505,prel,2025,5
Arb_AGIIndivid202506_Prel,,202506,prel,2025,6
