term,is_young_term,halfyear,coef,se,pvalue,n_obs,status,outcome,spec
expo_2019H1_young,True,2019H1,0.0071016383298765,0.0185445324544075,0.701756452467426,5864476,ok,hires,h1only
expo_2020H1_young,True,2020H1,0.0091913373906963,0.0197520794287838,0.641691446974853,5864476,ok,hires,h1only
expo_2021H1_young,True,2021H1,0.0013157638791393,0.0176665313728038,0.940630228153513,5864476,ok,hires,h1only
expo_2023H1_young,True,2023H1,0.0297789672704974,0.0138357613767462,0.0313722657989717,5864476,ok,hires,h1only
expo_2024H1_young,True,2024H1,0.0106531716932384,0.0137220645572626,0.43754034190539,5864476,ok,hires,h1only
expo_2025H1_young,True,2025H1,-0.0494162307464734,0.067221923883756,0.46226596141589,5864476,ok,hires,h1only
expo_2019H1_young,True,2019H1,0.0278237189922903,0.0188874340916806,0.140714940575486,5864476,ok,seps,h1only
expo_2020H1_young,True,2020H1,0.0282545807318443,0.0207259609870311,0.172805035064701,5864476,ok,seps,h1only
expo_2021H1_young,True,2021H1,0.0132790764596267,0.0204087945374315,0.515269463093587,5864476,ok,seps,h1only
expo_2023H1_young,True,2023H1,0.0290954360310641,0.0127719748903167,0.022722485715022,5864476,ok,seps,h1only
expo_2024H1_young,True,2024H1,0.0189175273323913,0.016226327915924,0.243673529185457,5864476,ok,seps,h1only
expo_2025H1_young,True,2025H1,0.0419918087600249,0.0198601569482454,0.0344832966705536,5864476,ok,seps,h1only
