term,is_young_term,halfyear,coef,se,pvalue,n_obs,status,outcome,spec
expo_2019H1_young,True,2019H1,-0.0006217325710849,0.0182872105880667,0.755451960966058,11013772,ok,hires,rebased
expo_2019H2_young,True,2019H2,0.0083091261307437,0.019847938868272,0.0011979608970925,11013772,ok,hires,rebased
expo_2020H1_young,True,2020H1,0.0051168969652064,0.0194020327088743,0.555635090817971,11013772,ok,hires,rebased
expo_2020H2_young,True,2020H2,-0.01247428962106,0.021698654015252,0.0449359323339169,11013772,ok,hires,rebased
expo_2021H1_young,True,2021H1,-0.0044951643941214,0.0179078937105262,0.918948455888626,11013772,ok,hires,rebased
expo_2021H2_young,True,2021H2,0.0041651634903162,0.0185652780109913,0.0011954644323841,11013772,ok,hires,rebased
expo_2022H2_young,True,2022H2,0.0195770154567789,0.0172410715881481,1.17212267767463e-05,11013772,ok,hires,rebased
expo_2023H1_young,True,2023H1,0.0207793963661874,0.0147054013484328,0.0653808106110048,11013772,ok,hires,rebased
expo_2023H2_young,True,2023H2,0.0016084581500114,0.0215550315762897,0.0075410973927185,11013772,ok,hires,rebased
expo_2024H1_young,True,2024H1,0.0068878307826602,0.0138309787111101,0.339698775002719,11013772,ok,hires,rebased
expo_2024H2_young,True,2024H2,0.0027600167915649,0.0225062121136835,0.009049050406808,11013772,ok,hires,rebased
expo_2025H1_young,True,2025H1,-0.0751811291610128,0.0791819578134073,0.384470325410116,11013772,ok,hires,rebased
expo_2019H1_young,True,2019H1,0.0063051051921833,0.0183189530013204,0.0848231892673697,11013772,ok,seps,rebased
expo_2019H2_young,True,2019H2,-0.0055466912126579,0.0173331046610865,0.0395260138060244,11013772,ok,seps,rebased
expo_2020H1_young,True,2020H1,0.0033309094067388,0.0201926525943537,0.156729331849577,11013772,ok,seps,rebased
expo_2020H2_young,True,2020H2,0.0058776479427904,0.0196102540604071,0.0162974727801959,11013772,ok,seps,rebased
expo_2021H1_young,True,2021H1,-0.0096360145989222,0.0196547424060753,0.426508840233455,11013772,ok,seps,rebased
expo_2021H2_young,True,2021H2,-0.0003309567301325,0.0184197373514621,0.0263928613244224,11013772,ok,seps,rebased
expo_2022H2_young,True,2022H2,0.0060755973333155,0.0163145151081772,0.0037365114530213,11013772,ok,seps,rebased
expo_2023H1_young,True,2023H1,0.0039074155707452,0.0124235508638959,0.0188664075950258,11013772,ok,seps,rebased
expo_2023H2_young,True,2023H2,0.0122777998866098,0.0200718325108356,0.0076804060031443,11013772,ok,seps,rebased
expo_2024H1_young,True,2024H1,-0.0054396735962424,0.0160438192767024,0.216568930259114,11013772,ok,seps,rebased
expo_2024H2_young,True,2024H2,0.0185149338030275,0.0221845643763969,0.0070795916098454,11013772,ok,seps,rebased
expo_2025H1_young,True,2025H1,0.0153070299297555,0.019688730226189,0.0393339242965357,11013772,ok,seps,rebased
expo_2019H1_young,True,2019H1,-0.0003908549096251,0.0101183517968213,0.92739373344233,11208600,ok,stock,rebased
expo_2019H2_young,True,2019H2,0.0097290723374555,0.0101759856174493,5.1748209550784e-05,11208600,ok,stock,rebased
expo_2020H1_young,True,2020H1,0.0055297137441687,0.0081046662660627,0.398513655558695,11208600,ok,stock,rebased
expo_2020H2_young,True,2020H2,-0.0048953325137459,0.0087606721550671,0.0024280779709873,11208600,ok,stock,rebased
expo_2021H1_young,True,2021H1,-0.0051388588345436,0.005897227716552,0.516483694857589,11208600,ok,stock,rebased
expo_2021H2_young,True,2021H2,-0.0048337398237096,0.0068017065999917,9.05861673161781e-05,11208600,ok,stock,rebased
expo_2022H2_young,True,2022H2,0.0136666729079519,0.0074900892314676,1.69388128312203e-09,11208600,ok,stock,rebased
expo_2023H1_young,True,2023H1,0.0114922028726358,0.0071797800886735,0.0745061060535677,11208600,ok,stock,rebased
expo_2023H2_young,True,2023H2,0.0111714238166607,0.0113409349028751,0.0001705955961466,11208600,ok,stock,rebased
expo_2024H1_young,True,2024H1,-0.0022323361090527,0.0103229362315794,0.92902717319128,11208600,ok,stock,rebased
expo_2024H2_young,True,2024H2,-0.0155455001724803,0.0129646251264419,0.219647941897711,11208600,ok,stock,rebased
expo_2025H1_young,True,2025H1,-0.0085187466945548,0.0133080636833631,0.588186483847889,11208600,ok,stock,rebased
