period,coef,se,pvalue,n_obs,status,outcome,scheme,rebased
2019Q1,0.043352783439516,0.033182258165452,0.191380908119886,11013772,ok,hires,quarter,0.0083762354866857
2019Q2,0.0056079897575769,0.0257442536931737,0.827557968237539,11013772,ok,hires,quarter,-0.0013500976109994
2019Q3,0.124197735600256,0.0320153519945257,0.0001047496833475,11013772,ok,hires,quarter,0.0303437925257634
2019Q4,0.0264587644700555,0.0262307347952102,0.313121782065154,11013772,ok,hires,quarter,-0.01899895134496
2020Q1,0.0327315594164036,0.0370452901486854,0.376936362251556,11013772,ok,hires,quarter,-0.0022449885364266
2020Q2,0.0156600007106532,0.0245535420836353,0.523610466746967,11013772,ok,hires,quarter,0.0087019133420768
2020Q3,0.0603299643495609,0.0312763071989835,0.0537389292348573,11013772,ok,hires,quarter,-0.0335239787249316
2020Q4,0.0534126259430929,0.0330322790826782,0.105882001414488,11013772,ok,hires,quarter,0.0079549101280773
2021Q1,0.0346620461536622,0.037014098059776,0.349038846887556,11013772,ok,hires,quarter,-0.000314501799168
2021Q2,-0.000393728362501,0.0231389025926235,0.986423961931934,11013772,ok,hires,quarter,-0.0073518157310773
2021Q3,0.0900296160959294,0.0303629708964977,0.0030257253317399,11013772,ok,hires,quarter,-0.0038243269785631
2021Q4,0.0565017570318981,0.0275818958673049,0.040510168495447,11013772,ok,hires,quarter,0.0110440412168826
2022Q1,0.0291598028017392,0.0288902094640348,0.312815605829252,11013772,ok,hires,quarter,-0.005816745151091
2022Q3,0.100858456252224,0.0278865709472998,0.0002983375420134,11013772,ok,hires,quarter,0.0070045131777314
2022Q4,0.0756290741178811,0.027113224746978,0.0052809139082393,11013772,ok,hires,quarter,0.0301713583028655
2023Q1,0.0393371665688977,0.0364229148886771,0.280137063756168,11013772,ok,hires,quarter,0.0043606186160674
2023Q2,0.0402085901064718,0.0131211585741036,0.0021810086580346,11013772,ok,hires,quarter,0.0332505027378954
2023Q3,0.122172445868154,0.032762538428202,0.000192219265858,11013772,ok,hires,quarter,0.0283185027936614
2023Q4,0.0105062308937816,0.033841504382975,0.756215724075756,11013772,ok,hires,quarter,-0.0349514849212339
2024Q1,0.030392148729391,0.028760470039125,0.290633286042112,11013772,ok,hires,quarter,-0.0045843992234392
2024Q2,0.0222925357685142,0.0223824887486677,0.319259328261729,11013772,ok,hires,quarter,0.0153344483999378
2024Q3,0.105548670102393,0.0355160927314211,0.002960066533564,11013772,ok,hires,quarter,0.0116947270279004
2024Q4,0.0357575876409349,0.0304849761316904,0.240812767046874,11013772,ok,hires,quarter,-0.0097001281740806
2025Q1,0.0934862943662269,0.035353057241426,0.0081844982383754,11013772,ok,hires,quarter,0.0585097464133966
2025Q2,-0.181210471078718,0.137382903652811,0.187163220754971,11013772,ok,hires,quarter,-0.1881685584472943
2019Q1,0.0747180199189642,0.0334152989085486,0.0253490041963027,11013772,ok,seps,quarter,0.01879822673914
2019Q2,0.0413420624990737,0.0289492877416248,0.153267206372887,11013772,ok,seps,quarter,-2.916336986300005e-05
2019Q3,0.0901969221279225,0.0309359802260937,0.0035500612186348,11013772,ok,seps,quarter,-0.0163984357285026
2019Q4,0.0366111545347227,0.0245493142815752,0.135874601925241,11013772,ok,seps,quarter,0.0007162141453724
2020Q1,0.0394203053703841,0.0303200853771021,0.193553560307994,11013772,ok,seps,quarter,-0.01649948780944
2020Q2,0.0688877167348347,0.0355626451903637,0.0527354687985695,11013772,ok,seps,quarter,0.0275164908658979
2020Q3,0.111936766850946,0.0311048646746779,0.0003198240940289,11013772,ok,seps,quarter,0.0053414089945208
2020Q4,0.0408731576797038,0.0312966923482862,0.191556062157416,11013772,ok,seps,quarter,0.0049782172903535
2021Q1,0.0622061817424563,0.0377306600774634,0.0992110524199635,11013772,ok,seps,quarter,0.0062863885626321
2021Q2,0.0138838983729017,0.0265368676433171,0.600840083835527,11013772,ok,seps,quarter,-0.0274873274960349
2021Q3,0.110608009928593,0.0311127203409067,0.0003778733344363,11013772,ok,seps,quarter,0.0040126520721678
2021Q4,0.0302005089536244,0.0308229083723216,0.327181274873182,11013772,ok,seps,quarter,-0.0056944314357258
2022Q1,0.047334665687492,0.0273703993768931,0.083735589275017,11013772,ok,seps,quarter,-0.0085851274923321
2022Q3,0.113639732518239,0.0278260295898157,4.42791722373437e-05,11013772,ok,seps,quarter,0.0070443746618138
2022Q4,0.0357695921605808,0.0290847154280489,0.21875643707379,11013772,ok,seps,quarter,-0.0001253482287694
2023Q1,0.0679432931459962,0.0302694480919028,0.0247927827274844,11013772,ok,seps,quarter,0.012023499966172
2023Q2,0.0368994791268347,0.0179050443007066,0.0393180531127746,11013772,ok,seps,quarter,-0.0044717467421019
2023Q3,0.121981252442673,0.0298907944792162,4.48622402082283e-05,11013772,ok,seps,quarter,0.0153858945862478
2023Q4,0.0412465179892683,0.0336969218386352,0.220935595993476,11013772,ok,seps,quarter,0.005351577599918
2024Q1,0.0379610243925958,0.0248183222030482,0.126126560261268,11013772,ok,seps,quarter,-0.0179587687872283
2024Q2,0.0523970020395739,0.029678550274758,0.0774824773868574,11013772,ok,seps,quarter,0.0110257761706372
2024Q3,0.133931098140148,0.0315010501224767,2.12211587257449e-05,11013772,ok,seps,quarter,0.0273357402837228
2024Q4,0.0425028551421725,0.0365779794313649,0.245243871042547,11013772,ok,seps,quarter,0.0066079147528222
2025Q1,0.0704042909765844,0.0299092501169388,0.018576092409448,11013772,ok,seps,quarter,0.0144844977967602
2025Q2,0.0594933525852,0.0310891451844905,0.0556664961275201,11013772,ok,seps,quarter,0.0181221267162633
