period,coef,se,pvalue,n_obs,status,outcome,scheme,rebased
2019H1,0.0061303795361293,0.0182109538457588,0.736394755765473,11013772,ok,hires,zoom,
2019H2,0.0649408689506627,0.0199378597464917,0.0011253159601192,11013772,ok,hires,zoom,
2020H1,0.0110079416687736,0.0194361280406962,0.571145716888094,11013772,ok,hires,zoom,
2020H2,0.0441734649592993,0.0216522916388011,0.0413374933917391,11013772,ok,hires,zoom,
2021H1,0.0017829334523827,0.0179047300651911,0.920678640248352,11013772,ok,hires,zoom,
2021H2,0.0611291606468561,0.0185104381287926,0.0009585591133956,11013772,ok,hires,zoom,
2022H2,0.0766027308721232,0.0171105742147308,7.57263880866478e-06,11013772,ok,hires,zoom,
2023H1,0.0268790316591545,0.0147003068692658,0.0674794362315664,11013772,ok,hires,zoom,
2023H2,0.0582148428192132,0.0215131831091646,0.0068097431954097,11013772,ok,hires,zoom,
2024-01,0.0733991756976982,0.0302819377023963,0.0153565268244445,11013772,ok,hires,zoom,
2024-02,-0.0363282029020299,0.039574264510724,0.358631723666625,11013772,ok,hires,zoom,
2024-03,-0.0054770709371844,0.0293436665283067,0.851933041639305,11013772,ok,hires,zoom,
2024-04,0.0650223518281856,0.03053931062256,0.033242993362083,11013772,ok,hires,zoom,
2024-05,-0.049829886785619,0.0210110915997116,0.0177112944011665,11013772,ok,hires,zoom,
2024-06,0.0117104128499919,0.0429928875794591,0.785329668064949,11013772,ok,hires,zoom,
2024-07,0.071147358368941,0.0404930178550566,0.0789130695909749,11013772,ok,hires,zoom,
2024-08,0.034165235533891,0.0382737066481474,0.372041676859083,11013772,ok,hires,zoom,
2024-09,0.160570386050764,0.0299809276485237,8.52017332543922e-08,11013772,ok,hires,zoom,
2024-10,0.0887077737570164,0.0295502726381933,0.0026827612877699,11013772,ok,hires,zoom,
2024-11,0.0269936168107399,0.0469776786039048,0.565558357476145,11013772,ok,hires,zoom,
2024-12,-0.0418580331565355,0.0434376699682132,0.335229252456145,11013772,ok,hires,zoom,
2025-01,0.119922650784789,0.0377371851042899,0.001483777669028,11013772,ok,hires,zoom,
2025-02,0.0726184688188664,0.0478230619008228,0.128892880416572,11013772,ok,hires,zoom,
2025-03,0.026476525542896,0.0250670865105081,0.290864664625549,11013772,ok,hires,zoom,
2025-04,0.0688883022859893,0.0281155581816482,0.0142783067793846,11013772,ok,hires,zoom,
2025-05,-0.0526431378357292,0.0225002342720701,0.0193007516136562,11013772,ok,hires,zoom,
2025-06,-0.427363403943497,0.255561692066174,0.0944747536271594,11013772,ok,hires,zoom,
2019H1,0.0317179306727167,0.01834123843878,0.0837512518145344,11013772,ok,seps,zoom,
2019H2,0.0353619547722497,0.0173670125857804,0.0417346473237817,11013772,ok,seps,zoom,
2020H1,0.0285699337405773,0.0201989769734211,0.157237215990184,11013772,ok,seps,zoom,
2020H2,0.0468654349312609,0.0196347431591319,0.0169928388905292,11013772,ok,seps,zoom,
2021H1,0.0156360333740478,0.0196459905983265,0.426096390798954,11013772,ok,seps,zoom,
2021H2,0.0406071311780924,0.0184264950011044,0.0275429128014676,11013772,ok,seps,zoom,
2022H2,0.0469517101031896,0.0163369919197287,0.004053721765051,11013772,ok,seps,zoom,
2023H1,0.0291375620427353,0.0124213361517722,0.01898796672539,11013772,ok,seps,zoom,
2023H2,0.0531224010628197,0.0200747661938101,0.0081395022676691,11013772,ok,seps,zoom,
2024-01,-0.09133660359015,0.0242737602927755,0.0001680409964328,11013772,ok,seps,zoom,
2024-02,0.125944640653149,0.0316157090236942,6.78763575945234e-05,11013772,ok,seps,zoom,
2024-03,-0.0375476920269084,0.0404743230351536,0.353567534535148,11013772,ok,seps,zoom,
2024-04,-0.0031463140579429,0.0284093660028355,0.911815243901523,11013772,ok,seps,zoom,
2024-05,0.0978227448686589,0.0298740188732388,0.0010584575236212,11013772,ok,seps,zoom,
2024-06,-0.0197588303833233,0.0276108592745274,0.474227200269649,11013772,ok,seps,zoom,
2024-07,0.192569090673078,0.0288406778199724,2.4388959067452694e-11,11013772,ok,seps,zoom,
2024-08,0.130554799576249,0.032881275809333,7.17247580691146e-05,11013772,ok,seps,zoom,
2024-09,-0.0282210824333704,0.0278214709452249,0.310409372046216,11013772,ok,seps,zoom,
2024-10,0.0331111804810283,0.0411665822503221,0.421211137465844,11013772,ok,seps,zoom,
2024-11,-0.0314433509021534,0.0240381124093502,0.190852146813163,11013772,ok,seps,zoom,
2024-12,0.0410717408552741,0.0528195860842544,0.436813449855574,11013772,ok,seps,zoom,
2025-01,-0.0825184780000076,0.0579909622812432,0.154749459312465,11013772,ok,seps,zoom,
2025-02,0.131578760388619,0.0329606775184277,6.55205885454844e-05,11013772,ok,seps,zoom,
2025-03,0.0554117709725467,0.049532285902858,0.263268121656887,11013772,ok,seps,zoom,
2025-04,0.0282362595465135,0.0348092118703468,0.417266877505019,11013772,ok,seps,zoom,
2025-05,0.12126756546541,0.0278260838076671,1.31224234206907e-05,11013772,ok,seps,zoom,
2025-06,-0.0558687224343871,0.028753795420077,0.0520157467986863,11013772,ok,seps,zoom,
