young_band,outcome,arm,dating,term,coef,se,n_obs,status
22-25,stock,true,launch,post_x_high_x_young,-0.0194297429262034,0.0151624255681493,40520358,ok
22-25,stock,true,launch,post_x_high_x_young_x_female,-0.0392748041281207,0.0106654033223361,40520358,ok
22-25,stock,true,adoption,post_x_high_x_young,-0.0261528271520579,0.0143137589388295,40520358,ok
22-25,stock,true,adoption,post_x_high_x_young_x_female,-0.0524580323482158,0.011852061732547,40520358,ok
22-25,stock,asof,launch,post_x_high_x_young,-0.011537202443931,0.01621143645352,40561884,ok
22-25,stock,asof,launch,post_x_high_x_young_x_female,-0.0404434240502949,0.0106056434081202,40561884,ok
22-25,stock,asof,adoption,post_x_high_x_young,-0.0164548322410275,0.0155324713510198,40561884,ok
22-25,stock,asof,adoption,post_x_high_x_young_x_female,-0.0585840416081235,0.0118127367715992,40561884,ok
22-25,hires,true,launch,post_x_high_x_young,-0.0263318698349191,0.0268477710272193,31803300,ok
22-25,hires,true,launch,post_x_high_x_young_x_female,-0.0086434495089428,0.0155919682765884,31803300,ok
22-25,hires,true,adoption,post_x_high_x_young,-0.001307011612332,0.032776406796631,31803300,ok
22-25,hires,true,adoption,post_x_high_x_young_x_female,-0.0136190058319325,0.0157497179289618,31803300,ok
22-25,seps,true,adoption,post_x_high_x_young,0.0571120800251908,0.0181536801060723,32735610,ok
22-25,seps,true,adoption,post_x_high_x_young_x_female,-0.0247449024387069,0.0149757165881084,32735610,ok
26-30,stock,true,launch,post_x_high_x_young,-0.0278204948808403,0.0089968904010084,46672956,ok
26-30,stock,true,launch,post_x_high_x_young_x_female,0.004881032558974,0.0073293971258187,46672956,ok
26-30,stock,true,adoption,post_x_high_x_young,-0.0502401255930313,0.0094646553573967,46672956,ok
26-30,stock,true,adoption,post_x_high_x_young_x_female,0.0125382138797315,0.0078883123318084,46672956,ok
26-30,hires,true,launch,post_x_high_x_young,-0.0740467417364927,0.018606386790744,35936028,ok
26-30,hires,true,launch,post_x_high_x_young_x_female,0.0553723689696299,0.013262011523231,35936028,ok
26-30,seps,true,launch,post_x_high_x_young,0.0037325383282942,0.0139922070692463,37436472,ok
26-30,seps,true,launch,post_x_high_x_young_x_female,0.029913157578167,0.0132804851294478,37436472,ok
26-30,seps,true,adoption,post_x_high_x_young,-0.0098402119387237,0.0118843152698492,37436472,ok
26-30,seps,true,adoption,post_x_high_x_young_x_female,0.0443309528195373,0.0117150436454921,37436472,ok
