band,reference,period,coef,se
,41-49,2022Q4_22_25,0.142071681994112,0.0100331439326921
,41-49,2023Q1_22_25,-0.0196397815312056,0.0150980181193639
,41-49,2023Q2_22_25,-0.0056369488429399,0.0115999842860627
,41-49,2023Q3_22_25,0.0252557698213505,0.0147909124558649
,41-49,2023Q4_22_25,0.11206146971724,0.0143394245472361
,41-49,2024Q1_22_25,-0.0177135303124048,0.0189478259394191
,41-49,2024Q2_22_25,-0.0118462525302895,0.0166923258370587
,41-49,2024Q3_22_25,-0.0043089477262291,0.0184255921493426
,41-49,2024Q4_22_25,0.0824035992968032,0.0193480677539469
,41-49,2025Q1_22_25,-6.69596339812079e-05,0.0276422211889881
,41-49,2025Q2_22_25,-0.019820892659877,0.0233465643949066
,41-49,2022Q4_26_30,0.0658441387002291,0.004538127985734
,41-49,2023Q1_26_30,0.0295774950514573,0.0067595161256443
,41-49,2023Q2_26_30,0.027999725842036,0.0066912897834534
,41-49,2023Q3_26_30,0.0293341382927624,0.0075626621239723
,41-49,2023Q4_26_30,0.0682006253722433,0.0078211059493627
,41-49,2024Q1_26_30,0.0287439885914373,0.0109077942556935
,41-49,2024Q2_26_30,0.0242613867503663,0.0112225033058982
,41-49,2024Q3_26_30,0.0167838394568336,0.0115382910489113
,41-49,2024Q4_26_30,0.0550117923163441,0.0116741697356665
,41-49,2025Q1_26_30,-0.0047464820734802,0.0153620579096765
,41-49,2025Q2_26_30,-0.01659908826667,0.0152217426509069
,41-49,2022Q4_31_34,0.018761838757828,0.0037144504182483
,41-49,2023Q1_31_34,0.0169439971118525,0.0054612474836166
,41-49,2023Q2_31_34,0.0132711258955461,0.0058649845961494
,41-49,2023Q3_31_34,0.0128142203749127,0.006282869315812
,41-49,2023Q4_31_34,0.026468426046132,0.006771441878961
,41-49,2024Q1_31_34,0.0269852906978073,0.0085854319192484
,41-49,2024Q2_31_34,0.0222061894679109,0.0089969432583923
,41-49,2024Q3_31_34,0.0180252505047361,0.0093192747724166
,41-49,2024Q4_31_34,0.0298235110162664,0.0094951555736146
,41-49,2025Q1_31_34,0.0376633449771876,0.0118241104995466
,41-49,2025Q2_31_34,0.0290998987179474,0.0118673273288437
,41-49,2022Q4_35_40,0.0005905887015785,0.0024606286943181
,41-49,2023Q1_35_40,-0.0014795646350178,0.0039342087903427
,41-49,2023Q2_35_40,-0.0047842713850601,0.0043588230671377
,41-49,2023Q3_35_40,-0.0031428434615707,0.0045762987344231
,41-49,2023Q4_35_40,0.0013893013845028,0.0048197814202388
,41-49,2024Q1_35_40,0.004371888532102,0.0065343955826233
,41-49,2024Q2_35_40,0.002644680446626,0.0067070988930452
,41-49,2024Q3_35_40,0.0020896389644326,0.0068422518585984
,41-49,2024Q4_35_40,0.0055566298000759,0.0070552008921096
,41-49,2025Q1_35_40,0.0103251700324363,0.0087368492604234
,41-49,2025Q2_35_40,0.0051819286459647,0.0088525179431678
,41-49,2022Q4_50p,0.0211318960467025,0.0025448407264577
,41-49,2023Q1_50p,0.0724135049276864,0.0114905637676402
,41-49,2023Q2_50p,0.0779612549237463,0.0118332232780791
,41-49,2023Q3_50p,0.0781763365967174,0.0126244903859098
,41-49,2023Q4_50p,0.0795514533468435,0.0128344130443016
,41-49,2024Q1_50p,0.097850083965419,0.0125549170322655
,41-49,2024Q2_50p,0.0996415048420451,0.0127464856722001
,41-49,2024Q3_50p,0.101566412317459,0.0132906898584014
,41-49,2024Q4_50p,0.103180168188394,0.0135918232960428
,41-49,2025Q1_50p,0.123913267588062,0.0140838862801953
,41-49,2025Q2_50p,0.152262275056388,0.0194005770587823
