young_band,outcome,arm,term,coef,se,n_obs,status
22-25,stock,true,rb_x_high_x_young,0.021366036371798,0.0078271336837886,26410806,ok
22-25,stock,true,q1_x_high_x_young,-0.125421817446921,0.0116446014339545,26410806,ok
22-25,stock,true,q2_x_high_x_young,-0.121427875163481,0.0092575232754109,26410806,ok
22-25,stock,true,q3_x_high_x_young,-0.0897179929924766,0.0125160082874297,26410806,ok
22-25,stock,true,interim_x_high_x_young,-0.0142520034015109,0.0094697018883657,26410806,ok
22-25,stock,true,post_x_high_x_young,-0.0407714885713275,0.0149998676676345,26410806,ok
22-25,stock,asof,rb_x_high_x_young,0.0209293534865299,0.007915833581624,26441856,ok
22-25,stock,asof,q1_x_high_x_young,-0.128477407392989,0.0111258855872091,26441856,ok
22-25,stock,asof,q2_x_high_x_young,-0.119800921836618,0.0092978904598431,26441856,ok
22-25,stock,asof,q3_x_high_x_young,-0.0867298759624625,0.0133419596054253,26441856,ok
22-25,stock,asof,interim_x_high_x_young,-0.0082811678604393,0.010438663023199,26441856,ok
22-25,stock,asof,post_x_high_x_young,-0.0295180205838638,0.0171672190738261,26441856,ok
22-25,hires,true,rb_x_high_x_young,0.0523285417376096,0.0177762485557122,21536928,ok
22-25,hires,true,q1_x_high_x_young,0.0018656371504303,0.025241941764394,21536928,ok
22-25,hires,true,q2_x_high_x_young,-0.0941003103630065,0.0301180670983387,21536928,ok
22-25,hires,true,q3_x_high_x_young,0.150023557714594,0.0266394962337719,21536928,ok
22-25,hires,true,interim_x_high_x_young,-0.0270480421733092,0.0164462692851038,21536928,ok
22-25,hires,true,post_x_high_x_young,-0.0031884712972542,0.036296955021827,21536928,ok
22-25,seps,true,rb_x_high_x_young,0.0080787044437635,0.0174337569711944,22229208,ok
22-25,seps,true,q1_x_high_x_young,0.0315873994723667,0.0307439062625847,22229208,ok
22-25,seps,true,q2_x_high_x_young,-0.0402884402436497,0.0278387102370515,22229208,ok
22-25,seps,true,q3_x_high_x_young,0.163271399873163,0.0249307655141347,22229208,ok
22-25,seps,true,interim_x_high_x_young,0.0331564788344463,0.0159457601909413,22229208,ok
22-25,seps,true,post_x_high_x_young,0.0787064460622179,0.0202526188003342,22229208,ok
26-30,hires,true,rb_x_high_x_young,0.0337414183974549,0.0102938805455704,24375654,ok
26-30,hires,true,q1_x_high_x_young,0.0444625907680556,0.020243834391726,24375654,ok
26-30,hires,true,q2_x_high_x_young,-0.032133260389452,0.0164276444852135,24375654,ok
26-30,hires,true,q3_x_high_x_young,0.115832362932077,0.0123222799120569,24375654,ok
26-30,hires,true,interim_x_high_x_young,-0.0400466040224825,0.012543231329615,24375654,ok
26-30,hires,true,post_x_high_x_young,-0.0399385270567122,0.0224642494068684,24375654,ok
26-30,seps,true,rb_x_high_x_young,0.0230641233925999,0.0108740474644669,25479684,ok
26-30,seps,true,q1_x_high_x_young,0.0623278025716456,0.0189592758604361,25479684,ok
26-30,seps,true,q2_x_high_x_young,0.0156293540615741,0.013280810729797,25479684,ok
26-30,seps,true,q3_x_high_x_young,0.094307140084437,0.0143605333048666,25479684,ok
26-30,seps,true,interim_x_high_x_young,0.0164298745312093,0.0103115081234776,25479684,ok
26-30,seps,true,post_x_high_x_young,0.0220925808050316,0.01204669229247,25479684,ok
