term,coef,se,n,source,route,outcome
const,-0.1911976841141492,0.014848559795461689,4148,ITFtg_Stora_2021,education,ai_any
high,0.19791737634102616,0.014140802272980065,4148,ITFtg_Stora_2021,education,ai_any
log_size,0.08040277854702038,0.004023931078720878,4148,ITFtg_Stora_2021,education,ai_any
const,-0.05977169434873982,0.009603510097066129,4148,ITFtg_Stora_2021,education,ai_genai
high,0.07547132486844003,0.008838686890452158,4148,ITFtg_Stora_2021,education,ai_genai
log_size,0.020114449404431113,0.0025509003654815036,4148,ITFtg_Stora_2021,education,ai_genai
const,-0.22970702923297115,0.01625531723907556,3952,ITFtg_Stora_2021,occupation,ai_any
high,0.19218093255094826,0.01337286044380851,3952,ITFtg_Stora_2021,occupation,ai_any
log_size,0.08682311365914294,0.004231839152966923,3952,ITFtg_Stora_2021,occupation,ai_any
const,-0.07408629860186229,0.01079741774468774,3952,ITFtg_Stora_2021,occupation,ai_genai
high,0.07856285226657464,0.008337199571238357,3952,ITFtg_Stora_2021,occupation,ai_genai
log_size,0.022132654430001113,0.0027340066895200636,3952,ITFtg_Stora_2021,occupation,ai_genai
const,-0.17887054191589932,0.015415481573042197,3594,ITFtg_Stora_2023,education,ai_any
high,0.21537826708105295,0.015532108117473815,3594,ITFtg_Stora_2023,education,ai_any
log_size,0.08146392019769434,0.004179864453352101,3594,ITFtg_Stora_2023,education,ai_any
const,-0.0647601907822738,0.012110089013096287,3594,ITFtg_Stora_2023,education,ai_genai
high,0.09739965454128732,0.011141626926459867,3594,ITFtg_Stora_2023,education,ai_genai
log_size,0.025885870259149367,0.003253553402543571,3594,ITFtg_Stora_2023,education,ai_genai
const,-0.23713626617794456,0.017538451136944147,3297,ITFtg_Stora_2023,occupation,ai_any
high,0.2085840252170847,0.015261561309428521,3297,ITFtg_Stora_2023,occupation,ai_any
log_size,0.09197140985992355,0.00452836468842908,3297,ITFtg_Stora_2023,occupation,ai_any
const,-0.09709423039482361,0.014029711002830972,3297,ITFtg_Stora_2023,occupation,ai_genai
high,0.1067661778455456,0.011014078912274882,3297,ITFtg_Stora_2023,occupation,ai_genai
log_size,0.03112400111129917,0.003574057103015647,3297,ITFtg_Stora_2023,occupation,ai_genai
const,-0.05837562200314419,0.006053530199482475,12545,ai_fouftg_2019_2021,education,ai_any
high,0.06645803994529235,0.004407869028389033,12545,ai_fouftg_2019_2021,education,ai_any
log_size,0.02013616819936916,0.0016603009040961091,12545,ai_fouftg_2019_2021,education,ai_any
const,-0.05837562200314419,0.006053530199482475,12545,ai_fouftg_2019_2021,education,ai_spend_pos
