TABLE_NAME,COLUMN_NAME,DATA_TYPE
ai_fouftg_2019_2021,P1207_Lopnr_peorgnr,int
ai_fouftg_2019_2021,SURVEY,varchar
ai_fouftg_2019_2021,TIME_PERIOD,numeric
ai_fouftg_2019_2021,AI_IRD_T,float
ai_fouftg_2019_2021,AI_IRD_CUR,float
ai_fouftg_2019_2021,AI_IRD_CUR_LC,float
ai_fouftg_2019_2021,AI_IRD_CUR_LC_EXT,float
ai_fouftg_2019_2021,AI_IRD_CUR_O,float
ai_fouftg_2019_2021,AI_IRD_CAP,float
ai_fouftg_2019_2021,AI_FTE_F,float
ai_fouftg_2019_2021,AI_FTE_M,float
ai_fouftg_2019_2021,AI_FTE_T,float
ai_fouftg_2019_2021,AI_FTEXI_F,float
ai_fouftg_2019_2021,AI_FTEXI_M,float
ai_fouftg_2019_2021,AI_FTEXI_T,float
ai_fouoff_2019_2021,P1207_Lopnr_peorgnr,int
ai_fouoff_2019_2021,SURVEY,varchar
ai_fouoff_2019_2021,TIME_PERIOD,int
ai_fouoff_2019_2021,AI_USE,float
ai_fouoff_2019_2021,AI_USE_CUST,float
ai_fouoff_2019_2021,AI_USE_NEW,float
ai_fouoff_2019_2021,AI_USE_IMP,float
ai_fouoff_2019_2021,AI_USE_PCS,float
ai_fouoff_2019_2021,AI_USE_OTH,float
ai_fouoff_2019_2021,AI_USE_OTH_TXT,varchar
ai_fouoff_2019_2021,AI_USE_N,float
ai_fouoff_2019_2021,AI_HAMP_KNOW,float
ai_fouoff_2019_2021,AI_HAMP_EDU,float
ai_fouoff_2019_2021,AI_HAMP_COMP,float
ai_fouoff_2019_2021,AI_HAMP_DATA,float
ai_fouoff_2019_2021,AI_HAMP_EXPER,float
ai_fouoff_2019_2021,AI_HAMP_STRAT,float
ai_fouoff_2019_2021,AI_HAMP_HCOST,float
ai_fouoff_2019_2021,AI_HAMP_SECUR,float
ai_fouoff_2019_2021,AI_HAMP_ETHIC,float
ai_fouoff_2019_2021,AI_HAMP_OTH,float
ai_fouoff_2019_2021,AI_COST_GOODS,float
ai_fouoff_2019_2021,AI_COST_SERV,float
ai_fouoff_2019_2021,AI_COST_T,float
ai_fufi_2019,P1207_Lopnr_peorgnr,int
ai_fufi_2019,SURVEY,varchar
ai_fufi_2019,TIME_PERIOD,float
ai_fufi_2019,AI_COST_GOODS,float
ai_fufi_2019,AI_COST_SERV,float
ai_fufi_2019,AI_COST_T,float
ai_fufi_2019,AI_COST_SERV_EX,float
ai_fufi_2019,AI_COST_SERV_IN,float
ai_itftg_2019,P1207_Lopnr_peorgnr,int
ai_itftg_2019,SURVEY,varchar
ai_itftg_2019,TIME_PERIOD,float
ai_itftg_2019,AI_USE,float
ai_itftg_2019,AI_USE_CUST,float
ai_itftg_2019,AI_USE_NEW,float
ai_itftg_2019,AI_USE_IMP,float
ai_itftg_2019,AI_USE_PCS,float
ai_itftg_2019,AI_USE_OTH,float
ai_itftg_2019,AI_USE_OTH_TXT,varchar
ai_itftg_2019,AI_USE_N,float
ai_itftg_2019,AI_HAMP_KNOW,float
ai_itftg_2019,AI_HAMP_EDU,float
ai_itftg_2019,AI_HAMP_COMP,float
ai_itftg_2019,AI_HAMP_DATA,float
ai_itftg_2019,AI_HAMP_EXPER,float
ai_itftg_2019,AI_HAMP_STRAT,float
ai_itftg_2019,AI_HAMP_HCOST,float
ai_itftg_2019,AI_HAMP_SECUR,float
ai_itftg_2019,AI_HAMP_ETHIC,float
ai_itftg_2019,AI_HAMP_OTH,float
BITA_2024,P1207_Lopnr_personnr,int
BITA_2024,CH1,numeric
BITA_2024,CH2a,numeric
BITA_2024,CH2b,numeric
BITA_2024,CH2c,numeric
BITA_2024,CH3,numeric
BITA_2024,vikt_hus_SE,float
BITA_2024,vikt_ind_SE,float
BITA_2025,P1207_Lopnr_personnr,int
BITA_2025,B5,numeric
BITA_2025,B6a,numeric
BITA_2025,B6b,numeric
BITA_2025,B6c,numeric
BITA_2025,B7,numeric
BITA_2025,vikt_hus_SE,float
BITA_2025,vikt_ind_SE,float
FUFIM_2006,P1207_LopNr_PeOrgNr,int
FUFIM_2006,AnstS,numeric
FUFIM_2006,ITTJANST_EX,float
FUFIM_2006,NgS1,varchar
FUFIM_2006,dataandel,float
FUFIM_2006,dataleasing,float
FUFIM_2006,datatele_invest,float
FUFIM_2006,kopprog_invest,float
FUFIM_2006,teleleasing,float
FUFIM_2006,datatele_kostn,float
FUFIM_2006,kopprog_kostn,float
FUFIM_2006,teleandel,float
FUFIM_2007,P1207_LopNr_PeOrgNr,int
FUFIM_2007,AnstS,numeric
FUFIM_2007,NgS1,varchar
FUFIM_2007,dataandel,float
FUFIM_2007,dataleasing,float
FUFIM_2007,datatele_invest,float
FUFIM_2007,kopprog_invest,float
FUFIM_2007,teleleasing,float
FUFIM_2007,datatele_kostn,float
FUFIM_2007,kopprog_kostn,float
FUFIM_2007,teleandel,float
FUFIM_2008,P1207_LopNr_PeOrgNr,int
FUFIM_2008,AnstS,numeric
FUFIM_2008,NgS1,varchar
FUFIM_2008,finleasing,float
FUFIM_2008,dataandel,float
FUFIM_2008,dataleasing,float
FUFIM_2008,datatele_invest,float
FUFIM_2008,kopprog_invest,float
FUFIM_2008,teleleasing,float
FUFIM_2008,datatele_kostn,float
FUFIM_2008,kopprog_kostn,float
FUFIM_2008,teleandel,float
FUFIM_2009,P1207_LopNr_PeOrgNr,int
FUFIM_2009,FIN_LEAS,float
FUFIM_2009,DATA_UTG,float
FUFIM_2009,DATA_INVEST,float
FUFIM_2009,OP_LEAS,float
FUFIM_2009,MJUK_UTG,float
FUFIM_2009,MJUK_INVEST,float
FUFIM_2009,TELE_UTG,float
FUFIM_2009,TELE_INVEST,float
FUFIM_2009,TELE_TOT,float
FUFIM_2009,MJUK_TOT,float
FUFIM_2009,DATA_TOT,float
FUFIM_2010,P1207_LopNr_PeOrgNr,int
FUFIM_2010,FIN_LEAS,float
FUFIM_2010,DATA_UTG,float
FUFIM_2010,DATA_INVEST,float
FUFIM_2010,OP_LEAS,float
FUFIM_2010,MJUK_UTG,float
FUFIM_2010,MJUK_INVEST,float
FUFIM_2010,TELE_UTG,float
FUFIM_2010,TELE_INVEST,float
FUFIM_2010,TELE_TOT,float
FUFIM_2010,MJUK_TOT,float
FUFIM_2010,DATA_TOT,float
FUFIM_2011,P1207_LopNr_PeOrgNr,int
FUFIM_2011,FIN_LEAS,float
FUFIM_2011,DATA_UTG,float
FUFIM_2011,DATA_INVEST,float
FUFIM_2011,OP_LEAS,float
FUFIM_2011,MJUK_UTG,float
FUFIM_2011,MJUK_INVEST,float
FUFIM_2011,TELE_UTG,float
FUFIM_2011,TELE_INVEST,float
FUFIM_2011,TELE_TOT,float
FUFIM_2011,MJUK_TOT,float
FUFIM_2011,DATA_TOT,float
FUFIM_2012,P1207_LopNr_PeOrgNr,int
FUFIM_2012,FIN_LEAS,float
FUFIM_2012,DATA_UTG,float
FUFIM_2012,DATA_INVEST,float
FUFIM_2012,OP_LEAS,float
FUFIM_2012,MJUK_UTG,float
FUFIM_2012,MJUK_INVEST,float
FUFIM_2012,TELE_UTG,float
FUFIM_2012,TELE_INVEST,float
FUFIM_2012,TELE_TOT,float
FUFIM_2012,MJUK_TOT,float
FUFIM_2012,DATA_TOT,float
FUFIM_2013,P1207_LopNr_PeOrgNr,int
FUFIM_2013,FIN_LEAS,float
FUFIM_2013,DATA_UTG,float
FUFIM_2013,DATA_INVEST,float
FUFIM_2013,OP_LEAS,float
FUFIM_2013,MJUK_UTG,float
FUFIM_2013,MJUK_INVEST,float
FUFIM_2013,TELE_UTG,float
FUFIM_2013,TELE_INVEST,float
FUFIM_2013,TELE_TOT,float
FUFIM_2013,MJUK_TOT,float
FUFIM_2013,DATA_TOT,float
FUFIM_2014,P1207_LopNr_PeOrgNr,int
FUFIM_2014,ITTJANST_EX,float
FUFIM_2014,FIN_LEAS,float
FUFIM_2014,DATA_UTG,float
FUFIM_2014,DATA_INVEST,float
FUFIM_2014,OP_LEAS,float
FUFIM_2014,MJUK_UTG,float
FUFIM_2014,MJUK_INVEST,float
FUFIM_2014,TELE_UTG,float
FUFIM_2014,TELE_INVEST,float
FUFIM_2014,VARAKTANDEL,float
FUFIM_2014,MARK_UTG,float
FUFIM_2014,MARK_INVEST,float
FUFIM_2014,TELE_TOT,float
FUFIM_2014,MJUK_TOT,float
FUFIM_2014,DATA_TOT,float
FUFIM_2015,P1207_LopNr_PeOrgNr,int
FUFIM_2015,ITTJANST_EX,float
FUFIM_2015,FIN_LEAS,float
FUFIM_2015,DATA_UTG,float
FUFIM_2015,DATA_INVEST,float
FUFIM_2015,OP_LEAS,float
FUFIM_2015,MJUK_UTG,float
FUFIM_2015,MJUK_INVEST,float
FUFIM_2015,TELE_UTG,float
FUFIM_2015,TELE_INVEST,float
FUFIM_2015,VARAKTANDEL,float
FUFIM_2015,ARSVERK,float
FUFIM_2015,MARK_UTG,float
FUFIM_2015,MARK_INVEST,float
FUFIM_2015,TELE_TOT,float
FUFIM_2015,MJUK_TOT,float
FUFIM_2015,DATA_TOT,float
FUFIM_2016,P1207_LopNr_PeOrgNr,int
FUFIM_2016,ITTJANST_EX,float
FUFIM_2016,FIN_LEAS,float
FUFIM_2016,DATA_UTG,float
FUFIM_2016,DATA_INVEST,float
FUFIM_2016,OP_LEAS,float
FUFIM_2016,MJUK_UTG,float
FUFIM_2016,MJUK_INVEST,float
FUFIM_2016,TELE_UTG,float
FUFIM_2016,TELE_INVEST,float
FUFIM_2016,TELE_TOT,float
FUFIM_2016,MJUK_TOT,float
FUFIM_2016,DATA_TOT,float
FUFIM_2017,P1207_LopNr_PeOrgNr,int
FUFIM_2017,AnstS,numeric
FUFIM_2017,ITTJANST_EX,float
FUFIM_2017,FIN_LEAS,float
FUFIM_2017,NgS1,varchar
FUFIM_2017,DATA_UTG,float
FUFIM_2017,DATA_INVEST,float
FUFIM_2017,OP_LEAS,float
FUFIM_2017,MJUK_UTG,float
FUFIM_2017,MJUK_INVEST,float
FUFIM_2017,TELE_UTG,float
FUFIM_2017,TELE_INVEST,float
FUFIM_2017,VARAKTANDEL,float
FUFIM_2017,ARSVERK,float
FUFIM_2017,MARK_UTG,float
FUFIM_2017,MARK_INVEST,float
FUFIM_2017,TELE_TOT,float
FUFIM_2017,MJUK_TOT,float
FUFIM_2017,DATA_TOT,float
FUFIM_2018,P1207_LopNr_PeOrgNr,int
FUFIM_2018,UTVEGANV2,float
FUFIM_2018,UTVEXF2,float
FUFIM_2018,UTVSUP2,float
FUFIM_2018,AnstS,numeric
FUFIM_2018,UTVANTP,float
FUFIM_2018,UTVP,float
FUFIM_2018,ITTJANST_EX,float
FUFIM_2018,FIN_LEAS,float
FUFIM_2018,NgS1,varchar
FUFIM_2018,DATA_UTG,float
FUFIM_2018,DATA_INVEST,float
FUFIM_2018,OP_LEAS,float
FUFIM_2018,MJUK_UTG,float
FUFIM_2018,MJUK_INVEST,float
FUFIM_2018,TELE_UTG,float
FUFIM_2018,TELE_INVEST,float
FUFIM_2018,TELE_TOT,float
FUFIM_2018,MJUK_TOT,float
FUFIM_2018,DATA_TOT,float
FUFIM_2019,P1207_LopNr_PeOrgNr,int
FUFIM_2019,AI_UTMJU,float
FUFIM_2019,AI_EXTJANST,float
FUFIM_2019,AI_INTJANST,float
FUFIM_2019,UTVEGANV2,float
FUFIM_2019,UTVEXF2,float
FUFIM_2019,UTVSUP2,float
FUFIM_2019,AnstS,numeric
FUFIM_2019,UTVANTP,float
FUFIM_2019,UTVP,float
FUFIM_2019,ITTJANST_EX,float
FUFIM_2019,FIN_LEAS,float
FUFIM_2019,NgS1,varchar
