band,period,coef,se
22-25,2022Q4,0.0124160894539963,0.0067860469984097
22-25,2023Q1,-0.0055374067943613,0.0091302023271816
22-25,2023Q2,-0.0123930742389876,0.0101070841907116
22-25,2023Q3,-0.016528175050248,0.0102200773682602
22-25,2023Q4,-0.0184574497037488,0.0105992315406635
22-25,2024Q1,-0.0081091123507633,0.0129335076912962
22-25,2024Q2,-0.0220892038654605,0.0138183894328052
22-25,2024Q3,-0.0341872068611579,0.0129963912486018
22-25,2024Q4,-0.0548678788088194,0.016270223933935
22-25,2025Q1,-0.0228089942714772,0.0169635608652633
22-25,2025Q2,-0.0352584419717902,0.0177520902052639
26-30,2022Q4,0.0074286814258954,0.003693215370387
26-30,2023Q1,-0.0056309045825671,0.0054186677089194
26-30,2023Q2,-0.0050400859013232,0.0063049380679281
26-30,2023Q3,-0.0044015033235931,0.0064028019512757
26-30,2023Q4,-0.0074493783216042,0.0065543775933401
26-30,2024Q1,-0.013562532655421,0.0085483173278047
26-30,2024Q2,-0.0110949196473738,0.0093875476188226
26-30,2024Q3,-0.0143431573916768,0.0090060674023085
26-30,2024Q4,-0.0181799231781438,0.009893318664155
26-30,2025Q1,-0.0298670150739949,0.0112768803799988
26-30,2025Q2,-0.0267878679204178,0.0120371441675512
