TABLE_NAME,COLUMN_NAME,DATA_TYPE
FDB_JE_1990_1993,P1207_Lopnr_peorgnr,int
FDB_JE_1990_1993,ar,varchar
FDB_JE_1990_1993,anst,int
FDB_JE_1990_1993,sni69ng1,char
FDB_JE_1990_1993,sni69ng2,char
FDB_JE_1990_1993,sni69ng3,char
FDB_JE_1990_1993,sni69ng4,char
FDB_JE_1990_1993,sni69ng5,char
FDB_JE_1990_1993,startdat,smalldatetime
FDB_JE_1990_1993,slutdat,smalldatetime
FDB_JE_1990_1993,regdat,smalldatetime
FDB_JE_1990_1993,avregdat,smalldatetime
FDB_JE_1990_1993,sektoriv,char
FDB_JE_1990_1993,ftgstativ,tinyint
FDB_JE_1990_1993,jestat,tinyint
FDB_JE_1990_1993,kommunsate,char
FDB_JE_1990_1993,agkativ,char
FDB_JE_1990_1993,jurformiv,char
FDB_JE_1994_1998,P1207_Lopnr_peorgnr,int
FDB_JE_1994_1998,ar,varchar
FDB_JE_1994_1998,anst,int
FDB_JE_1994_1998,ng1,char
FDB_JE_1994_1998,ng2,char
FDB_JE_1994_1998,ng3,char
FDB_JE_1994_1998,ng4,char
FDB_JE_1994_1998,ng5,char
FDB_JE_1994_1998,startdat,smalldatetime
FDB_JE_1994_1998,slutdat,smalldatetime
FDB_JE_1994_1998,regdat,smalldatetime
FDB_JE_1994_1998,avregdat,smalldatetime
FDB_JE_1994_1998,sektoriv,char
FDB_JE_1994_1998,ftgstativ,tinyint
FDB_JE_1994_1998,jestat,tinyint
FDB_JE_1994_1998,kommunsate,char
FDB_JE_1994_1998,agkativ,char
FDB_JE_1994_1998,JurFormIV,char
FDB_JE_1999_2007,P1207_Lopnr_peorgnr,int
FDB_JE_1999_2007,ar,varchar
FDB_JE_1999_2007,anst,int
FDB_JE_1999_2007,ng1,char
FDB_JE_1999_2007,ng2,char
FDB_JE_1999_2007,ng3,char
FDB_JE_1999_2007,ng4,char
FDB_JE_1999_2007,ng5,char
FDB_JE_1999_2007,ngs1,char
FDB_JE_1999_2007,startdatktid,smalldatetime
FDB_JE_1999_2007,slutdatktid,smalldatetime
FDB_JE_1999_2007,regdatktid,smalldatetime
FDB_JE_1999_2007,avregdatktid,smalldatetime
FDB_JE_1999_2007,jerel,tinyint
FDB_JE_1999_2007,sektor,char
FDB_JE_1999_2007,ftgstat,tinyint
FDB_JE_1999_2007,jestat,tinyint
FDB_JE_1999_2007,kommunsate,char
FDB_JE_1999_2007,agkat,char
FDB_JE_1999_2007,privpubl,tinyint
