young_band,group,n_firms,pearson,spearman,same_quartile,top_vs_bottom_flip,median_young_coded
22-25,all,67655,0.5967008959443351,0.5783194279587842,0.5372108491611854,0.09239524055871702,15.0
22-25,10-49,13145,0.44798651194833844,0.45081404158857336,0.5196652719665272,0.14225941422594143,11.0
22-25,50-249,35208,0.5850317082280291,0.5578639269629727,0.5285446489434219,0.09881276982503977,13.0
22-25,250+,19302,0.7569040651632916,0.7304550145415932,0.564967360895244,0.04673090871412289,45.0
22-25,unscorable_young,243572,,,,,
26-30,all,89607,0.6539788592296086,0.6267422353739951,0.5901436271719843,0.06367806086578058,18.0
26-30,10-49,20541,0.5113218020941833,0.49120319144359154,0.5572270093958425,0.10968307287863298,12.0
26-30,50-249,47350,0.6609072293255307,0.6169667959877353,0.5785005279831046,0.06458289334741288,17.0
26-30,250+,21716,0.8376752165478885,0.8133765252496382,0.6466660526800516,0.01818935347209431,69.0
26-30,unscorable_young,221620,,,,,
