"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000394941753318298,-4.57661262446044e-05,-3.30198675010297e-05,-1.43634858898452e-05,-3.56308482609375e-05,5.09284609133574e-05,3.05335064635741e-05,4.69729849566281e-05,2.55965915195522e-05,-8.93235610420626e-06
"rb_x_high_22_25",-4.57661262446044e-05,0.000374439409335936,0.000147589023960056,4.72457101450656e-05,0.000100669135797682,0.000101440695376221,6.56905177443751e-05,5.62326455005278e-05,1.75193215972967e-05,2.12361296505331e-05
"q1_x_high_22_25",-3.30198675010297e-05,0.000147589023960056,0.000437285782133779,9.70368335846067e-05,-0.000175027098559109,4.22316615428696e-05,7.70492193467966e-05,0.000157998833324274,3.8583723758278e-05,-2.99367388044968e-05
"q2_x_high_22_25",-1.43634858898452e-05,4.72457101450656e-05,9.70368335846067e-05,0.000136959154084083,0.00015781241829222,2.24203954604789e-05,1.18210358190847e-06,3.59153675620977e-05,3.62447397477401e-05,2.69113289722355e-05
"q3_x_high_22_25",-3.56308482609375e-05,0.000100669135797682,-0.000175027098559109,0.00015781241829222,0.000799869945577983,4.83961687309067e-05,-3.19543968366102e-05,-4.97313847906449e-05,5.21997678703167e-05,0.000162834709701244
"gpt_x_high_26_30",5.09284609133574e-05,0.000101440695376221,4.22316615428696e-05,2.24203954604789e-05,4.83961687309067e-05,0.000196195874368322,5.62068223562203e-05,3.89727179312988e-05,1.85345420787083e-05,1.1512700920751e-05
"rb_x_high_26_30",3.05335064635741e-05,6.56905177443751e-05,7.70492193467966e-05,1.18210358190847e-06,-3.19543968366102e-05,5.62068223562203e-05,0.000143024021788973,4.71994156644678e-05,-2.272921697128e-06,-1.10968559922233e-05
"q1_x_high_26_30",4.69729849566281e-05,5.62326455005278e-05,0.000157998833324274,3.59153675620977e-05,-4.97313847906449e-05,3.89727179312988e-05,4.71994156644678e-05,0.000105818555769763,4.44374619992023e-05,-2.11434550629872e-06
"q2_x_high_26_30",2.55965915195522e-05,1.75193215972967e-05,3.8583723758278e-05,3.62447397477401e-05,5.21997678703167e-05,1.85345420787083e-05,-2.272921697128e-06,4.44374619992023e-05,3.92776683274415e-05,1.84800031141101e-05
"q3_x_high_26_30",-8.93235610420626e-06,2.12361296505331e-05,-2.99367388044968e-05,2.69113289722355e-05,0.000162834709701244,1.1512700920751e-05,-1.10968559922233e-05,-2.11434550629872e-06,1.84800031141101e-05,4.98234233624947e-05
