"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000464367789556772,0.000101493790961133,7.98955997959858e-06,-2.25714891163662e-05,-2.79347313511494e-05,0.000242567552752935,9.58560873243802e-05,7.89744353974826e-06,-9.27654746137634e-06,-1.34882319281423e-05
"rb_x_high_22_25",0.000101493790961133,0.000278461505632716,-3.27177914520394e-05,-7.50592234095423e-05,-2.81555239073951e-05,0.000113071935061894,0.000110231555219644,2.42889408964435e-05,4.91428719956062e-06,9.8416891936962e-06
"q1_x_high_22_25",7.98955997959858e-06,-3.27177914520394e-05,0.000311238276412419,0.000182343744112214,1.35898463010572e-06,-7.28104390424502e-06,-7.32219699534126e-06,5.68079857329825e-05,2.36569566441651e-05,-2.09470048377586e-05
"q2_x_high_22_25",-2.25714891163662e-05,-7.50592234095423e-05,0.000182343744112214,0.000307037634373906,0.000196527981274719,-4.93837236764658e-05,-3.61505588721041e-05,-2.50315774154144e-06,3.93880656530375e-05,2.30040970839299e-05
"q3_x_high_22_25",-2.79347313511494e-05,-2.81555239073951e-05,1.35898463010572e-06,0.000196527981274719,0.000292164089967489,-2.98655773634615e-05,-1.26599395177962e-05,-3.89151904573141e-05,1.69252362105227e-05,5.46710464358971e-05
"gpt_x_high_26_30",0.000242567552752935,0.000113071935061894,-7.28104390424502e-06,-4.93837236764658e-05,-2.98655773634615e-05,0.000249706108611867,0.000102152257525169,2.14373623449147e-05,-3.79480369498156e-06,-7.4998226258758e-06
"rb_x_high_26_30",9.58560873243802e-05,0.000110231555219644,-7.32219699534126e-06,-3.61505588721041e-05,-1.26599395177962e-05,0.000102152257525169,0.000145776651606544,2.49006331739982e-05,-4.62067802605093e-06,1.86345604681939e-06
"q1_x_high_26_30",7.89744353974826e-06,2.42889408964435e-05,5.68079857329825e-05,-2.50315774154144e-06,-3.89151904573141e-05,2.14373623449147e-05,2.49006331739982e-05,5.21564072146531e-05,2.65435093078859e-05,4.02579643519626e-06
"q2_x_high_26_30",-9.27654746137634e-06,4.91428719956062e-06,2.36569566441651e-05,3.93880656530375e-05,1.69252362105227e-05,-3.79480369498156e-06,-4.62067802605093e-06,2.65435093078859e-05,3.17672120928431e-05,1.63589923577864e-05
"q3_x_high_26_30",-1.34882319281423e-05,9.8416891936962e-06,-2.09470048377586e-05,2.30040970839299e-05,5.46710464358971e-05,-7.4998226258758e-06,1.86345604681939e-06,4.02579643519626e-06,1.63589923577864e-05,2.82101716744228e-05
