"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000481887675851814,0.000149095143888124,0.000122167148086347,6.82556668489433e-05,-3.04332023704584e-05,0.000207510005791218,5.27594423569088e-05,1.67076239506978e-05,1.87562647691156e-05,-1.88450840903522e-06
"rb_x_high_22_25",0.000149095143888124,0.000287200422688103,7.76689169177554e-05,-3.18014417136835e-05,-0.000107952550199347,9.95239185790003e-05,3.60971964074171e-05,6.6244380544952e-06,3.16488113405516e-06,1.0594869921408e-06
"q1_x_high_22_25",0.000122167148086347,7.76689169177554e-05,0.000456181931698945,0.000200515345263405,-0.000218319619176362,-1.05083631197326e-05,-2.08627982479448e-05,4.69555804561697e-05,2.85512565696997e-05,6.54774074429706e-07
"q2_x_high_22_25",6.82556668489433e-05,-3.18014417136835e-05,0.000200515345263405,0.000186767137425003,-1.45233529387131e-05,1.87684387263972e-05,-5.9871042099099e-06,2.02072634279865e-05,2.20179605417412e-05,-3.81392366728138e-06
"q3_x_high_22_25",-3.04332023704584e-05,-0.000107952550199347,-0.000218319619176362,-1.45233529387131e-05,0.000524099908428658,3.07136767734799e-05,7.49206359295705e-05,-2.62486529690143e-05,-2.48047064023554e-05,3.81937524871446e-05
"gpt_x_high_26_30",0.000207510005791218,9.95239185790003e-05,-1.05083631197326e-05,1.87684387263972e-05,3.07136767734799e-05,0.000236693625914287,6.41204969487967e-05,5.15278668076182e-06,8.28076070281577e-06,-7.06518754876262e-06
"rb_x_high_26_30",5.27594423569088e-05,3.60971964074171e-05,-2.08627982479448e-05,-5.9871042099099e-06,7.49206359295705e-05,6.41204969487967e-05,0.00010587092541915,6.50013988152916e-06,-7.95034285494623e-06,2.98486986425286e-06
"q1_x_high_26_30",1.67076239506978e-05,6.6244380544952e-06,4.69555804561697e-05,2.02072634279865e-05,-2.62486529690143e-05,5.15278668076182e-06,6.50013988152916e-06,1.95522202692412e-05,1.25283172524699e-05,4.15723391971623e-06
"q2_x_high_26_30",1.87562647691156e-05,3.16488113405516e-06,2.85512565696997e-05,2.20179605417412e-05,-2.48047064023554e-05,8.28076070281577e-06,-7.95034285494623e-06,1.25283172524699e-05,1.44122494254505e-05,2.3957170325332e-06
"q3_x_high_26_30",-1.88450840903522e-06,1.0594869921408e-06,6.54774074429706e-07,-3.81392366728138e-06,3.81937524871446e-05,-7.06518754876262e-06,2.98486986425286e-06,4.15723391971623e-06,2.3957170325332e-06,1.31622650881664e-05
