young_band,term,coef,se,n_obs,status
22-25,rb_x_high_x_young,0.0222660289769013,0.0101815884996887,40520358,ok
22-25,rb_x_high_x_female,0.0113285290173532,0.0021270730390725,40520358,ok
22-25,rb_x_high_x_young_x_female,0.0005647165101207,0.0101425522218826,40520358,ok
22-25,interim_x_high_x_young,-0.0032057615364579,0.0108990550535227,40520358,ok
22-25,interim_x_high_x_female,0.0029312294211882,0.0022745165058457,40520358,ok
22-25,interim_x_high_x_young_x_female,-0.0218893996912744,0.008736784035123,40520358,ok
22-25,post_x_high_x_young,-0.0046633533800271,0.0176858584219683,40520358,ok
22-25,post_x_high_x_female,0.0063689173879476,0.0040861452829857,40520358,ok
22-25,post_x_high_x_young_x_female,-0.0746192939363766,0.0142379617768609,40520358,ok
22-25,q1_x_high_x_young,-0.133952583178539,0.0110718704825118,40520358,ok
22-25,q1_x_high_x_female,0.0013830212439119,0.0013320373018552,40520358,ok
22-25,q1_x_high_x_young_x_female,0.0135867422673342,0.0072305334759381,40520358,ok
22-25,q2_x_high_x_young,-0.125898926854794,0.0094534583649476,40520358,ok
22-25,q2_x_high_x_female,-0.0011982416770788,0.0010484508752798,40520358,ok
22-25,q2_x_high_x_young_x_female,0.0051058843017377,0.0058584362080311,40520358,ok
22-25,q3_x_high_x_young,-0.0653685050581476,0.012307223474228,40520358,ok
22-25,q3_x_high_x_female,0.0036375897545698,0.0012780575143581,40520358,ok
22-25,q3_x_high_x_young_x_female,-0.0517289678487386,0.0071092154468086,40520358,ok
