"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000103664744376993,-2.57737636233319e-06,-6.65731199635988e-05,1.98733822121258e-05,-4.06332645638213e-06,-3.49216464936198e-06,3.17539542633308e-05,-5.48236048847291e-06,-1.72526793391603e-06,9.16609567729028e-06,5.96894350555925e-07,-1.36656124638157e-06,-1.92328648199288e-05,4.75464551269922e-08,1.20141909353289e-05,-2.7485609871908e-05,2.89826828799393e-08,1.51859553185689e-05
"rb_x_high_x_female",-2.57737636233319e-06,4.52443971354937e-06,8.56134389601383e-07,1.66471832599903e-07,5.57533767329673e-07,-5.78496894075997e-07,1.60740796780391e-06,1.9046206613646e-06,-2.94159541296505e-06,-3.98913068533055e-06,3.25691483349393e-09,8.77404021151104e-07,-2.80346473762538e-06,-5.06673260740955e-07,4.14451449889653e-07,1.25414528764248e-07,-2.72052667882163e-07,-9.66561477061663e-07
"rb_x_high_x_young_x_female",-6.65731199635988e-05,8.56134389601383e-07,0.000102871365573616,-2.1087345384974e-06,3.08127195439345e-06,-3.07238329892114e-06,-5.22547549257181e-06,4.00467503678442e-06,-3.70112242051943e-06,-6.61226755247448e-06,3.6609241542978e-08,-1.19781064180128e-07,7.82175942108828e-06,2.21768235280202e-07,-1.67374274530286e-05,1.22264939945477e-05,2.97439140536403e-07,-1.406304789661e-05
"interim_x_high_x_young",1.98733822121258e-05,1.66471832599903e-07,-2.1087345384974e-06,0.000118789401059719,-4.53864653519393e-06,-4.70131302531181e-05,0.0001435588655572,-1.02137315963185e-06,-5.14737077926675e-05,1.17472405713476e-05,-3.68378946660739e-07,4.86478175269748e-06,-3.32454862214423e-06,-6.78596980415735e-07,4.65130957198125e-06,-1.95155779298231e-05,-9.94433320533678e-07,1.83397165373671e-06
"interim_x_high_x_female",-4.06332645638213e-06,5.57533767329673e-07,3.08127195439345e-06,-4.53864653519393e-06,5.17342533536483e-06,-2.51541113829873e-06,-4.6960519862175e-07,7.42163808067385e-06,-3.76448695814428e-06,-2.88636835341258e-06,-3.99396707111828e-07,1.4084698157695e-06,-2.80008233777524e-06,-9.76564747834843e-08,-6.63367243170789e-07,1.38669252349908e-06,1.25308262554545e-07,-3.01348824594475e-06
"interim_x_high_x_young_x_female",-3.49216464936198e-06,-5.78496894075997e-07,-3.07238329892114e-06,-4.70131302531181e-05,-2.51541113829873e-06,7.63313952763808e-05,-5.58779443967106e-05,-6.39363732771039e-06,7.58533614883899e-05,-2.52488031083639e-06,4.55730733114309e-07,-1.01363748459185e-05,4.10191724614383e-06,-3.25350496791088e-07,3.34701941995249e-07,5.23695405501829e-06,-5.18848648172894e-08,7.78849754934969e-06
"post_x_high_x_young",3.17539542633308e-05,1.60740796780391e-06,-5.22547549257181e-06,0.0001435588655572,-4.6960519862175e-07,-5.58779443967106e-05,0.000312789588121907,1.55129229823208e-05,-0.00013658204453154,3.18327503352171e-05,-1.3045415285886e-07,4.00584332738991e-06,4.90136256682173e-06,-6.89387073802329e-08,2.19513352743978e-06,-4.0008381757787e-05,1.14149107955084e-07,2.57037097536461e-06
"post_x_high_x_female",-5.48236048847291e-06,1.9046206613646e-06,4.00467503678442e-06,-1.02137315963185e-06,7.42163808067385e-06,-6.39363732771039e-06,1.55129229823208e-05,1.66965832736663e-05,-1.63315062472543e-05,-7.73451077895171e-06,-1.20850629247759e-06,2.12607318670532e-06,-7.27349220576073e-06,-3.28261801371582e-07,-2.27955149900299e-06,1.43084834717227e-07,-1.04594907121203e-07,-6.26165831247678e-06
"post_x_high_x_young_x_female",-1.72526793391603e-06,-2.94159541296505e-06,-3.70112242051943e-06,-5.14737077926675e-05,-3.76448695814428e-06,7.58533614883899e-05,-0.00013658204453154,-1.63315062472543e-05,0.000202719555559351,-7.68521731381104e-06,2.75188101256006e-06,-6.89149439218797e-06,-1.38311063515781e-06,1.05199532453604e-06,-7.77812315023142e-07,1.03484066462449e-05,1.9563490937557e-06,7.81924016957049e-06
"q1_x_high_x_young",9.16609567729028e-06,-3.98913068533055e-06,-6.61226755247448e-06,1.17472405713476e-05,-2.88636835341258e-06,-2.52488031083639e-06,3.18327503352171e-05,-7.73451077895171e-06,-7.68521731381104e-06,0.000122586315981516,-1.05948300977397e-06,-8.96415197220662e-07,6.55244394737806e-05,-1.73634439314646e-07,-5.8100450059175e-07,-1.99665512202334e-05,-2.40635758003589e-06,3.82130730379131e-06
