"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30","gpt_x_high_31_34","rb_x_high_31_34","q1_x_high_31_34","q2_x_high_31_34","q3_x_high_31_34","gpt_x_high_35_40","rb_x_high_35_40","q1_x_high_35_40","q2_x_high_35_40","q3_x_high_35_40","gpt_x_high_50_64","rb_x_high_50_64","q1_x_high_50_64","q2_x_high_50_64","q3_x_high_50_64","gpt_x_high_65_69","rb_x_high_65_69","q1_x_high_65_69","q2_x_high_65_69","q3_x_high_65_69"
"gpt_x_high_22_25",0.00014375517514742,5.55988252037233e-05,2.30583901672069e-05,-1.01212865948418e-06,-1.86699455302294e-05,6.69374378224445e-05,2.82080168321031e-05,8.92750450891372e-06,2.18877350856373e-06,-4.39767276323389e-06,3.89685099397971e-05,1.77108827347162e-05,7.58750751298829e-06,3.01144343692228e-06,6.76522269531944e-07,2.58523007896145e-05,6.74929218475815e-06,3.28514073197541e-06,1.99391806391475e-06,-6.21239947328537e-09,-2.00398955538257e-06,6.0052776891852e-06,2.08576633197065e-06,5.61899585973668e-08,1.16853488260917e-07,1.60099243036019e-05,5.99013928526374e-05,4.00977961382069e-06,-2.08179644828867e-05,-2.17917840069895e-06
"rb_x_high_22_25",5.55988252037233e-05,0.000102161388791295,9.12306752813516e-06,-1.76584784627309e-05,-2.03949135943628e-05,4.34186766063695e-05,3.57508771058588e-05,9.79032091948496e-06,-8.86355159014432e-08,-1.350003447724e-06,1.48793311283602e-05,1.14166696331383e-05,6.71478708225482e-06,1.91275020932207e-06,2.21582835980342e-06,4.3328600319845e-06,3.52672456253226e-06,3.17676881893628e-06,1.2001632916547e-06,8.26639019122172e-07,7.95170608065377e-07,3.71066732276014e-06,-1.63197161987673e-07,1.29942296638562e-07,-8.17168686904024e-07,-2.16450335870635e-05,-7.39467987265355e-05,-1.87863810439871e-05,-2.16953258900292e-07,-3.82710220617751e-06
"q1_x_high_22_25",2.30583901672069e-05,9.12306752813516e-06,0.000136538933324972,6.43668932773765e-05,-2.97349566444866e-05,-1.72326976869421e-06,-1.06940244555312e-05,3.10674774204589e-05,1.54181851953356e-05,-3.17199962058275e-06,-1.05420129093428e-05,-5.55881104787188e-06,9.36486139245219e-06,4.54424062816896e-06,6.71395945772377e-07,-4.40394764740307e-06,-3.75192595858137e-06,3.38405079820333e-06,2.14092985666278e-06,9.98999637816e-07,-1.04186321608901e-06,-2.20203053911268e-06,-3.41535391766113e-06,-3.21509941017304e-07,3.43158691693858e-08,-5.68581165987642e-05,-0.000161975608768716,-3.37161812312237e-05,1.44601633176186e-05,-6.56248639065718e-07
"q2_x_high_22_25",-1.01212865948418e-06,-1.76584784627309e-05,6.43668932773765e-05,8.46471635231836e-05,4.87501299950323e-05,-7.70207204870092e-06,-1.43723426130606e-05,8.92159693911178e-06,1.56679050400831e-05,9.21844869871678e-06,-5.30381464830552e-06,-2.50425645787648e-06,-3.99650621010024e-07,1.77665814376192e-06,1.7543636595444e-06,2.32723475926346e-06,2.29169618436489e-06,1.05877088742606e-06,1.29236409419123e-06,9.48073982258542e-07,-2.43702144222102e-06,-5.64827804333073e-06,-2.20764259861824e-06,-1.09736804408682e-06,-5.52329905162563e-07,-4.33357557333103e-05,-0.000128614291991428,-3.54839036599357e-05,6.89201126043657e-07,3.63250730728114e-06
"q3_x_high_22_25",-1.86699455302294e-05,-2.03949135943628e-05,-2.97349566444866e-05,4.87501299950323e-05,0.000153927550763692,-4.31064599172665e-06,8.47280138061818e-07,-1.51101729667533e-05,3.3560757773953e-06,2.68757031019771e-05,1.0963287243545e-05,1.33193636532914e-05,-9.60939301421514e-06,-4.62033971943251e-06,4.70780577241855e-06,4.6539211768516e-06,8.46443715266943e-06,-3.0948263945348e-06,-1.67681540213317e-06,1.63783942272272e-06,-4.03608361767155e-06,-4.63388256590003e-06,-2.48232283108832e-07,-1.13075528644895e-06,-2.01738946324381e-06,5.69321378193623e-05,0.000116583050188393,-5.06440339765663e-06,-1.60757063569767e-05,4.61578951079623e-06
"gpt_x_high_26_30",6.69374378224445e-05,4.34186766063695e-05,-1.72326976869421e-06,-7.70207204870092e-06,-4.31064599172665e-06,7.19889857315153e-05,2.98164675612158e-05,5.40805883500059e-06,8.77641226535883e-07,-2.33966431382057e-06,3.65807819755222e-05,1.62903378255651e-05,5.5082601862089e-06,2.25268988959157e-06,1.61571372392317e-07,2.2668306942579e-05,5.65035726052451e-06,1.67036061684878e-06,6.18393003508802e-07,-2.84715524079998e-07,-2.91728643949177e-06,2.12876344203296e-06,1.15368952753172e-06,5.57656489079521e-07,1.01503390671717e-07,2.74825022698998e-06,2.00678951471582e-06,-6.64981692697006e-06,-3.72495845458601e-06,-1.30460496828957e-06
"rb_x_high_26_30",2.82080168321031e-05,3.57508771058588e-05,-1.06940244555312e-05,-1.43723426130606e-05,8.47280138061818e-07,2.98164675612158e-05,4.33725251386379e-05,3.12673439954522e-06,-4.16647365546351e-06,-1.70985292471126e-06,2.28126346002446e-05,1.90033952527771e-05,3.37003830084867e-06,-5.19424497951226e-07,-3.05192905027428e-07,7.42710044937461e-06,6.60241267231118e-06,6.20591136402767e-07,-1.05078510366382e-06,-4.20885413067003e-07,5.27489796556808e-07,6.88754946259207e-06,4.82323169866672e-07,9.09441986527847e-08,-4.21902598466483e-07,2.54671041574748e-05,3.83275708070515e-05,-6.45134744407527e-06,-4.9048047864436e-06,-1.55945646573255e-06
"q1_x_high_26_30",8.92750450891372e-06,9.79032091948496e-06,3.10674774204589e-05,8.92159693911178e-06,-1.51101729667533e-05,5.40805883500059e-06,3.12673439954522e-06,1.51275653931389e-05,7.58873543536057e-06,8.1326212215358e-07,-5.53158631572123e-07,-1.15185369797797e-06,5.96588353676664e-06,3.46852714767228e-06,1.64678487600229e-06,-1.59887167275926e-06,-6.98343650832575e-07,2.68155151151214e-06,1.70688149778079e-06,1.02472863233292e-06,6.57863975279193e-07,1.34386302387349e-06,-1.00698040243184e-06,-3.84304987031082e-07,-4.29033960192537e-07,-1.3849388301436e-05,-4.03578645253639e-05,-1.20760175685706e-05,-2.74273911726109e-06,-3.32692711322277e-06
"q2_x_high_26_30",2.18877350856373e-06,-8.86355159014432e-08,1.54181851953356e-05,1.56679050400831e-05,3.3560757773953e-06,8.77641226535883e-07,-4.16647365546351e-06,7.58873543536057e-06,8.12228676797102e-06,3.71364365344758e-06,-2.00838912420126e-06,-2.3910282652909e-06,2.47988545624656e-06,2.89525668535816e-06,1.82826381152525e-06,6.10568388532562e-08,5.33197255834035e-07,1.83785629932156e-06,1.75630316991462e-06,9.97509588729279e-07,-4.74973489866485e-08,-2.9859019616969e-07,-4.51711878889197e-07,-7.24945530345579e-07,-4.26052737947178e-07,-1.65997647859548e-05,-3.09672398997579e-05,-9.46945745594673e-06,-1.04608548534524e-05,-1.76848344803831e-06
"q3_x_high_26_30",-4.39767276323389e-06,-1.350003447724e-06,-3.17199962058275e-06,9.21844869871678e-06,2.68757031019771e-05,-2.33966431382057e-06,-1.70985292471126e-06,8.1326212215358e-07,3.71364365344758e-06,8.76454109561368e-06,-6.56062068580581e-07,-2.06584231799536e-07,-8.90697063643575e-08,7.06047292951305e-07,3.14211372740193e-06,-7.46224841103031e-07,6.98501225636523e-07,5.44618610197242e-07,6.99319874738975e-07,1.50180704190694e-06,-4.29160783984726e-08,-1.20784809712099e-06,-5.70331528473286e-07,-5.7704952467496e-07,-1.10901761739461e-06,3.38829357626089e-06,7.45018603585066e-06,-5.76289668232221e-06,-7.17337617101959e-06,-3.53008218251743e-06
"gpt_x_high_31_34",3.89685099397971e-05,1.48793311283602e-05,-1.05420129093428e-05,-5.30381464830552e-06,1.0963287243545e-05,3.65807819755222e-05,2.28126346002446e-05,-5.53158631572123e-07,-2.00838912420126e-06,-6.56062068580581e-07,4.252124176792e-05,2.28762389854423e-05,2.32872309164846e-06,-6.66725177246259e-07,-1.26284758733307e-06,2.0816876989708e-05,8.48150301684325e-06,1.18040541454575e-08,-7.41426962500402e-07,-8.92752028330317e-07,-7.89526079688152e-07,4.46480955350367e-06,1.87785781781349e-06,1.03846413975602e-06,3.95572221413719e-07,2.10483839622217e-05,3.55419959729457e-05,-6.78059059239029e-06,-7.3901299947363e-07,1.59164527446249e-06
"rb_x_high_31_34",1.77108827347162e-05,1.14166696331383e-05,-5.55881104787188e-06,-2.50425645787648e-06,1.33193636532914e-05,1.62903378255651e-05,1.90033952527771e-05,-1.15185369797797e-06,-2.3910282652909e-06,-2.06584231799536e-07,2.28762389854423e-05,3.38030962821986e-05,2.35833783213009e-06,-2.3634324690029e-06,-1.7861816771563e-06,1.40280805724138e-05,1.17732591168801e-05,-1.592778826604e-07,-1.31863888029912e-06,-1.10686213440471e-06,-1.10212069883508e-06,6.51058085343979e-06,2.40689240968598e-06,1.2264579388237e-06,5.39432711020567e-07,3.15142531135917e-05,4.82457098534463e-05,1.53535984202963e-06,6.20929581277452e-06,5.34902170684224e-06
"q1_x_high_31_34",7.58750751298829e-06,6.71478708225482e-06,9.36486139245219e-06,-3.99650621010024e-07,-9.60939301421514e-06,5.5082601862089e-06,3.37003830084867e-06,5.96588353676664e-06,2.47988545624656e-06,-8.90697063643575e-08,2.32872309164846e-06,2.35833783213009e-06,4.92350236653728e-06,2.71724304713597e-06,1.36861864280751e-06,9.69985414133627e-07,3.26585508747684e-07,1.93300798997879e-06,1.1198130604245e-06,6.93768575801496e-07,6.28793438555842e-08,1.38809426017237e-06,-3.09232478407455e-07,-1.51355348311231e-07,-3.93852688062152e-07,-7.04705049327989e-06,-1.79855899659216e-05,-7.13300239340259e-06,-2.90633756367804e-06,-3.51747488101208e-06
"q2_x_high_31_34",3.01144343692228e-06,1.91275020932207e-06,4.54424062816896e-06,1.77665814376192e-06,-4.62033971943251e-06,2.25268988959157e-06,-5.19424497951226e-07,3.46852714767228e-06,2.89525668535816e-06,7.06047292951305e-07,-6.66725177246259e-07,-2.3634324690029e-06,2.71724304713597e-06,2.91178116960335e-06,1.45847478217863e-06,-3.02479925461316e-07,-4.49465703069268e-07,1.29758345275513e-06,1.25131908065338e-06,7.15412551512114e-07,-1.36750728213422e-08,3.86430130959445e-07,-1.95711016999042e-07,-5.58747249865043e-07,-2.85818891290064e-07,-1.21155493021268e-05,-1.08425489376165e-05,-3.28953280997232e-06,-1.03836329217045e-05,-2.49296724282361e-06
"q3_x_high_31_34",6.76522269531944e-07,2.21582835980342e-06,6.71395945772377e-07,1.7543636595444e-06,4.70780577241855e-06,1.61571372392317e-07,-3.05192905027428e-07,1.64678487600229e-06,1.82826381152525e-06,3.14211372740193e-06,-1.26284758733307e-06,-1.7861816771563e-06,1.36861864280751e-06,1.45847478217863e-06,2.39626489278355e-06,-9.5362367936042e-07,-5.30730735384766e-07,9.023027580647e-07,8.27098456449873e-07,1.14338847442337e-06,3.10949239962247e-07,-3.33538216141505e-07,-4.58469278535479e-07,-3.76152378459833e-07,-7.29465390629498e-07,-3.29986042702043e-06,-6.78280147440035e-06,-3.8512319601482e-06,-4.17486404069595e-06,-3.94578366838661e-06
"gpt_x_high_35_40",2.58523007896145e-05,4.3328600319845e-06,-4.40394764740307e-06,2.32723475926346e-06,4.6539211768516e-06,2.2668306942579e-05,7.42710044937461e-06,-1.59887167275926e-06,6.10568388532562e-08,-7.46224841103031e-07,2.0816876989708e-05,1.40280805724138e-05,9.69985414133627e-07,-3.02479925461316e-07,-9.5362367936042e-07,2.9148587953101e-05,1.13931004817234e-05,1.36067596563521e-06,1.35081959432554e-07,-9.73962601806788e-07,6.64434236070524e-07,2.80681123238171e-06,2.27870962486181e-06,9.71762094031981e-07,7.78418291844488e-07,-8.26620553418956e-08,-5.16991459384029e-06,2.84168133217261e-06,6.55996116992595e-06,2.9894446127768e-06
"rb_x_high_35_40",6.74929218475815e-06,3.52672456253226e-06,-3.75192595858137e-06,2.29169618436489e-06,8.46443715266943e-06,5.65035726052451e-06,6.60241267231118e-06,-6.98343650832575e-07,5.33197255834035e-07,6.98501225636523e-07,8.48150301684325e-06,1.17732591168801e-05,3.26585508747684e-07,-4.49465703069268e-07,-5.30730735384766e-07,1.13931004817234e-05,1.63918934750004e-05,2.11110270210231e-06,-1.64723340535583e-07,-6.04819144794458e-07,-4.99167454602995e-07,5.2674653026542e-06,2.416894290258e-06,4.99639938760384e-07,5.0687559958582e-07,4.43215176376911e-06,1.40471686978962e-05,7.98155013419228e-06,7.45903261472291e-07,3.4678504837081e-06
"q1_x_high_35_40",3.28514073197541e-06,3.17676881893628e-06,3.38405079820333e-06,1.05877088742606e-06,-3.0948263945348e-06,1.67036061684878e-06,6.20591136402767e-07,2.68155151151214e-06,1.83785629932156e-06,5.44618610197242e-07,1.18040541454575e-08,-1.592778826604e-07,1.93300798997879e-06,1.29758345275513e-06,9.023027580647e-07,1.36067596563521e-06,2.11110270210231e-06,2.22582741394319e-06,1.31588428317118e-06,6.89227787251472e-07,6.2498148135928e-07,1.30478512025888e-06,2.86484601066351e-07,-6.31390259839553e-09,-2.69294845863969e-07,-4.22829682337231e-06,-1.09426420871857e-05,-1.06017857664057e-06,-1.47327356994738e-06,-2.24958239807597e-06
