"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highedu_x_young","q1_x_highedu_x_young","q2_x_highedu_x_young","q3_x_highedu_x_young","interim_x_highedu_x_young","post_x_highedu_x_young"
"rb_x_high_x_young",8.38992822510433e-05,1.4985666020011e-05,-4.94972548144957e-06,-2.79006377640327e-05,2.07241017562054e-05,3.89537055156878e-05,-4.51357449330526e-05,-6.18880675846426e-06,-1.21440396663325e-06,2.35548930401901e-05,-1.09606626648515e-05,-2.75234200875784e-05
"q1_x_high_x_young",1.4985666020011e-05,0.000116747375170134,6.28331787859752e-05,1.54104747237074e-05,-1.09047443965896e-05,-2.65576283169927e-05,-6.12677300430156e-06,-3.02754211933457e-05,-3.05571277449202e-05,-6.28762935526423e-05,4.01006189448866e-05,8.83243252820333e-05
"q2_x_high_x_young",-4.94972548144957e-06,6.28331787859752e-05,8.889936790015e-05,8.49544908688155e-05,1.20316721713547e-05,7.51215794149016e-06,-1.10142235246707e-06,-3.06248296605622e-05,-4.36074912637968e-05,-7.73593711977458e-05,-7.28609409385557e-06,8.43378194856432e-06
"q3_x_high_x_young",-2.79006377640327e-05,1.54104747237074e-05,8.49544908688155e-05,0.000230233687506623,2.72326713341258e-05,1.53321512747419e-05,2.37907621782666e-05,-6.7697743675468e-05,-7.75866033536056e-05,-0.000158306269983579,-5.09008422564296e-05,-5.29458975399613e-05
"interim_x_high_x_young",2.07241017562054e-05,-1.09047443965896e-05,1.20316721713547e-05,2.72326713341258e-05,0.000148522067217931,0.000181033182116687,-1.18684765831786e-05,4.05177473086904e-05,-7.01740750986336e-06,-4.87265339105678e-05,-0.000102083960866184,-0.000136181298159175
"post_x_high_x_young",3.89537055156878e-05,-2.65576283169927e-05,7.51215794149016e-06,1.53321512747419e-05,0.000181033182116687,0.000352223918732307,-2.97966873170526e-05,8.99250184019708e-05,8.77551070511676e-06,-4.96790905913165e-05,-0.000135805138872453,-0.000254599614274767
"rb_x_highedu_x_young",-4.51357449330526e-05,-6.12677300430156e-06,-1.10142235246707e-06,2.37907621782666e-05,-1.18684765831786e-05,-2.97966873170526e-05,8.55528626430517e-05,3.80684730396335e-06,-1.27230711103949e-05,-4.28282053414587e-05,1.67728739804373e-05,5.42522584131409e-05
"q1_x_highedu_x_young",-6.18880675846426e-06,-3.02754211933457e-05,-3.06248296605622e-05,-6.7697743675468e-05,4.05177473086904e-05,8.99250184019708e-05,3.80684730396335e-06,0.000174698982102235,7.35763418800065e-05,1.65575124359177e-05,-4.70415064588256e-05,-9.17816689844675e-05
"q2_x_highedu_x_young",-1.21440396663325e-06,-3.05571277449202e-05,-4.36074912637968e-05,-7.75866033536056e-05,-7.01740750986336e-06,8.77551070511676e-06,-1.27230711103949e-05,7.35763418800065e-05,0.000110796520644517,0.00013784517262575,1.10126684779837e-05,-8.829086362095e-06
"q3_x_highedu_x_young",2.35548930401901e-05,-6.28762935526423e-05,-7.73593711977458e-05,-0.000158306269983579,-4.87265339105678e-05,-4.96790905913165e-05,-4.28282053414587e-05,1.65575124359177e-05,0.00013784517262575,0.00035174551132498,4.65805182373882e-05,3.19788585934872e-05
"interim_x_highedu_x_young",-1.09606626648515e-05,4.01006189448866e-05,-7.28609409385557e-06,-5.09008422564296e-05,-0.000102083960866184,-0.000135805138872453,1.67728739804373e-05,-4.70415064588256e-05,1.10126684779837e-05,4.65805182373882e-05,0.000159012692868371,0.000230810901800853
"post_x_highedu_x_young",-2.75234200875784e-05,8.83243252820333e-05,8.43378194856432e-06,-5.29458975399613e-05,-0.000136181298159175,-0.000254599614274767,5.42522584131409e-05,-9.17816689844675e-05,-8.829086362095e-06,3.19788585934872e-05,0.000230810901800853,0.000479027253805979
