"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.00017572001250212,9.38785735522529e-07,-8.79443820208349e-05,3.51253226781874e-05,-5.00616170220848e-06,-2.16843604778905e-05,-3.26091083009464e-05,-6.37081559124156e-06,-1.38922262407245e-05,-0.000127911902581852,5.69427920861403e-06,5.1346121868919e-05,-0.000184690044868467,2.64670344620682e-06,4.88430112331176e-05,-0.00013356094046778,2.96987623181081e-06,-3.01657426463163e-05
"rb_x_high_x_female",9.38785735522529e-07,1.62006851675176e-05,7.21043272824685e-07,-3.57245694545566e-05,8.58098791005542e-06,7.08996805623284e-06,-6.06025011505447e-05,1.95170249011917e-05,1.04713018195246e-05,-8.50489576310896e-05,-2.05078129767836e-06,1.39331663733278e-05,-5.76149916222297e-05,-2.52708545214227e-06,1.23045823209523e-05,-1.67115181625313e-05,-2.73687523609451e-06,1.52988880639029e-05
"rb_x_high_x_young_x_female",-8.79443820208349e-05,7.21043272824685e-07,0.000118579083523174,1.74011250659177e-05,4.33460826458652e-06,2.25748945987149e-05,0.000105701927169516,9.85807889460629e-06,-1.14935114143211e-05,0.000125092780981326,1.92162355393047e-06,-4.14844043713925e-05,0.000101422937598975,2.71571948312955e-06,-4.28139452593017e-05,1.10474274467962e-05,-3.26454646817333e-06,1.48602318555325e-05
"interim_x_high_x_young",3.51253226781874e-05,-3.57245694545566e-05,1.74011250659177e-05,0.000291449523781429,-1.84166129699544e-05,-5.85654941268497e-05,0.000498479644202456,-3.17720736689282e-05,-0.000137995587927527,0.000378805488882381,-1.23636760974085e-06,5.20994400011671e-05,0.000121466633059962,4.79986764181176e-06,4.45372752517727e-06,-0.000166237438711102,-1.85465729805922e-06,-8.64654447676314e-05
"interim_x_high_x_female",-5.00616170220848e-06,8.58098791005542e-06,4.33460826458652e-06,-1.84166129699544e-05,1.31440320965478e-05,9.13861644203316e-07,-8.22871183962019e-06,2.59382052831407e-05,-6.01778173364027e-06,-2.1468083946832e-05,-2.76844962361502e-06,1.96402113284992e-05,-3.30314347353686e-05,-1.19236002171264e-06,8.83092729992941e-06,-4.40039954761567e-05,-2.70685582071723e-06,-3.57616382987679e-06
"interim_x_high_x_young_x_female",-2.16843604778905e-05,7.08996805623284e-06,2.25748945987149e-05,-5.85654941268497e-05,9.13861644203316e-07,7.77863141955406e-05,-8.11491781070962e-05,-2.88370741378873e-06,9.79849616153281e-05,-4.40262082329916e-05,7.04064177522289e-07,-2.02254349987982e-05,-2.02878003897804e-05,-7.55942373508775e-08,4.92545281547197e-06,5.91987163054882e-06,-3.07650235427827e-06,5.45049429332863e-05
"post_x_high_x_young",-3.26091083009464e-05,-6.06025011505447e-05,0.000105701927169516,0.000498479644202456,-8.22871183962019e-06,-8.11491781070962e-05,0.0012496109637148,4.85413456667068e-06,-0.000379262017004798,0.000919284087478427,-3.28228337238472e-06,4.71778235482366e-05,0.000421799506788303,1.58911686193125e-05,-6.17643800331514e-05,-0.000292696730719542,-1.0314631381156e-05,-0.000152950012521299
"post_x_high_x_female",-6.37081559124156e-06,1.95170249011917e-05,9.85807889460629e-06,-3.17720736689282e-05,2.59382052831407e-05,-2.88370741378873e-06,4.85413456667068e-06,5.86122434062698e-05,-3.21103064329931e-05,-6.17646183188959e-05,-5.8052932776996e-06,3.43853316459064e-05,-7.68684665977816e-05,-2.15279568511808e-06,1.20587394623069e-05,-9.24505962069909e-05,-5.93766249979042e-06,-8.64089763055653e-06
"post_x_high_x_young_x_female",-1.38922262407245e-05,1.04713018195246e-05,-1.14935114143211e-05,-0.000137995587927527,-6.01778173364027e-06,9.79849616153281e-05,-0.000379262017004798,-3.21103064329931e-05,0.000319420388001616,-0.00017405757130431,-3.63105109783818e-06,2.58495402787863e-05,-6.28183298452762e-05,-1.00605057467027e-05,5.11604879307123e-05,8.20965562353174e-05,1.37914964231423e-07,9.61555639171575e-05
"q1_x_high_x_young",-0.000127911902581852,-8.50489576310896e-05,0.000125092780981326,0.000378805488882381,-2.1468083946832e-05,-4.40262082329916e-05,0.000919284087478427,-6.17646183188959e-05,-0.00017405757130431,0.00129674684582406,-8.71117616842453e-06,0.000143871420801504,0.000656608661152335,9.59968250556344e-06,-6.46260949312037e-06,-0.000258342196021927,-7.69342799243271e-06,-0.000212865003726795
"q1_x_high_x_female",5.69427920861403e-06,-2.05078129767836e-06,1.92162355393047e-06,-1.23636760974085e-06,-2.76844962361502e-06,7.04064177522289e-07,-3.28228337238472e-06,-5.8052932776996e-06,-3.63105109783818e-06,-8.71117616842453e-06,5.78520785121361e-06,-2.41647655015928e-05,-1.07411546421737e-06,3.76717038119651e-06,-1.19171743141832e-05,1.53921221786828e-05,2.6378761723267e-06,2.4587501034503e-06
"q1_x_high_x_young_x_female",5.1346121868919e-05,1.39331663733278e-05,-4.14844043713925e-05,5.20994400011671e-05,1.96402113284992e-05,-2.02254349987982e-05,4.71778235482366e-05,3.43853316459064e-05,2.58495402787863e-05,0.000143871420801504,-2.41647655015928e-05,0.000363848898485568,-0.000142654214374161,-1.4356261864481e-05,0.000212240384843001,-0.000376987467447488,-1.41091102736182e-05,-9.2271152000626e-05
"q2_x_high_x_young",-0.000184690044868467,-5.76149916222297e-05,0.000101422937598975,0.000121466633059962,-3.30314347353686e-05,-2.02878003897804e-05,0.000421799506788303,-7.68684665977816e-05,-6.28183298452762e-05,0.000656608661152335,-1.07411546421737e-06,-0.000142654214374161,0.000678131396786628,3.67507878418955e-06,-0.000146389778178166,0.000390804823061981,7.14727147088337e-06,-1.0982141733303e-05
"q2_x_high_x_female",2.64670344620682e-06,-2.52708545214227e-06,2.71571948312955e-06,4.79986764181176e-06,-1.19236002171264e-06,-7.55942373508775e-08,1.58911686193125e-05,-2.15279568511808e-06,-1.00605057467027e-05,9.59968250556344e-06,3.76717038119651e-06,-1.4356261864481e-05,3.67507878418955e-06,3.48967434299352e-06,-8.88990610577103e-06,2.38131773129934e-06,1.98636109880213e-06,-4.34912804976559e-06
"q2_x_high_x_young_x_female",4.88430112331176e-05,1.23045823209523e-05,-4.28139452593017e-05,4.45372752517727e-06,8.83092729992941e-06,4.92545281547197e-06,-6.17643800331514e-05,1.20587394623069e-05,5.11604879307123e-05,-6.46260949312037e-06,-1.19171743141832e-05,0.000212240384843001,-0.000146389778178166,-8.88990610577103e-06,0.000154968122884324,-0.000221642733245971,-8.95093194283384e-06,-1.18107206874389e-05
"q3_x_high_x_young",-0.00013356094046778,-1.67115181625313e-05,1.10474274467962e-05,-0.000166237438711102,-4.40039954761567e-05,5.91987163054882e-06,-0.000292696730719542,-9.24505962069909e-05,8.20965562353174e-05,-0.000258342196021927,1.53921221786828e-05,-0.000376987467447488,0.000390804823061981,2.38131773129934e-06,-0.000221642733245971,0.00100846235028131,2.72719114866714e-05,0.000144647295355109
"q3_x_high_x_female",2.96987623181081e-06,-2.73687523609451e-06,-3.26454646817333e-06,-1.85465729805922e-06,-2.70685582071723e-06,-3.07650235427827e-06,-1.0314631381156e-05,-5.93766249979042e-06,1.37914964231423e-07,-7.69342799243271e-06,2.6378761723267e-06,-1.41091102736182e-05,7.14727147088337e-06,1.98636109880213e-06,-8.95093194283384e-06,2.72719114866714e-05,4.2125569839586e-06,-7.52011919636014e-06
"q3_x_high_x_young_x_female",-3.01657426463163e-05,1.52988880639029e-05,1.48602318555325e-05,-8.64654447676314e-05,-3.57616382987679e-06,5.45049429332863e-05,-0.000152950012521299,-8.64089763055653e-06,9.61555639171575e-05,-0.000212865003726795,2.4587501034503e-06,-9.2271152000626e-05,-1.0982141733303e-05,-4.34912804976559e-06,-1.18107206874389e-05,0.000144647295355109,-7.52011919636014e-06,0.000192293209210381
