year,unit,age_band,metric,n,share,value
used,incumbents,31-34,resolved,463137.0,0.9758737597110752,
used,incumbents,31-34,four_digit_available,461451.0,0.9723211971672212,
used,incumbents,31-34,three_digit_available,461740.0,0.972930147686304,
used,incumbents,31-34,scored_four_digit,461451.0,0.9723211971672212,
used,incumbents,31-34,scored_three_digit,289.0,0.0006089505190829079,
used,incumbents,31-34,unscored,12847.0,0.027069852313695908,
used,incumbents,31-34,scored_uniform3,461740.0,0.972930147686304,
used,incumbents,31-34,unscored_uniform3,12847.0,0.027069852313695908,
used,incumbents,31-34,scored_mixed43,461740.0,0.972930147686304,
used,incumbents,31-34,unscored_mixed43,12847.0,0.027069852313695908,
used,incumbents,31-34,scored_four_only,461451.0,0.9723211971672212,
used,incumbents,31-34,unscored_four_only,13136.0,0.027678802832778817,
used,incumbents,31-34,incumbents,474587.0,1.0,
used,incumbents,35-40,resolved,657656.0,0.9772209228720954,
used,incumbents,35-40,four_digit_available,656169.0,0.9750113672498387,
used,incumbents,35-40,three_digit_available,656678.0,0.9757676979907457,
used,incumbents,35-40,scored_four_digit,656169.0,0.9750113672498387,
used,incumbents,35-40,scored_three_digit,509.0,0.000756330740906943,
used,incumbents,35-40,unscored,16308.0,0.02423230200925428,
used,incumbents,35-40,scored_uniform3,656678.0,0.9757676979907457,
used,incumbents,35-40,unscored_uniform3,16308.0,0.02423230200925428,
used,incumbents,35-40,scored_mixed43,656678.0,0.9757676979907457,
used,incumbents,35-40,unscored_mixed43,16308.0,0.02423230200925428,
used,incumbents,35-40,scored_four_only,656169.0,0.9750113672498387,
used,incumbents,35-40,unscored_four_only,16817.0,0.02498863275016122,
used,incumbents,35-40,incumbents,672986.0,1.0,
used,incumbents,41-49,resolved,1041250.0,0.9789919837832858,
used,incumbents,41-49,four_digit_available,1039279.0,0.9771388330509574,
used,incumbents,41-49,three_digit_available,1040104.0,0.9779145049708817,
used,incumbents,41-49,scored_four_digit,1039279.0,0.9771388330509574,
used,incumbents,41-49,scored_three_digit,825.0,0.000775671919924332,
used,incumbents,41-49,unscored,23490.0,0.022085495029118253,
used,incumbents,41-49,scored_uniform3,1040104.0,0.9779145049708817,
used,incumbents,41-49,unscored_uniform3,23490.0,0.022085495029118253,
used,incumbents,41-49,scored_mixed43,1040104.0,0.9779145049708817,
used,incumbents,41-49,unscored_mixed43,23490.0,0.022085495029118253,
used,incumbents,41-49,scored_four_only,1039279.0,0.9771388330509574,
used,incumbents,41-49,unscored_four_only,24315.0,0.022861166949042586,
used,incumbents,41-49,incumbents,1063594.0,1.0,
used,incumbents,50+,resolved,1805245.0,0.9462284939135102,
used,incumbents,50+,four_digit_available,1801269.0,0.9441444529707018,
used,incumbents,50+,three_digit_available,1802926.0,0.9450129780819275,
used,incumbents,50+,scored_four_digit,1801269.0,0.9441444529707018,
used,incumbents,50+,scored_three_digit,1657.0,0.0008685251112257264,
used,incumbents,50+,unscored,104906.0,0.05498702191807245,
used,incumbents,50+,scored_uniform3,1802926.0,0.9450129780819275,
used,incumbents,50+,unscored_uniform3,104906.0,0.05498702191807245,
used,incumbents,50+,scored_mixed43,1802926.0,0.9450129780819275,
used,incumbents,50+,unscored_mixed43,104906.0,0.05498702191807245,
used,incumbents,50+,scored_four_only,1801269.0,0.9441444529707018,
used,incumbents,50+,unscored_four_only,106563.0,0.05585554702929818,
used,incumbents,50+,incumbents,1907832.0,1.0,
used,incumbents,total,resolved,3967288.0,0.963167993000241,
used,incumbents,total,four_digit_available,3958168.0,0.9609538628195831,
used,incumbents,total,three_digit_available,3961448.0,0.9617501727968373,
used,incumbents,total,scored_four_digit,3958168.0,0.9609538628195831,
used,incumbents,total,scored_three_digit,3280.0,0.0007963099772541823,
used,incumbents,total,unscored,157551.0,0.03824982720316271,
used,incumbents,total,scored_uniform3,3961448.0,0.9617501727968373,
used,incumbents,total,unscored_uniform3,157551.0,0.03824982720316271,
used,incumbents,total,scored_mixed43,3961448.0,0.9617501727968373,
used,incumbents,total,unscored_mixed43,157551.0,0.03824982720316271,
used,incumbents,total,scored_four_only,3958168.0,0.9609538628195831,
used,incumbents,total,unscored_four_only,160831.0,0.03904613718041689,
used,incumbents,total,incumbents,4118999.0,1.0,
used,employers,total,resolved,280342.0,0.950679245538954,
used,employers,total,four_digit_available,280015.0,0.9495703424374164,
used,employers,total,three_digit_available,280317.0,0.9505944670143717,
used,employers,total,scored_uniform3,280317.0,0.9505944670143717,
used,employers,total,scored_mixed43,280317.0,0.9505944670143717,
used,employers,total,scored_four_only,280015.0,0.9495703424374164,
used,employers,total,employers,294886.0,1.0,
2019,incumbents,31-34,resolved,434495.0,1.0,
2019,incumbents,31-34,four_digit_available,432843.0,0.9961978849008619,
2019,incumbents,31-34,three_digit_available,433097.0,0.9967824716049667,
2019,incumbents,31-34,scored_four_digit,432843.0,0.9961978849008619,
2019,incumbents,31-34,scored_three_digit,254.0,0.0005845867041047653,
2019,incumbents,31-34,unscored,1398.0,0.0032175283950333145,
2019,incumbents,31-34,scored_uniform3,433097.0,0.9967824716049667,
2019,incumbents,31-34,unscored_uniform3,1398.0,0.0032175283950333145,
2019,incumbents,31-34,scored_mixed43,433097.0,0.9967824716049667,
2019,incumbents,31-34,unscored_mixed43,1398.0,0.0032175283950333145,
2019,incumbents,31-34,scored_four_only,432843.0,0.9961978849008619,
2019,incumbents,31-34,unscored_four_only,1652.0,0.0038021150991380797,
2019,incumbents,31-34,incumbents,434495.0,1.0,
2019,incumbents,35-40,resolved,622885.0,1.0,
2019,incumbents,35-40,four_digit_available,621449.0,0.9976945985213964,
2019,incumbents,35-40,three_digit_available,621878.0,0.9983833291859653,
2019,incumbents,35-40,scored_four_digit,621449.0,0.9976945985213964,
2019,incumbents,35-40,scored_three_digit,429.0,0.0006887306645689011,
2019,incumbents,35-40,unscored,1007.0,0.0016166708140346933,
2019,incumbents,35-40,scored_uniform3,621878.0,0.9983833291859653,
2019,incumbents,35-40,unscored_uniform3,1007.0,0.0016166708140346933,
2019,incumbents,35-40,scored_mixed43,621878.0,0.9983833291859653,
2019,incumbents,35-40,unscored_mixed43,1007.0,0.0016166708140346933,
2019,incumbents,35-40,scored_four_only,621449.0,0.9976945985213964,
2019,incumbents,35-40,unscored_four_only,1436.0,0.0023054014786035946,
2019,incumbents,35-40,incumbents,622885.0,1.0,
2019,incumbents,41-49,resolved,996581.0,1.0,
2019,incumbents,41-49,four_digit_available,994684.0,0.998096491905826,
2019,incumbents,41-49,three_digit_available,995421.0,0.9988360203535889,
2019,incumbents,41-49,scored_four_digit,994684.0,0.998096491905826,
2019,incumbents,41-49,scored_three_digit,737.0,0.0007395284477629013,
2019,incumbents,41-49,unscored,1160.0,0.0011639796464110795,
2019,incumbents,41-49,scored_uniform3,995421.0,0.9988360203535889,
2019,incumbents,41-49,unscored_uniform3,1160.0,0.0011639796464110795,
2019,incumbents,41-49,scored_mixed43,995421.0,0.9988360203535889,
2019,incumbents,41-49,unscored_mixed43,1160.0,0.0011639796464110795,
2019,incumbents,41-49,scored_four_only,994684.0,0.998096491905826,
2019,incumbents,41-49,unscored_four_only,1897.0,0.0019035080941739808,
2019,incumbents,41-49,incumbents,996581.0,1.0,
2019,incumbents,50+,resolved,1734297.0,1.0,
2019,incumbents,50+,four_digit_available,1730505.0,0.9978135232892636,
2019,incumbents,50+,three_digit_available,1731978.0,0.9986628587837031,
2019,incumbents,50+,scored_four_digit,1730505.0,0.9978135232892636,
2019,incumbents,50+,scored_three_digit,1473.0,0.0008493354944395337,
2019,incumbents,50+,unscored,2319.0,0.0013371412162968626,
2019,incumbents,50+,scored_uniform3,1731978.0,0.9986628587837031,
2019,incumbents,50+,unscored_uniform3,2319.0,0.0013371412162968626,
2019,incumbents,50+,scored_mixed43,1731978.0,0.9986628587837031,
2019,incumbents,50+,unscored_mixed43,2319.0,0.0013371412162968626,
2019,incumbents,50+,scored_four_only,1730505.0,0.9978135232892636,
2019,incumbents,50+,unscored_four_only,3792.0,0.0021864767107363965,
2019,incumbents,50+,incumbents,1734297.0,1.0,
2019,incumbents,total,resolved,3788258.0,1.0,
2019,incumbents,total,four_digit_available,3779481.0,0.9976831039490974,
2019,incumbents,total,three_digit_available,3782374.0,0.9984467794960111,
2019,incumbents,total,scored_four_digit,3779481.0,0.9976831039490974,
2019,incumbents,total,scored_three_digit,2893.0,0.0007636755469136474,
