young_band,spec,n_firms,retained_share,term,coef,se,n_obs,status
26-30,baseline_same_sample,119087,1.0,rb_x_high_x_young,0.022085500198045,0.0043484000171648,28470906,ok
26-30,baseline_same_sample,119087,1.0,q1_x_high_x_young,-0.0456817168071413,0.0035227456967728,28470906,ok
26-30,baseline_same_sample,119087,1.0,q2_x_high_x_young,-0.0521237570457128,0.0028621715619429,28470906,ok
26-30,baseline_same_sample,119087,1.0,q3_x_high_x_young,-0.0403065535929926,0.0026418696343316,28470906,ok
26-30,baseline_same_sample,119087,1.0,interim_x_high_x_young,-0.0035533531526258,0.0056273339106012,28470906,ok
26-30,baseline_same_sample,119087,1.0,post_x_high_x_young,-0.0395618777565572,0.0102721927523485,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,rb_x_high_x_young,0.0098205351601174,0.0056453659182061,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,q1_x_high_x_young,-0.0303699806768596,0.0040074775439361,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,q2_x_high_x_young,-0.0283340168878829,0.0032661572879185,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,q3_x_high_x_young,-0.0155138037807018,0.0039117579150003,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,interim_x_high_x_young,-0.0041151106036337,0.0053345994211317,28470906,ok
26-30,industry_age_month,119087,0.45567755304201735,post_x_high_x_young,-0.0180274596498554,0.0093031471582649,28470906,ok
