"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000173905336879374,9.80571289445189e-07,-8.79612907831467e-05,3.46473115362382e-05,-5.15374674385738e-06,-2.11292948459743e-05,-3.23892330599809e-05,-6.64190399702895e-06,-1.4094915496679e-05,-0.000126772744848348,5.70799459266839e-06,5.13204748194315e-05,-0.000183121471776276,2.61346817251152e-06,4.86828367622351e-05,-0.000131955991001663,2.81244036981109e-06,-2.9842153859686e-05
"rb_x_high_x_female",9.80571289445189e-07,1.60495609473052e-05,6.92597974455084e-07,-3.53360385283814e-05,8.49041763826454e-06,6.90089217719387e-06,-5.98426365146232e-05,1.93531705458644e-05,1.01408865140966e-05,-8.43492192530983e-05,-2.04355480427511e-06,1.35953458801179e-05,-5.71395295693746e-05,-2.54731903334468e-06,1.21134304166751e-05,-1.65195278417163e-05,-2.71329720684011e-06,1.51890147180744e-05
"rb_x_high_x_young_x_female",-8.79612907831467e-05,6.92597974455084e-07,0.000119663178068711,1.71093189913672e-05,4.57513346989086e-06,2.24860677315331e-05,0.000105238742200068,1.04318065271183e-05,-1.1391499547557e-05,0.000124906832488627,1.93056949864224e-06,-4.23508228233193e-05,0.000100622380667128,2.79382342029867e-06,-4.31389950753817e-05,1.01006329659755e-05,-3.06654186121901e-06,1.45041378682771e-05
"interim_x_high_x_young",3.46473115362382e-05,-3.53360385283814e-05,1.71093189913672e-05,0.000290502657221298,-1.8556623232438e-05,-5.79626636558999e-05,0.000497640320148559,-3.14214860577503e-05,-0.00013798646105469,0.000376152560230167,-1.23342269322653e-06,5.28280725693131e-05,0.000120385949847641,4.8094525001235e-06,5.17473770697611e-06,-0.000165873072357476,-1.81782484960242e-06,-8.61872464190836e-05
"interim_x_high_x_female",-5.15374674385738e-06,8.49041763826454e-06,4.57513346989086e-06,-1.8556623232438e-05,1.31828950848233e-05,8.69734152687758e-07,-8.50528443039354e-06,2.58980228760176e-05,-6.12418397815327e-06,-2.14778433451823e-05,-2.7569438541923e-06,1.97331293554827e-05,-3.29517895492871e-05,-1.18148911735242e-06,8.85712522175354e-06,-4.39047395118975e-05,-2.68278337182216e-06,-3.61504492933364e-06
"interim_x_high_x_young_x_female",-2.11292948459743e-05,6.90089217719387e-06,2.24860677315331e-05,-5.79626636558999e-05,8.69734152687758e-07,7.69901861346743e-05,-8.02023572599632e-05,-3.12746253368399e-06,9.65635180219797e-05,-4.23630563394121e-05,7.48893110966049e-07,-2.07992982480459e-05,-1.89402198803859e-05,-6.60342204175109e-08,4.68364229675522e-06,7.47246490478541e-06,-3.01687984798796e-06,5.41289371766121e-05
"post_x_high_x_young",-3.23892330599809e-05,-5.98426365146232e-05,0.000105238742200068,0.000497640320148559,-8.50528443039354e-06,-8.02023572599632e-05,0.00124663310014719,5.1565080068488e-06,-0.000378688675702319,0.000913540265559358,-3.12687108163876e-06,4.76523305967655e-05,0.000419215809473755,1.60904411855922e-05,-6.10401300683027e-05,-0.000290946081265687,-1.00805100236739e-05,-0.000152901096763067
"post_x_high_x_female",-6.64190399702895e-06,1.93531705458644e-05,1.04318065271183e-05,-3.14214860577503e-05,2.58980228760176e-05,-3.12746253368399e-06,5.1565080068488e-06,5.84001338065873e-05,-3.25379726370689e-05,-6.12793286078441e-05,-5.76031627182151e-06,3.42181201805516e-05,-7.63264871286594e-05,-2.12169184871786e-06,1.18015344889225e-05,-9.19975154052155e-05,-5.86754419937188e-06,-8.98892021149308e-06
"post_x_high_x_young_x_female",-1.4094915496679e-05,1.01408865140966e-05,-1.1391499547557e-05,-0.00013798646105469,-6.12418397815327e-06,9.65635180219797e-05,-0.000378688675702319,-3.25379726370689e-05,0.00031919228543681,-0.000169397876758084,-3.78540907967304e-06,2.65435408895938e-05,-5.93949742516478e-05,-1.02223406301581e-05,5.18661569374678e-05,8.36013203701633e-05,-1.49883377754347e-08,9.63143569252772e-05
"q1_x_high_x_young",-0.000126772744848348,-8.43492192530983e-05,0.000124906832488627,0.000376152560230167,-2.14778433451823e-05,-4.23630563394121e-05,0.000913540265559358,-6.12793286078441e-05,-0.000169397876758084,0.0012890815996676,-8.82251999461501e-06,0.000145156836592881,0.000652159171272579,9.66019437834768e-06,-5.33389065753864e-06,-0.000258945337513001,-7.74170836101646e-06,-0.000210715873141446
