year,quartile_group,decl_band,n_total,n_counted,n_no_register,n_register_no_birth_or_sex,n_outside_age_range,share_no_register,share_not_counted
2019,Q1,all,17429722,15746041,32038,0,1651643,0.001838124555285506,0.09659827047155428
2019,Q1-Q3,all,58371461,46148320,361787,0,11861354,0.006198011730424223,0.20940269081152518
2019,Q2,all,19323644,15497532,100670,0,3725442,0.005209679913374517,0.19800157775624513
2019,Q3,all,21618095,14904747,229079,0,6484269,0.010596632126928853,0.3105429965036235
2019,Q4,all,16400634,15018987,93030,0,1288617,0.005672341691180963,0.08424351156180913
2019,all,all,75461082,61611826,461575,0,13387681,0.006116729150530866,0.18352845775521745
2019,unscored,all,688987,444519,6758,0,237710,0.009808603065079602,0.35482236965283814
2020,Q1,all,16514111,14997325,10889,0,1505897,0.0006593754880296009,0.09184787482656499
2020,Q1-Q3,all,56123523,44435056,102651,0,11585816,0.0018290191797118653,0.2082632446291727
2020,Q2,all,18825683,15028376,29214,0,3768093,0.0015518162076775647,0.20170885699073973
2020,Q3,all,20783729,14409355,62548,0,6311826,0.003009469571124604,0.3067002076480116
2020,Q4,all,16301605,14925617,44494,0,1331494,0.002729424495318099,0.08440813036507755
2020,all,all,73865984,60512106,151089,0,13202789,0.0020454476041367026,0.18078521772619993
2020,unscored,all,1440856,1151433,3944,0,285479,0.002737261738855236,0.2008687891086965
2021,Q1,all,16209353,14657439,9670,0,1542244,0.0005965691536238368,0.09574188433060839
2021,Q1-Q3,all,55922026,44032679,97720,0,11791627,0.0017474331133854127,0.21260579865257384
2021,Q2,all,18905169,15025905,27580,0,3851684,0.0014588602725529721,0.20519594402991054
2021,Q3,all,20807504,14349335,60470,0,6397699,0.002906163084241147,0.3103769197881687
2021,Q4,all,16431803,15022810,37405,0,1371588,0.00227637831344497,0.08574792431481804
2021,all,all,75030237,61308402,140605,0,13581230,0.0018739778204352466,0.18288406845896008
2021,unscored,all,2676408,2252913,5480,0,418015,0.0020475204079497596,0.15823260130742398
2022,Q1,all,16543249,14791292,11517,0,1740440,0.0006961752192692016,0.10590162790876206
2022,Q1-Q3,all,57067823,44519839,100043,0,12447941,0.0017530544313912237,0.21987844183227384
2022,Q2,all,19378780,15234289,28419,0,4116072,0.0014665009871622466,0.21386748804620312
2022,Q3,all,21145794,14494258,60107,0,6591429,0.002842503809504623,0.3145559821494525
2022,Q4,all,16950276,15418527,38393,0,1493356,0.002265036864296487,0.09036720110044226
2022,all,all,78023805,63356713,146985,0,14520107,0.001883848140961595,0.18798227028276818
2022,unscored,all,4005706,3418347,8549,0,578810,0.0021342055557746873,0.14663058147552516
2023,Q1,all,16420701,14493008,12521,0,1915172,0.000762513122917225,0.11739407471093956
2023,Q1-Q3,all,57677868,44297483,106208,0,13274177,0.0018413995468764552,0.23198473632901964
2023,Q2,all,19719777,15219496,30828,0,4469453,0.001563303682389512,0.2282115563477214
2023,Q3,all,21537390,14584979,62859,0,6889552,0.0029185987717174643,0.32280657034116017
2023,Q4,all,18048654,15736165,50271,0,2262218,0.00278530465485127,0.12812528845641344
2023,all,all,80683697,64308238,164442,0,16211017,0.002038106905289677,0.20295870924209136
2023,unscored,all,4957175,4274590,7963,0,674622,0.0016063584602117134,0.13769636940394478
2024,Q1,all,15809786,13976387,10662,0,1822737,0.0006743924301062645,0.11596608581545632
2024,Q1-Q3,all,56677698,43390684,104157,0,13182857,0.0018377069583877595,0.23443108081065678
2024,Q2,all,19430294,14958650,30607,0,4441037,0.0015752206322765883,0.2301377426404356
2024,Q3,all,21437618,14455647,62888,0,6919083,0.0029335348731374914,0.3256878166221639
2024,Q4,all,17833979,15531562,44959,0,2257458,0.002520974147160317,0.12910282108103863
2024,all,all,80173757,63844713,156312,0,16172732,0.001949665399863948,0.2036706849100261
2024,unscored,all,5662080,4922467,7196,0,732417,0.0012709110432915112,0.13062567113145698
2025,Q1,all,7714109,6885236,5869,0,823004,0.0007608137245662461,0.10744896137713376
2025,Q1-Q3,all,27944758,21452488,54826,0,6437444,0.0019619422003940776,0.23232514663394116
2025,Q2,all,9515244,7342554,16560,0,2156130,0.0017403652496982736,0.22833781246177187
2025,Q3,all,10715405,7224698,32397,0,3458310,0.003023404155045936,0.3257652883862066
2025,Q4,all,8969690,7784726,24160,0,1160804,0.0026935156064479375,0.1321075756241297
2025,all,all,39924240,31902153,83915,0,7938172,0.0021018559151032056,0.2009327416126143
2025,unscored,all,3009792,2664939,4929,0,339924,0.0016376546950752744,0.1145770206047461
