block,item,n_incumbents,value,n_firms,share_firms,share_employment
variance,mean_score,,52.579634442737195,262089,,
variance,variance_within_firm,,422.04119453526107,262089,,
variance,variance_between_firms_observed,,347.3067173218951,262089,,
variance,sampling_noise_removed,,28.57631805417321,262089,,
variance,variance_between_firms_net,,318.7303992677219,262089,,
variance,share_between_net,,0.43026811764125505,262089,,
reliability_by_firm_quantile,p10_of_employers,1.0,0.43026811764125505,262089,0.1,
reliability_by_firm_quantile,p25_of_employers,1.0,0.43026811764125505,262089,0.25,
reliability_by_firm_quantile,p50_of_employers,2.0,0.601660782806006,262089,0.5,
reliability_by_firm_quantile,p75_of_employers,5.0,0.790622304800121,262089,0.75,
reliability_by_firm_quantile,p90_of_employers,13.0,0.9075593404708318,262089,0.9,
reliability_by_employment_quantile,p10_of_incumbent_employment,5.0,0.790622304800121,262089,,0.1
reliability_by_employment_quantile,p25_of_incumbent_employment,30.0,0.9577280474737291,262089,,0.25
reliability_by_employment_quantile,p50_of_incumbent_employment,645.0,0.9979512876518972,262089,,0.5
reliability_by_employment_quantile,p75_of_incumbent_employment,5210.0,0.9997459125172453,262089,,0.75
reliability_by_employment_quantile,p90_of_incumbent_employment,13527.0,0.9999021214883946,262089,,0.9
reliability_at_n,n_1,1.0,0.43026811764125505,106401,0.40597278023877387,0.029592612486764498
reliability_at_n,n_2,2.0,0.601660782806006,48304,0.1843038051959449,0.02618686827208003
reliability_at_n,n_5,5.0,0.790622304800121,11114,0.04240544242604612,0.015006162063118061
reliability_at_n,n_10,10.0,0.8830698720558766,3129,0.01193869258152765,0.008278763056844204
reliability_at_n,n_25,25.0,0.9496989219253532,537,0.00204892231264952,0.0035170462499181784
reliability_at_n,n_100,100.0,0.9869317190147322,28,0.00010683393808973287,0.0007099795022837756
thin,reliability_below_0.50,,0.5,106401,0.40597278023877387,0.029592612486764498
