young_band,outcome,n_firms,term,coef,se,n_obs,status,t,edu_coef,edu_se
22-25,stock,104217,rbw_x_high_x_young,0.0159026409405145,0.0074886603471297,24884226,ok,2.1235628541505105,,
22-25,stock,104217,q1_x_high_x_young,-0.134787464953139,0.0114145829314062,24884226,ok,-11.808356535067382,,
22-25,stock,104217,q2_x_high_x_young,-0.130545915915884,0.0091294443157107,24884226,ok,-14.299437227655776,,
22-25,stock,104217,q3_x_high_x_young,-0.107186315695761,0.0118105653718981,24884226,ok,-9.07546017659736,,
22-25,stock,104217,interim_x_high_x_young,-0.002015295993504,0.0134629473701357,24884226,ok,-0.1496920353394865,,
22-25,stock,104217,post_x_high_x_young,-0.0418771927096733,0.0188686097397525,24884226,ok,-2.2194106130377045,-0.0194,0.0184
26-30,stock,117090,rbw_x_high_x_young,0.0183900247256369,0.0044229201167054,28077246,ok,4.15789212565193,,
26-30,stock,117090,q1_x_high_x_young,-0.0479646267899179,0.0034729535357405,28077246,ok,-13.810903686533463,,
26-30,stock,117090,q2_x_high_x_young,-0.0530060156588688,0.0028452154852976,28077246,ok,-18.629877396904632,,
26-30,stock,117090,q3_x_high_x_young,-0.0439262776938778,0.002551038823045,28077246,ok,-17.218976558516665,,
26-30,stock,117090,interim_x_high_x_young,0.0104289363872875,0.0080263915918639,28077246,ok,1.2993306229737138,,
26-30,stock,117090,post_x_high_x_young,-0.0298494824791738,0.0123051110746524,28077246,ok,-2.425779198422799,-0.0172,0.0121
