outcome,young_band,n_firms,term,coef,se,n_obs,status,t,edu_coef,edu_se
hires,22-25,90997,rb_x_high_x_young,0.0522336983372298,0.0189138534949467,20182122,ok,2.7616634733469474,,
hires,22-25,90997,q1_x_high_x_young,-0.0307826728208983,0.0279482955549159,20182122,ok,-1.1014150312105118,,
hires,22-25,90997,q2_x_high_x_young,-0.118596920439225,0.032140093112972,20182122,ok,-3.689999279789215,,
hires,22-25,90997,q3_x_high_x_young,0.143596120849031,0.0284975180944764,20182122,ok,5.038899190202247,,
hires,22-25,90997,interim_x_high_x_young,-0.0262786832175047,0.0176871057941627,20182122,ok,-1.485753719309888,,
hires,22-25,90997,post_x_high_x_young,-0.0178837392557822,0.0406301705768776,20182122,ok,-0.44015909856799207,-0.0032,0.0363
seps,22-25,93969,rb_x_high_x_young,0.0199016005079879,0.0182334470830742,20839734,ok,1.0914886481592512,,
seps,22-25,93969,q1_x_high_x_young,0.0475998960056611,0.0333726617150908,20839734,ok,1.426314041475957,,
seps,22-25,93969,q2_x_high_x_young,-0.0553683939225663,0.0300153819429898,20839734,ok,-1.8446673118380152,,
seps,22-25,93969,q3_x_high_x_young,0.187495264470036,0.0246408471927767,20839734,ok,7.609124110188833,,
seps,22-25,93969,interim_x_high_x_young,0.0240591823339142,0.0165301346445335,20839734,ok,1.4554740691038803,,
seps,22-25,93969,post_x_high_x_young,0.0540096439428565,0.0225086916955423,20839734,ok,2.3995016979841948,0.0787,0.0203
