block,arm,item,coef,se,t,value,n_firms,n_obs,status
stability,2019_only vs cascade_back_2019,n_both,,,,250864.0,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,share_keeping_quartile,,,,0.9777209962370049,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,share_keeping_top,,,,0.9921311945914918,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,mean_relative_mix_shift,,,,0.01931494423648901,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,spearman,,,,0.9945226125393787,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,n_true_only,,,,0.0,250864.0,250864.0,descriptive
stability,2019_only vs cascade_back_2019,n_asof_only,,,,0.0,250864.0,250864.0,descriptive
fit,cascade_back_2019,rb_x_high_x_young,0.0161291999124737,0.0075164932740544,2.145841062367319,,102150.0,24471288.0,ok
fit,cascade_back_2019,q1_x_high_x_young,-0.135276496290422,0.0114741286291753,-11.789696687420259,,102150.0,24471288.0,ok
fit,cascade_back_2019,q2_x_high_x_young,-0.13101740841646,0.0091715826779178,-14.285147178786001,,102150.0,24471288.0,ok
fit,cascade_back_2019,q3_x_high_x_young,-0.107673242341527,0.0118586104375248,-9.079752042516814,,102150.0,24471288.0,ok
fit,cascade_back_2019,interim_x_high_x_young,-0.0177937716509601,0.0096983078363513,-1.8347295168612092,,102150.0,24471288.0,ok
fit,cascade_back_2019,post_x_high_x_young,-0.0583834833279891,0.0155564596373472,-3.7530058052427844,,102150.0,24471288.0,ok
fit,code_2019_only,rb_x_high_x_young,0.0192265418500624,0.0074320974622182,2.586960403547238,,102150.0,24471288.0,ok
fit,code_2019_only,q1_x_high_x_young,-0.135924744463813,0.0114676473564439,-11.852888411975293,,102150.0,24471288.0,ok
fit,code_2019_only,q2_x_high_x_young,-0.131211433798082,0.0091703871292041,-14.30816735972082,,102150.0,24471288.0,ok
fit,code_2019_only,q3_x_high_x_young,-0.107799634127403,0.0118263722770662,-9.115190322263823,,102150.0,24471288.0,ok
fit,code_2019_only,interim_x_high_x_young,-0.0176764309324883,0.0096278898150561,-1.835961074756577,,102150.0,24471288.0,ok
fit,code_2019_only,post_x_high_x_young,-0.0537920134980945,0.0154990160257547,-3.470672809726009,,102150.0,24471288.0,ok
artefact,cascade_back_2019 minus code_2019_only,cascade_effect,-0.004591469829894598,,,-0.004591469829894598,,,derived
