"term","rb_x_high_x_young","m01_x_high_x_young","m02_x_high_x_young","m03_x_high_x_young","m04_x_high_x_young","m05_x_high_x_young","m06_x_high_x_young","m07_x_high_x_young","m08_x_high_x_young","m09_x_high_x_young","m10_x_high_x_young","m11_x_high_x_young","pm_2022_12_x_high_x_young","pm_2023_01_x_high_x_young","pm_2023_02_x_high_x_young","pm_2023_03_x_high_x_young","pm_2023_04_x_high_x_young","pm_2023_05_x_high_x_young","pm_2023_06_x_high_x_young","pm_2023_07_x_high_x_young","pm_2023_08_x_high_x_young","pm_2023_09_x_high_x_young","pm_2023_10_x_high_x_young","pm_2023_11_x_high_x_young","pm_2023_12_x_high_x_young","pm_2024_01_x_high_x_young","pm_2024_02_x_high_x_young","pm_2024_03_x_high_x_young","pm_2024_04_x_high_x_young","pm_2024_05_x_high_x_young","pm_2024_06_x_high_x_young","pm_2024_07_x_high_x_young","pm_2024_08_x_high_x_young","pm_2024_09_x_high_x_young","pm_2024_10_x_high_x_young","pm_2024_11_x_high_x_young","pm_2024_12_x_high_x_young","pm_2025_01_x_high_x_young","pm_2025_02_x_high_x_young","pm_2025_03_x_high_x_young","pm_2025_04_x_high_x_young","pm_2025_05_x_high_x_young","pm_2025_06_x_high_x_young"
"rb_x_high_x_young",2.24005290023894e-05,1.05816132617607e-06,1.35974364639747e-06,2.02889112336754e-06,-9.45504512281524e-06,-8.42367610921927e-06,-5.95091550424644e-06,-6.20654349689861e-06,-4.55964064437697e-06,-3.20373871784878e-06,-3.34173926732294e-06,-2.67325572026657e-06,-3.34430257014933e-06,2.40414232361623e-06,6.53777368681518e-07,1.34087004906491e-07,1.10452985585759e-05,1.08648495581314e-05,9.3185213760376e-06,8.68548445209019e-06,7.71681710654332e-06,7.17248354652172e-06,7.58502274310836e-06,6.91636728906519e-06,4.85426609548726e-06,7.8157527625191e-06,8.75368672914184e-06,8.89288177803532e-06,2.03016227223726e-05,1.93427949114612e-05,1.67697746231917e-05,1.64497813517257e-05,1.50935202293191e-05,1.37514529838932e-05,1.3358959563699e-05,1.29894041618577e-05,9.34062550673187e-06,1.26955246353699e-05,1.22059307715882e-05,1.10807357192945e-05,2.06838835700021e-05,1.9806784397566e-05,-7.67007254955925e-07
"m01_x_high_x_young",1.05816132617607e-06,4.19720091328794e-05,1.33975881109851e-05,1.2265262776037e-05,1.27538825198337e-05,9.44836985806031e-06,1.17106963077682e-05,3.81995616723937e-06,3.26501308321198e-07,8.65778133102179e-07,2.16493912405124e-06,1.83045542208828e-06,2.96677248641541e-06,4.81203959910162e-06,3.22245087422336e-06,2.21635134843235e-06,4.19582522671262e-06,7.50628340958443e-06,4.53385497767633e-06,8.00727098926133e-06,9.30203774978326e-06,1.12445848671449e-05,1.12313256456483e-05,1.14009115118282e-05,1.4605416381355e-05,5.65037381500905e-06,1.22783694806089e-05,1.21170212054635e-05,1.2191396836235e-05,1.27780582134499e-05,1.3689593997255e-05,1.54278868326694e-05,1.42107822744973e-05,1.5498684520073e-05,1.51723404851695e-05,2.00931065702259e-05,1.9550767496305e-05,9.30291743658102e-06,2.36850356415565e-05,1.46363496261035e-05,1.6064601230803e-05,1.75962883729145e-05,1.0920921986447e-05
"m02_x_high_x_young",1.35974364639747e-06,1.33975881109851e-05,1.84028631852424e-05,1.3390915910405e-05,1.07761504971623e-05,9.41369517737137e-06,1.02463028032948e-05,7.93683337828015e-06,7.54350798999694e-06,6.67535456760844e-06,4.7848808693038e-06,2.6744893894192e-06,2.57866483664657e-06,-1.27183373592609e-06,-6.47743812573102e-06,-2.36154356056717e-06,1.85588508937771e-06,4.2464985334548e-07,2.83294751374882e-06,3.91169668246626e-06,3.35278145586063e-06,3.20613441318931e-06,4.31024536484283e-06,5.26653925019406e-06,7.46480756638864e-06,2.10216789919202e-06,-2.01731360995869e-06,1.86715632615069e-06,5.45763115617438e-06,4.75472155508117e-06,6.07738654484423e-06,7.00133740851181e-06,7.36077319037854e-06,7.17620845305078e-06,8.98704927942971e-06,9.51695578247859e-06,1.176481352392e-05,5.67442416699543e-06,2.52490628605267e-06,6.03614806151767e-06,9.12868869491103e-06,8.78122712370246e-06,-7.81099674172876e-06
"m03_x_high_x_young",2.02889112336754e-06,1.2265262776037e-05,1.3390915910405e-05,1.44767827407857e-05,1.07433506154682e-05,9.12511406842952e-06,9.22897133146909e-06,7.02779402038319e-06,6.90038300807306e-06,5.16067719868422e-06,4.47270562692873e-06,2.81392464224337e-06,3.05384086629525e-06,4.91257654280316e-07,-1.17103540187334e-06,-1.65021196771369e-06,3.62173400901327e-06,1.78988401651733e-06,4.3585369623002e-06,5.22671763572279e-06,4.37789089329623e-06,5.52250789162788e-06,5.16227504880937e-06,6.31792858623758e-06,8.33702698254783e-06,3.56251535758928e-06,3.86012017142091e-06,2.82642955021612e-06,7.62724494188386e-06,7.08359636197228e-06,7.75106466241712e-06,8.55734968878538e-06,8.75397037816385e-06,9.4355569167876e-06,1.05766502258167e-05,1.13000512413807e-05,1.28277653314008e-05,7.93789857252181e-06,9.13758570978223e-06,7.48963949406482e-06,1.15007682739367e-05,1.14056102522589e-05,9.5321778045686e-07
"m04_x_high_x_young",-9.45504512281524e-06,1.27538825198337e-05,1.07761504971623e-05,1.07433506154682e-05,1.79404716510778e-05,1.28053523092124e-05,1.23840105577698e-05,9.18326026106259e-06,7.89278324565984e-06,5.38496056963657e-06,6.49693449621552e-06,3.81923563267544e-06,4.71105920666214e-06,-3.60993540340163e-07,-8.67468316070137e-07,-1.32054190531903e-06,-4.64387608056287e-06,-2.80514349110597e-06,-2.04605924173281e-06,-5.11578404113493e-08,2.21476313594986e-07,2.12422233914973e-06,1.42967851485178e-07,2.5702407878494e-06,5.70363022611808e-06,7.82363943007593e-07,-2.70889835507137e-07,-1.0771741509034e-06,-5.90925246527318e-06,-3.38349404135991e-06,-1.22020488510098e-06,-3.65409576328357e-07,3.12769847281737e-07,1.45500335605307e-06,2.58673932690424e-06,2.92047711099168e-06,7.04073101077935e-06,1.85815451782327e-06,2.40292826406035e-06,1.59763248358606e-06,-3.1814305072436e-06,-2.35936672468825e-07,1.74598301324285e-06
"m05_x_high_x_young",-8.42367610921927e-06,9.44836985806031e-06,9.41369517737137e-06,9.12511406842952e-06,1.28053523092124e-05,1.72715266214997e-05,1.11698377475419e-05,1.02008130581962e-05,9.17326401273439e-06,6.52234736994446e-06,5.63819551062312e-06,4.32125209326151e-06,5.0606398846278e-06,-8.38105548967896e-07,-8.24229810400274e-07,-7.49391712140673e-07,-2.65498070589309e-06,-1.28608565104298e-05,-1.68041898149746e-06,-1.10308448893884e-06,-7.60176085738269e-07,4.33132308497593e-07,6.83854439497835e-07,1.43570038280707e-06,5.02127887701736e-06,-8.32381581159668e-07,-3.1850928483227e-07,-7.57035182573654e-07,-3.23425777837528e-06,-1.20853293931264e-05,-2.67086837537382e-06,-1.93572759564209e-06,-1.15677676682682e-06,4.64700388836341e-07,9.22617073079703e-07,1.94218241620366e-06,5.76076313808795e-06,7.30202528263045e-07,1.80735051162486e-06,1.5451831605976e-06,-9.15206559063892e-07,-5.30615303522744e-06,-6.48043956765033e-06
"m06_x_high_x_young",-5.95091550424644e-06,1.17106963077682e-05,1.02463028032948e-05,9.22897133146909e-06,1.23840105577698e-05,1.11698377475419e-05,1.64852031575632e-05,1.06403341373855e-05,8.94451108931453e-06,6.98398907873981e-06,4.46556733094987e-06,3.27457409440864e-06,5.08585880861406e-06,-2.3145195802936e-07,-3.08652908228514e-07,2.45316227952455e-08,-1.13935785074565e-06,-1.11911921092553e-06,-5.36627617550232e-07,2.43028443683099e-06,2.33158248994153e-06,3.38935097873478e-06,4.42711534846459e-06,4.7448803039111e-06,8.20555427603561e-06,4.04658759820497e-06,3.25342912949998e-06,3.63202328549845e-06,1.49252571976236e-06,1.07919752088841e-06,1.55441583591192e-06,3.75243477097999e-06,4.67671267494264e-06,5.93546392056586e-06,7.30753200629713e-06,7.01811116606657e-06,1.12973693376782e-05,6.78593755476614e-06,6.08536696804622e-06,6.73631518827951e-06,4.57410977690264e-06,4.80767998001904e-06,-1.75850109053532e-05
"m07_x_high_x_young",-6.20654349689861e-06,3.81995616723937e-06,7.93683337828015e-06,7.02779402038319e-06,9.18326026106259e-06,1.02008130581962e-05,1.06403341373855e-05,1.33560834386754e-05,1.29582122034845e-05,8.91521848474276e-06,5.17118023346584e-06,4.04353046336013e-06,5.02414301771145e-06,-2.26773235725352e-06,-1.92540216923511e-06,-9.72655745812543e-07,-1.62995029247914e-06,-4.43844404696102e-06,-1.32207659602755e-06,-1.95079447569511e-06,-1.70661290385678e-06,-1.20074244539172e-06,-2.59301010384705e-07,1.9149675358569e-07,3.28444904892989e-06,-2.99460382116207e-06,-2.8145969108786e-06,-2.02898808676268e-06,-3.75420178178975e-06,-5.13962040453764e-06,-4.17669212052685e-06,-4.46601005700796e-06,-3.245529820156e-06,-1.76829018744479e-06,-3.32824101563882e-07,-9.68598253421744e-07,3.38721679850257e-06,-1.02939211787957e-07,-1.97667971160405e-06,4.12701085617434e-07,-6.80264808206097e-07,-1.21941601086407e-06,1.03104272747993e-07
"m08_x_high_x_young",-4.55964064437697e-06,3.26501308321198e-07,7.54350798999694e-06,6.90038300807306e-06,7.89278324565984e-06,9.17326401273439e-06,8.94451108931453e-06,1.29582122034845e-05,1.6618001568655e-05,1.00280133901466e-05,5.26848709164039e-06,4.02639445806954e-06,5.15372241632848e-06,-2.12356183423998e-06,-1.24093406912243e-06,1.32906164385426e-07,7.47792599786706e-08,-2.60278021623016e-06,7.28324091172387e-07,5.52435681898007e-07,-5.89927327248162e-07,-1.72517148917243e-07,8.30780265396477e-07,1.22036077441681e-06,4.14636687576625e-06,-2.50755084707004e-06,-1.36328504290056e-06,-3.44588328278708e-07,-1.45055612156827e-06,-2.5609061147618e-06,-2.10346456593262e-06,-1.86497270653556e-06,-1.8437190494584e-06,-5.05583644157844e-07,1.0164790236812e-06,2.49119851823022e-07,4.18269250834908e-06,3.16061872750103e-06,-2.81427080806631e-07,3.24474578177356e-06,2.66715963953388e-06,2.54737948681806e-06,5.77577847449998e-06
"m09_x_high_x_young",-3.20373871784878e-06,8.65778133102179e-07,6.67535456760844e-06,5.16067719868422e-06,5.38496056963657e-06,6.52234736994446e-06,6.98398907873981e-06,8.91521848474276e-06,1.00280133901466e-05,9.43246936012868e-06,5.18130033558286e-06,3.84456387951814e-06,4.64626668002564e-06,-8.00658842696183e-08,-5.51211347942013e-07,1.33881904763546e-06,1.19893599366105e-06,-9.88029731556785e-07,1.37628273900659e-06,1.4583285951671e-06,8.40480722576837e-07,-4.84270483136947e-07,1.5444859086777e-06,1.61540328129318e-06,4.84138616419501e-06,4.71721742466089e-07,-7.48772034523003e-07,1.08546439609093e-06,3.79860984453279e-07,-7.8850086432347e-07,-5.3472721149963e-08,4.77062345347349e-07,5.19690269987128e-07,1.61064262397518e-07,1.68499917703885e-06,1.66077579699543e-06,5.49113751343316e-06,2.68483267038158e-06,-1.31191736387379e-07,2.91221510835286e-06,2.67487883445111e-06,2.1611471952184e-06,7.3704477346332e-06
