"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"rb_x_high_x_young",5.97605543967727e-05,1.40078742370984e-06,-2.32284369675725e-05,-1.59287295120572e-05,1.2389858679753e-06,2.02424871171874e-06,2.80799890780567e-05,2.16580338527242e-05,1.97581734297766e-05,1.57767089843911e-05,3.79560685609299e-05,2.98925657675171e-05,2.51064329379031e-05,2.88672088692634e-05,3.47267349696409e-05
"q1_x_high_x_young",1.40078742370984e-06,0.000143999248044414,7.1840566715227e-05,-2.93180734383477e-05,7.14547101680114e-06,-2.05167826607417e-06,7.47007878003234e-06,1.38566965621227e-05,2.83165649697079e-05,5.03441638533775e-06,1.70277868086576e-05,2.43449309493779e-05,5.74074867093266e-05,1.23438539895215e-05,-2.64669144718366e-07
"q2_x_high_x_young",-2.32284369675725e-05,7.1840566715227e-05,9.2920820960707e-05,3.97369009936426e-05,1.62359780263663e-07,-2.09500447910716e-05,-1.6323286024179e-05,-1.52781128133249e-06,3.79267330514422e-06,-2.43755080465437e-06,-1.49309426864023e-05,-2.55919076993039e-06,-4.61130305181278e-07,-2.05491121199472e-05,-5.04777761956638e-05
"q3_x_high_x_young",-1.59287295120572e-05,-2.93180734383477e-05,3.97369009936426e-05,0.000123078231230091,-2.69772479405391e-06,-3.92482686447185e-05,-2.54377642303471e-05,-1.77673984622958e-05,-2.02564417963522e-05,-2.09042348124988e-05,-2.58603298050112e-05,-2.38505272130075e-05,-4.34009572508854e-05,-5.98171651561983e-05,-5.00737525726687e-05
"pq_2022Q4_x_high_x_young",1.2389858679753e-06,7.14547101680114e-06,1.62359780263663e-07,-2.69772479405391e-06,2.49409136200745e-05,1.97800923840494e-05,1.9991818190158e-05,1.89408061213949e-05,2.45127579137733e-05,1.89105614053854e-05,2.07671408840466e-05,1.67234138336154e-05,2.78228650032353e-05,2.3482189211424e-05,3.19120997522538e-05
"pq_2023Q1_x_high_x_young",2.02424871171874e-06,-2.05167826607417e-06,-2.09500447910716e-05,-3.92482686447185e-05,1.97800923840494e-05,0.00010230349580794,8.7089362308946e-05,7.75866011493868e-05,8.11471879071777e-05,9.6617810767298e-05,9.28437367028202e-05,8.31972893293916e-05,9.93713496991811e-05,0.000130998177288785,0.000126283049396195
"pq_2023Q2_x_high_x_young",2.80799890780567e-05,7.47007878003234e-06,-1.6323286024179e-05,-2.54377642303471e-05,1.9991818190158e-05,8.7089362308946e-05,0.000116874754839559,0.000106686294367754,0.000102861269083832,0.000102940228732932,0.000120496110779689,0.000105889606841922,0.000114336583726121,0.0001234636189988,0.000136608236400027
"pq_2023Q3_x_high_x_young",2.16580338527242e-05,1.38566965621227e-05,-1.52781128133249e-06,-1.77673984622958e-05,1.89408061213949e-05,7.75866011493868e-05,0.000106686294367754,0.00012587707346496,0.000117258544798314,0.000110022667629434,0.000126333307756798,0.000125114711601491,0.000126810325858836,0.000112267691627072,0.000113032819955208
"pq_2023Q4_x_high_x_young",1.97581734297766e-05,2.83165649697079e-05,3.79267330514422e-06,-2.02564417963522e-05,2.45127579137733e-05,8.11471879071777e-05,0.000102861269083832,0.000117258544798314,0.000145788055864645,0.000136315613164436,0.000145745153003947,0.000137814164029425,0.000158083195752118,0.000138093677956563,0.000120618655677276
"pq_2024Q1_x_high_x_young",1.57767089843911e-05,5.03441638533775e-06,-2.43755080465437e-06,-2.09042348124988e-05,1.89105614053854e-05,9.6617810767298e-05,0.000102940228732932,0.000110022667629434,0.000136315613164436,0.00020971816596013,0.000190482724073417,0.00017004813514702,0.000172373907939132,0.000234754645635206,0.000198322832199601
"pq_2024Q2_x_high_x_young",3.79560685609299e-05,1.70277868086576e-05,-1.49309426864023e-05,-2.58603298050112e-05,2.07671408840466e-05,9.28437367028202e-05,0.000120496110779689,0.000126333307756798,0.000145745153003947,0.000190482724073417,0.000225861451257008,0.000198852260881726,0.000209516479771416,0.000229397616867716,0.000219498281545585
"pq_2024Q3_x_high_x_young",2.98925657675171e-05,2.43449309493779e-05,-2.55919076993039e-06,-2.38505272130075e-05,1.67234138336154e-05,8.31972893293916e-05,0.000105889606841922,0.000125114711601491,0.000137814164029425,0.00017004813514702,0.000198852260881726,0.000211855600507025,0.000217052845447273,0.000222087690328291,0.000208467925416434
"pq_2024Q4_x_high_x_young",2.51064329379031e-05,5.74074867093266e-05,-4.61130305181278e-07,-4.34009572508854e-05,2.78228650032353e-05,9.93713496991811e-05,0.000114336583726121,0.000126810325858836,0.000158083195752118,0.000172373907939132,0.000209516479771416,0.000217052845447273,0.000286008831965884,0.000254939984707176,0.000252322620840781
"pq_2025Q1_x_high_x_young",2.88672088692634e-05,1.23438539895215e-05,-2.05491121199472e-05,-5.98171651561983e-05,2.3482189211424e-05,0.000130998177288785,0.0001234636189988,0.000112267691627072,0.000138093677956563,0.000234754645635206,0.000229397616867716,0.000222087690328291,0.000254939984707176,0.000545983284448244,0.00040522602460802
"pq_2025Q2_x_high_x_young",3.47267349696409e-05,-2.64669144718366e-07,-5.04777761956638e-05,-5.00737525726687e-05,3.19120997522538e-05,0.000126283049396195,0.000136608236400027,0.000113032819955208,0.000120618655677276,0.000198322832199601,0.000219498281545585,0.000208467925416434,0.000252322620840781,0.00040522602460802,0.000599229146764886
