fq,age_group,period,mean_value,total,n_firms,n_cells
1,22-25,post,4.378366246642743,1765493,32909,403231
1,22-25,pre,4.287831688137862,2562837,38900,597700
1,26-30,post,4.699963677560516,2173846,35482,462524
1,26-30,pre,4.603854472530599,3333384,43579,724042
1,31-34,post,4.328479093856584,2055941,35991,474980
1,31-34,pre,4.115021648762037,3000431,43562,729141
1,35-40,post,4.916377595099092,3004654,43359,611152
1,35-40,pre,4.519970863445508,4107858,50675,908824
1,41-49,post,5.449006672074169,4077726,50835,748343
1,41-49,pre,5.162964529816125,5784761,58928,1120434
1,50+,post,7.348658846804788,7889454,69148,1073591
1,50+,pre,6.900584441482008,10606357,75943,1537023
2,22-25,post,11.147953642475152,1621782,11586,145478
2,22-25,pre,10.864322938834189,2297348,13322,211458
2,26-30,post,12.553284725065854,2053981,12285,163621
2,26-30,pre,12.196378969645712,3042838,14644,249487
2,31-34,post,12.24587261998905,2013099,12156,164390
2,31-34,pre,11.450237900726224,2789152,14246,243589
2,35-40,post,14.411462454453986,2950574,14327,204738
2,35-40,pre,12.735422475249178,3814068,16368,299485
2,41-49,post,16.17012934710509,4095441,16893,253272
2,41-49,pre,15.05782844460408,5617609,19256,373069
2,50+,post,24.804221519857084,9025016,22892,363850
2,50+,pre,23.473754492496145,12076519,24818,514469
3,22-25,post,13.48400608912812,1355237,8342,100507
3,22-25,pre,12.851639310259,1858784,9582,144634
3,26-30,post,16.14171367089433,1980330,9301,122684
3,26-30,pre,15.465708096398592,2855743,10904,184650
3,31-34,post,15.376137325840967,1997514,9543,129910
3,31-34,pre,14.266435913129735,2703832,10996,189524
3,35-40,post,18.940401501674508,2991769,11076,157957
3,35-40,pre,16.852845177977585,3831191,12502,227332
3,41-49,post,21.299774286433973,4312544,13560,202469
3,41-49,pre,19.317151501665567,5816375,15427,301099
3,50+,post,31.4353625397667,9485935,19154,301760
3,50+,pre,29.19723816439832,12464009,20612,426890
4,22-25,post,5.328826386951785,1012493,17226,190003
4,22-25,pre,5.199099537428781,1474631,20962,283632
4,26-30,post,7.796787707151232,2320862,22411,297669
4,26-30,pre,7.721796358255761,3496468,26990,452805
4,31-34,post,7.595530062059994,2440459,23554,321302
4,31-34,pre,7.182528875302455,3381039,27525,470731
4,35-40,post,8.347447491804528,3503791,29426,419744
4,35-40,pre,7.297747006846957,4578840,34639,627432
4,41-49,post,8.079738306446895,4833760,40316,598257
4,41-49,pre,7.427852157123191,6755275,47256,909452
4,50+,post,8.723750106582647,8491899,62986,973423
4,50+,pre,7.813713408617476,10690332,67329,1368150
