arm,band,coef,se,t,n_firms,n_obs,status
seasonal,22-25,-0.0192186596982478,0.0124871730590572,-1.5390721028173877,153845,37826298,ok
seasonal,26-30,-0.009718420639178,0.0086053293399259,-1.1293490644324005,153845,37826298,ok
seasonal,31-34,0.0181366375814387,0.0064550298358427,2.8096907439113292,153845,37826298,ok
seasonal,35-40,0.0179877237408181,0.0052745196152415,3.4103055923500456,153845,37826298,ok
seasonal,41-49,0.0,0.0,,153845,37826298,reference
seasonal,50+,0.0675434337956589,0.0062517935999799,10.803848961980455,153845,37826298,ok
plain,22-25,-0.0380976138969093,0.0133666282830051,-2.8502037380173295,153845,37826298,ok
plain,26-30,-0.0146570635116685,0.0088047889509962,-1.664669487621297,153845,37826298,ok
plain,31-34,0.0185960413553539,0.0065529201023526,2.8378251321388204,153845,37826298,ok
plain,35-40,0.0179561204373239,0.0053436894215493,3.3602477653197638,153845,37826298,ok
plain,41-49,0.0,0.0,,153845,37826298,reference
plain,50+,0.0709224339818091,0.0065375963734229,10.848395944131394,153845,37826298,ok
