"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000156088983072116,-2.51379621433831e-06,-7.25961813286182e-05,3.05702841415232e-05,4.44264969634538e-06,1.66673599897194e-05,6.12591542373095e-05,4.60815158751805e-06,4.14571429179852e-05,3.36518741384494e-05,5.52454178510808e-07,5.23390281174515e-05,-3.27330444489051e-05,-9.59976831607125e-07,4.80118904372919e-05,-5.71415444560947e-05,2.87837976599247e-06,-3.49418732464603e-05
"rb_x_high_x_female",-2.51379621433831e-06,1.77090748326198e-05,-1.41201400802585e-05,-4.85995487417117e-06,2.43333593254067e-07,-2.22521421455357e-06,-9.83264465661978e-06,1.29667774774599e-07,-1.02492235381345e-05,-1.20072299323528e-05,1.50220068563077e-06,-1.56537455205731e-05,-4.23408112189592e-06,-2.27637539536835e-06,-7.89632360101666e-06,6.19328420359823e-06,-1.33856133599608e-06,9.69419910743337e-06
"rb_x_high_x_young_x_female",-7.25961813286182e-05,-1.41201400802585e-05,0.000483174520656502,2.57959249992721e-06,2.21028505888929e-06,-7.07246387479427e-05,-1.77084024177888e-05,-8.90952198534014e-06,-9.69647938336449e-05,6.55050583040239e-05,-8.433684859753e-07,0.000102664570458536,3.9922667307747e-05,2.09189328750647e-06,1.65022621362499e-05,-5.44227204618427e-05,3.68160708424573e-06,-8.35878411965804e-05
"interim_x_high_x_young",3.05702841415232e-05,-4.85995487417117e-06,2.57959249992721e-06,0.000209021410870237,2.51829677720218e-05,-8.09300602718313e-05,0.000289013347573887,2.91264854340478e-05,-5.90391693979387e-05,7.81708483471702e-05,-2.87480207512775e-06,0.000116491420169492,1.10721751327379e-05,6.18287961774162e-07,7.07353361859257e-05,-9.13955374425141e-05,4.837073407223e-06,-7.47953677568419e-05
"interim_x_high_x_female",4.44264969634538e-06,2.43333593254067e-07,2.21028505888929e-06,2.51829677720218e-05,3.82084291229845e-05,-2.68104319639124e-05,1.96188507260382e-05,3.84295863452003e-05,-3.64316098178796e-05,1.17689560822466e-05,3.52674442230417e-07,7.46552538108734e-07,1.01382980278954e-05,1.10472389587502e-06,-4.18365615492736e-09,-3.26987860540074e-05,1.71134021333684e-06,-7.33077991843428e-06
"interim_x_high_x_young_x_female",1.66673599897194e-05,-2.22521421455357e-06,-7.07246387479427e-05,-8.09300602718313e-05,-2.68104319639124e-05,0.000445493504888208,-5.28574462847152e-05,-3.43966548883712e-05,0.000433376900629648,6.53747012868057e-05,-8.90301488392523e-07,5.51502993230869e-05,-2.6159574341423e-06,-4.35367139027925e-06,3.55735822120745e-05,-2.85990880933913e-05,-1.52342851996056e-06,-4.81613976508383e-06
"post_x_high_x_young",6.12591542373095e-05,-9.83264465661978e-06,-1.77084024177888e-05,0.000289013347573887,1.96188507260382e-05,-5.28574462847152e-05,0.00063576423619634,3.531365056096e-05,-8.67014129348014e-05,0.000135265326328565,-7.23408970451979e-06,0.000206303561112545,4.08994550005472e-05,1.91551543438504e-06,0.000130884014662784,-0.000131483459495927,8.45343264444948e-06,-0.000107845268014895
"post_x_high_x_female",4.60815158751805e-06,1.29667774774599e-07,-8.90952198534014e-06,2.91264854340478e-05,3.84295863452003e-05,-3.43966548883712e-05,3.531365056096e-05,5.7860000580927e-05,-6.05776952011299e-05,-2.64649765073075e-06,-1.40850455837953e-06,-1.6660411603402e-05,8.42921782518867e-06,1.72581547042232e-06,-1.23920200054137e-05,-2.24798355948336e-05,2.33518520667491e-07,8.61812571384453e-07
"post_x_high_x_young_x_female",4.14571429179852e-05,-1.02492235381345e-05,-9.69647938336449e-05,-5.90391693979387e-05,-3.64316098178796e-05,0.000433376900629648,-8.67014129348014e-05,-6.05776952011299e-05,0.000930750216478383,0.000111563001005082,-1.84548216802371e-06,6.8806978164621e-05,7.82359391724064e-06,-7.41276033940761e-06,5.42803772865023e-05,-4.99233000271145e-05,-3.64061578756544e-07,-5.70929422612978e-05
"q1_x_high_x_young",3.36518741384494e-05,-1.20072299323528e-05,6.55050583040239e-05,7.81708483471702e-05,1.17689560822466e-05,6.53747012868057e-05,0.000135265326328565,-2.64649765073075e-06,0.000111563001005082,0.000305488316787774,-4.70560630295314e-06,0.000258436800750557,0.000125093755987664,-9.68134858615052e-07,0.000167238506682906,-0.000182817490114439,6.41984426729879e-06,-0.00014530921741976
"q1_x_high_x_female",5.52454178510808e-07,1.50220068563077e-06,-8.433684859753e-07,-2.87480207512775e-06,3.52674442230417e-07,-8.90301488392523e-07,-7.23408970451979e-06,-1.40850455837953e-06,-1.84548216802371e-06,-4.70560630295314e-06,3.24502952964154e-06,-1.15765071071996e-05,-1.98014891350189e-06,1.54653618768099e-06,-7.52980534318893e-06,-2.60877173690522e-06,9.43945118573863e-07,2.95892025688514e-07
"q1_x_high_x_young_x_female",5.23390281174515e-05,-1.56537455205731e-05,0.000102664570458536,0.000116491420169492,7.46552538108734e-07,5.51502993230869e-05,0.000206303561112545,-1.6660411603402e-05,6.8806978164621e-05,0.000258436800750557,-1.15765071071996e-05,0.000489834218100801,2.77392325465655e-05,-2.36555225837494e-06,0.000322480422858273,-0.000191143728766592,8.71958032146694e-06,-0.000157692300696503
"q2_x_high_x_young",-3.27330444489051e-05,-4.23408112189592e-06,3.9922667307747e-05,1.10721751327379e-05,1.01382980278954e-05,-2.6159574341423e-06,4.08994550005472e-05,8.42921782518867e-06,7.82359391724064e-06,0.000125093755987664,-1.98014891350189e-06,2.77392325465655e-05,0.000138827809146707,2.77970761737194e-07,2.59448926079561e-05,-2.24561304769443e-05,1.79118311708131e-07,-4.39926946949033e-06
"q2_x_high_x_female",-9.59976831607125e-07,-2.27637539536835e-06,2.09189328750647e-06,6.18287961774162e-07,1.10472389587502e-06,-4.35367139027925e-06,1.91551543438504e-06,1.72581547042232e-06,-7.41276033940761e-06,-9.68134858615052e-07,1.54653618768099e-06,-2.36555225837494e-06,2.77970761737194e-07,5.71275566523042e-06,-5.16621415508086e-06,-4.67959107703434e-06,1.85191110754457e-06,-3.52953651147646e-06
"q2_x_high_x_young_x_female",4.80118904372919e-05,-7.89632360101666e-06,1.65022621362499e-05,7.07353361859257e-05,-4.18365615492736e-09,3.55735822120745e-05,0.000130884014662784,-1.23920200054137e-05,5.42803772865023e-05,0.000167238506682906,-7.52980534318893e-06,0.000322480422858273,2.59448926079561e-05,-5.16621415508086e-06,0.000277782414439432,-0.00011484822724956,4.74928793439135e-06,-5.47130924941274e-05
"q3_x_high_x_young",-5.71415444560947e-05,6.19328420359823e-06,-5.44227204618427e-05,-9.13955374425141e-05,-3.26987860540074e-05,-2.85990880933913e-05,-0.000131483459495927,-2.24798355948336e-05,-4.99233000271145e-05,-0.000182817490114439,-2.60877173690522e-06,-0.000191143728766592,-2.24561304769443e-05,-4.67959107703434e-06,-0.00011484822724956,0.000327436697751188,-7.66235535373462e-06,0.00019849979281549
"q3_x_high_x_female",2.87837976599247e-06,-1.33856133599608e-06,3.68160708424573e-06,4.837073407223e-06,1.71134021333684e-06,-1.52342851996056e-06,8.45343264444948e-06,2.33518520667491e-07,-3.64061578756544e-07,6.41984426729879e-06,9.43945118573863e-07,8.71958032146694e-06,1.79118311708131e-07,1.85191110754457e-06,4.74928793439135e-06,-7.66235535373462e-06,2.72775603318491e-06,-8.80339415578314e-06
"q3_x_high_x_young_x_female",-3.49418732464603e-05,9.69419910743337e-06,-8.35878411965804e-05,-7.47953677568419e-05,-7.33077991843428e-06,-4.81613976508383e-06,-0.000107845268014895,8.61812571384453e-07,-5.70929422612978e-05,-0.00014530921741976,2.95892025688514e-07,-0.000157692300696503,-4.39926946949033e-06,-3.52953651147646e-06,-5.47130924941274e-05,0.00019849979281549,-8.80339415578314e-06,0.000288071587390744
