"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.00158366574577262,6.50001208214463e-05,-0.00149982215155172,-0.000316167412295017,-9.4241785766541e-06,0.000309594649638064,-0.000429368716385023,4.68431657626008e-06,0.000404968565744642,0.000220624802568772,-2.57343656911303e-06,-0.000130562824681744,-5.70971738063653e-05,-1.24446105692808e-05,0.000158031779049477,-5.1439877134112e-05,-9.89490229289362e-06,0.000123550644610657
"rb_x_high_x_female",6.50001208214463e-05,0.000102880424690994,-0.000160903866284282,2.24311726221148e-07,-1.0221300869813e-05,4.49498636798185e-05,-4.52198394626497e-05,-2.04658370840658e-05,8.63373333463364e-05,8.72108955462327e-06,6.06239202057079e-06,-1.50132776141166e-05,-6.77069596555796e-06,-1.05926124104116e-05,1.90936256884781e-05,4.65098014559749e-06,-8.38536621443043e-06,1.5344395015623e-05
"rb_x_high_x_young_x_female",-0.00149982215155172,-0.000160903866284282,0.00436276374914147,0.000366412028624615,5.83247052715841e-05,-0.00112798059744132,0.000574386264252105,4.68196103951899e-05,-0.00185019261895338,-0.000247564737602293,-9.98473888403818e-06,0.000464770046650298,-1.93075895729177e-05,2.30557356197201e-05,-0.000410604274447494,6.91781450382471e-05,1.45861146609476e-05,-0.000359711956487478
"interim_x_high_x_young",-0.000316167412295017,2.24311726221148e-07,0.000366412028624615,0.00133230602343487,2.81801018575234e-07,-0.00106095852154593,0.00149384540859065,1.65162111267481e-05,-0.00107667160769205,-3.96392145187755e-05,-1.10893799860011e-07,0.000120551858074672,3.7384118878924e-05,3.76683831067381e-07,-3.00473911206034e-05,5.62218458726609e-05,-3.88114637655042e-07,-0.000109159885224561
"interim_x_high_x_female",-9.4241785766541e-06,-1.0221300869813e-05,5.83247052715841e-05,2.81801018575234e-07,0.00011715443781829,-0.000140349510331296,-1.46783124872485e-05,0.00013770621880871,-0.000122233795824332,8.82799324841183e-06,-4.21076655005265e-06,2.2088156997241e-05,4.64852239039937e-06,8.62593760568638e-07,9.48886241948325e-06,1.5951019201321e-05,3.06230803622741e-06,8.35086496477373e-06
"interim_x_high_x_young_x_female",0.000309594649638064,4.49498636798185e-05,-0.00112798059744132,-0.00106095852154593,-0.000140349510331296,0.00355229362554925,-0.00117157123137336,-0.000160669295112699,0.00342491009614413,0.0001175921243462,6.29975472000384e-06,-0.000189949214705986,-1.73338820726495e-05,-1.14834113357273e-05,0.000160371758293456,-9.29401802428925e-06,-1.9824949477262e-06,0.000298067928243847
"post_x_high_x_young",-0.000429368716385023,-4.52198394626497e-05,0.000574386264252105,0.00149384540859065,-1.46783124872485e-05,-0.00117157123137336,0.00351470565940235,2.99441088084766e-05,-0.0024445604074751,-0.000399999290194181,-2.19191662148106e-06,0.000224134195083012,-0.000175274082158767,8.09811866508737e-07,-5.3497407468901e-05,-0.000115717219818813,1.40713940666939e-05,-0.000123191909426499
"post_x_high_x_female",4.68431657626008e-06,-2.04658370840658e-05,4.68196103951899e-05,1.65162111267481e-05,0.00013770621880871,-0.000160669295112699,2.99441088084766e-05,0.000273255833640359,-0.000269673459152369,2.56816771027796e-05,-1.22452096833538e-05,4.01870241966165e-05,1.85454260369996e-05,2.44877930841653e-07,1.99254808374122e-05,2.86083429384436e-05,-8.36755246096265e-07,8.52286238178962e-06
"post_x_high_x_young_x_female",0.000404968565744642,8.63373333463364e-05,-0.00185019261895338,-0.00107667160769205,-0.000122233795824332,0.00342491009614413,-0.0024445604074751,-0.000269673459152369,0.00704085118879491,0.000145405471552438,2.46680836422477e-05,-0.000655621550141876,-6.72746231283957e-05,-7.76087082000969e-06,-1.25547853531996e-05,-5.62346449213804e-05,2.8441806971022e-06,0.000220055719103978
"q1_x_high_x_young",0.000220624802568772,8.72108955462327e-06,-0.000247564737602293,-3.96392145187755e-05,8.82799324841183e-06,0.0001175921243462,-0.000399999290194181,2.56816771027796e-05,0.000145405471552438,0.000517349894962876,-3.66917336549061e-06,-4.31127603316866e-05,0.000326123294252379,-6.16911652212373e-07,2.40375582513913e-05,0.000176306735559787,-7.78236765432441e-06,-2.04908174047312e-05
