"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000206358692715107,2.6437943118107e-07,-0.000136647453186817,7.78549215941871e-06,5.52777330163027e-07,1.2639427375443e-05,3.44826267645928e-05,9.41836848507979e-07,3.14289294560909e-05,2.29795578451605e-05,5.15850904272038e-06,-1.3598411791219e-05,-2.96973994188038e-05,7.37240238908203e-08,7.40630408312929e-06,-1.78153283167706e-05,3.41375503179974e-06,2.93113721244009e-06
"rb_x_high_x_female",2.6437943118107e-07,1.26313265167892e-05,-9.39776336374206e-06,6.93840937513633e-06,1.17458202332729e-06,-2.3343903203699e-06,9.38737661910024e-06,2.89215579736991e-06,1.07349382369341e-06,-3.7259190157384e-07,-8.66965435994105e-07,-2.77021294414232e-06,-7.35522499839556e-07,-2.18003977522704e-06,-6.27054253818029e-07,-2.06622245528713e-07,-1.58922490921699e-06,5.67688242865406e-07
"rb_x_high_x_young_x_female",-0.000136647453186817,-9.39776336374206e-06,0.000280053435819053,3.94471612677333e-05,-8.99339331634802e-06,-3.67362637306614e-05,6.15032387160039e-05,-9.58427327770456e-06,-8.47637876407071e-05,-2.89192071504259e-05,1.11669937762276e-06,4.22650614839311e-05,-1.18897527498412e-05,2.57827986373375e-06,-3.90909143517707e-06,-1.92748615797339e-06,-5.19217247463324e-07,-1.35760173512156e-05
"interim_x_high_x_young",7.78549215941871e-06,6.93840937513633e-06,3.94471612677333e-05,0.000251928644462067,-1.23931301676941e-05,-0.000151439966852442,0.000295276313267815,-5.24929737849081e-06,-0.00011247986552495,-2.48419957139822e-05,2.49559855929766e-06,5.86183195925823e-06,-3.48390344151709e-05,-1.20299873270158e-07,-5.26869921314607e-07,-2.21835966357882e-05,-1.97964535930929e-07,-1.67494145345256e-05
"interim_x_high_x_female",5.52777330163027e-07,1.17458202332729e-06,-8.99339331634802e-06,-1.23931301676941e-05,1.74960072695758e-05,-6.85427408557133e-06,-2.01274003976969e-06,2.11779131907941e-05,-1.66789518838596e-05,5.47692874319953e-07,-1.42345652315203e-06,-2.32340842286214e-06,3.33424843758226e-06,1.4308380898943e-07,-2.32474139521815e-06,1.38282761709004e-06,4.42187084023569e-07,-1.37569155099786e-06
"interim_x_high_x_young_x_female",1.2639427375443e-05,-2.3343903203699e-06,-3.67362637306614e-05,-0.000151439966852442,-6.85427408557133e-06,0.000252330751150349,-0.000154447816713274,-7.19721146449045e-06,0.000221157676188764,-3.40729749452937e-08,-2.85503600247949e-06,-6.03283104706911e-06,2.66555413211799e-06,-6.8622152988452e-07,6.12190942426209e-06,-3.32543425075509e-06,-2.32042729044924e-06,1.23844119115821e-05
"post_x_high_x_young",3.44826267645928e-05,9.38737661910024e-06,6.15032387160039e-05,0.000295276313267815,-2.01274003976969e-06,-0.000154447816713274,0.000661673563287452,2.40608165150834e-05,-0.000273287139851665,-3.18151370963778e-05,3.16014591322812e-06,1.5505566175676e-05,-6.64027330342075e-05,2.09626670259083e-06,4.68817472654133e-06,-6.96472641886067e-05,1.19908530410016e-06,-2.00752840749094e-05
"post_x_high_x_female",9.41836848507979e-07,2.89215579736991e-06,-9.58427327770456e-06,-5.24929737849081e-06,2.11779131907941e-05,-7.19721146449045e-06,2.40608165150834e-05,3.90994224802796e-05,-3.04833688701942e-05,-5.74469939294781e-07,-3.60150794907922e-06,-4.6641331586936e-06,3.58205516562747e-06,-4.84419825081884e-07,-3.97464655429703e-06,1.06412361262747e-07,-7.16849245822969e-07,-3.29220063796387e-06
"post_x_high_x_young_x_female",3.14289294560909e-05,1.07349382369341e-06,-8.47637876407071e-05,-0.00011247986552495,-1.66789518838596e-05,0.000221157676188764,-0.000273287139851665,-3.04833688701942e-05,0.000472116613271091,6.44136682424189e-06,-2.0487757283607e-06,-1.87244034889004e-05,-7.21310967556068e-06,-6.41294181525763e-07,-1.55056591307413e-06,-1.50424156776709e-05,-2.63891866954569e-06,3.63696156725337e-06
"q1_x_high_x_young",2.29795578451605e-05,-3.7259190157384e-07,-2.89192071504259e-05,-2.48419957139822e-05,5.47692874319953e-07,-3.40729749452937e-08,-3.18151370963778e-05,-5.74469939294781e-07,6.44136682424189e-06,0.000103728725505378,-2.27204597761203e-06,-2.87580734206033e-05,7.15570298229437e-05,-2.25599984124709e-06,-2.240036384802e-05,4.04193782386422e-05,-4.41707589664839e-07,-7.44932450856778e-06
