young_band,boundary,is_reported,rb_coef,rb_se,interim_coef,interim_se,post_coef,post_se,step_coef,step_se,step_t,level_vs_reference,n_firms,n_obs,status
22-25,2023-07,False,0.0133521832577527,0.0076337912605237,-0.0065843600455642,0.0085319590374136,-0.0472315533262251,0.0135320132517323,-0.040647193280660895,0.010045325057206601,-4.0463790916850675,-0.0338793700684724,104217,24884226,ok
22-25,2023-10,False,0.0154139426289531,0.0075098283416427,-0.0127332750341709,0.0091692328560927,-0.0538108913886094,0.0146546686277717,-0.041077616354438504,0.009948804847325136,-4.128899599983886,-0.0383969487596563,104217,24884226,ok
22-25,2024-01,True,0.0159026409405227,0.0074886603471222,-0.0179179369340303,0.0096626258479721,-0.0577798336502001,0.0154935051191686,-0.0398618967161698,0.010245433478891902,-3.890698895102394,-0.041877192709677394,104217,24884226,ok
22-25,2024-04,False,0.0127336914711472,0.0076888398711556,-0.0195496743335999,0.0098723520188181,-0.0587270160444097,0.015814527089576,-0.0391773417108098,0.010659969876709878,-3.675183153791575,-0.045993324573262495,104217,24884226,ok
22-25,2024-07,False,0.0141852930384859,0.0075754102314472,-0.0234753351133863,0.0103689872562922,-0.0638131698424965,0.0168467248225617,-0.040337834729110206,0.011351152654492847,-3.553633358383589,-0.04962787680401061,104217,24884226,ok
26-30,2023-07,False,0.0157976532595603,0.0045267298348509,0.0032700386534208,0.0047282229240793,-0.0378747356424615,0.0089365044303285,-0.0411447742958823,0.006641560206544498,-6.195046497559238,-0.0220770823829012,117090,28077246,ok
26-30,2023-10,False,0.0178214098916445,0.004443283868601,-0.0037734516308802,0.0052697857544028,-0.0437134725141911,0.0097341413384332,-0.0399400208833109,0.006551407376121531,-6.096403198629302,-0.0258920626225466,117090,28077246,ok
26-30,2024-01,True,0.0183900247256397,0.0044229201167001,-0.0079610883383595,0.0057058017212049,-0.0482395072048235,0.0103523581787355,-0.040278418866464,0.006748377821886895,-5.968607557186516,-0.0298494824791838,117090,28077246,ok
26-30,2024-04,False,0.0149199528945873,0.0045591703241069,-0.0074534695279332,0.0058641735655034,-0.0516105317527752,0.0105468007448217,-0.044157062224841996,0.0068007080282165774,-6.493009557480117,-0.0366905788581879,117090,28077246,ok
26-30,2024-07,False,0.0165041358632274,0.004476890131843,-0.0103831497772757,0.0063362043181704,-0.0601214954208267,0.0111742952918127,-0.049738345643550994,0.0069766855789257405,-7.129222763570438,-0.043617359557599295,117090,28077246,ok
