year,quartile_group,decl_band,n_total,n_counted,n_no_register,n_register_no_birth_or_sex,n_outside_age_range,share_no_register,share_not_counted
2019,Q1,all,17475888,15682420,35846,0,1757622,0.0020511690164185074,0.10262528576516398
2019,Q1-Q3,all,57496680,45491041,354398,0,11651241,0.0061637993706767065,0.2088057780031821
2019,Q2,all,19140038,14956881,107957,0,4075200,0.00564037542663186,0.21855531321306676
2019,Q3,all,20880754,14851740,210595,0,5818419,0.010085603230611308,0.2887354546679684
2019,Q4,all,16224824,14775152,96575,0,1353097,0.005952298773780227,0.0893490123529229
2019,all,all,75461082,61611826,461575,0,13387681,0.006116729150530866,0.18352845775521745
2019,unscored,all,1739578,1345633,10602,0,383343,0.006094581559435679,0.2264600954944245
2020,Q1,all,16536291,14982411,12388,0,1541492,0.0007491401790159595,0.09396786740146264
2020,Q1-Q3,all,55993466,44198078,104687,0,11690701,0.0018696288599101903,0.21065650767180585
2020,Q2,all,18886788,14672711,28388,0,4185689,0.0015030612934290363,0.22312301064638412
2020,Q3,all,20570387,14542956,63911,0,5963520,0.0031069420327386158,0.2930149539724265
2020,Q4,all,15779155,14627664,41496,0,1109995,0.0026297986172263343,0.07297545400878565
2020,all,all,73865984,60512106,151089,0,13202789,0.0020454476041367026,0.18078521772619993
2020,unscored,all,2093363,1686364,4906,0,402093,0.0023435973598463335,0.19442351852019932
2021,Q1,all,16218898,14623287,10742,0,1584869,0.0006623138020844573,0.09837974195287498
2021,Q1-Q3,all,55849062,43842392,99723,0,11906947,0.001785580570717553,0.21498427314678983
2021,Q2,all,19008571,14715023,27370,0,4266178,0.001439876779795809,0.22587431743290962
2021,Q3,all,20621593,14504082,61611,0,6055900,0.002987693530756814,0.29665559784833306
2021,Q4,all,15858660,14687448,34640,0,1136572,0.0021842955205547,0.07385315026616372
2021,all,all,75030237,61308402,140605,0,13581230,0.0018739778204352466,0.18288406845896008
2021,unscored,all,3322515,2778562,6242,0,537711,0.0018786973121265066,0.16371724431642898
2022,Q1,all,16706100,14843855,12923,0,1849322,0.0007735497812176391,0.11147095970932773
2022,Q1-Q3,all,57038290,44360320,102163,0,12575807,0.0017911301338101124,0.22227121465247293
2022,Q2,all,19331174,14828080,27815,0,4475279,0.0014388676031781619,0.23294467268257996
2022,Q3,all,21001016,14688385,61425,0,6251206,0.0029248584925605503,0.3005869335083598
2022,Q4,all,16316739,15047174,35277,0,1234288,0.0021620128875016018,0.07780752024041078
2022,all,all,78023805,63356713,146985,0,14520107,0.001883848140961595,0.18798227028276818
2022,unscored,all,4668776,3949219,9545,0,710012,0.002044433059114423,0.15412112296670477
2023,Q1,all,16621081,14551773,13708,0,2055600,0.0008247357677879074,0.12449900220087971
2023,Q1-Q3,all,57749015,44202776,110977,0,13435262,0.0019217124309392983,0.23457090999733934
2023,Q2,all,19560927,14809454,29896,0,4721577,0.0015283529251962343,0.24290633056398606
2023,Q3,all,21567007,14841549,67373,0,6658085,0.003123891970731034,0.3118401176389473
2023,Q4,all,17344693,15329411,44744,0,1970538,0.002579693973251645,0.11619012224661457
2023,all,all,80683697,64308238,164442,0,16211017,0.002038106905289677,0.20295870924209136
2023,unscored,all,5589989,4776051,8721,0,805217,0.001560110404510635,0.1456063688139637
2024,Q1,all,15990014,14038089,11231,0,1940694,0.000702375870340076,0.12207150037517166
2024,Q1-Q3,all,56837653,43372403,108940,0,13356310,0.0019166871651086648,0.23690721360362998
2024,Q2,all,19356465,14602131,30064,0,4724270,0.0015531761610397352,0.2456199517835514
2024,Q3,all,21491174,14732183,67645,0,6691346,0.0031475711843382778,0.3145007806460457
2024,Q4,all,17071773,15075529,39478,0,1956766,0.0023124721726325674,0.11693243578156762
2024,all,all,80173757,63844713,156312,0,16172732,0.001949665399863948,0.2036706849100261
2024,unscored,all,6264331,5396781,7894,0,859656,0.0012601505252516191,0.1384904469447735
2025,Q1,all,7810141,6929025,6218,0,874898,0.0007961443973930816,0.11281691329260253
2025,Q1-Q3,all,28069029,21477933,57380,0,6533716,0.002044245990839227,0.23481738538230162
2025,Q2,all,9483916,7157762,16227,0,2309927,0.0017110020797316214,0.24527357686424048
2025,Q3,all,10774972,7391146,34935,0,3348891,0.0032422358034897908,0.3140449924139014
2025,Q4,all,8557561,7527735,21238,0,1008588,0.0024817819002400333,0.12034106446918695
2025,all,all,39924240,31902153,83915,0,7938172,0.0021018559151032056,0.2009327416126143
2025,unscored,all,3297650,2896485,5297,0,395868,0.0016062953921732142,0.12165178232984095
