year_month,exposure_quartile,n_occ,n_zero,zero_share
2020-01,Q1 (lowest),103,7,0.06796116504854369
2020-01,Q2,99,0,0.0
2020-01,Q3,76,0,0.0
2020-01,Q4 (highest),91,2,0.02197802197802198
2020-02,Q1 (lowest),103,3,0.02912621359223301
2020-02,Q2,99,3,0.030303030303030304
2020-02,Q3,76,0,0.0
2020-02,Q4 (highest),91,1,0.01098901098901099
2020-03,Q1 (lowest),103,5,0.04854368932038835
2020-03,Q2,99,1,0.010101010101010102
2020-03,Q3,76,2,0.02631578947368421
2020-03,Q4 (highest),91,2,0.02197802197802198
2020-04,Q1 (lowest),103,8,0.07766990291262135
2020-04,Q2,99,4,0.04040404040404041
2020-04,Q3,76,3,0.039473684210526314
2020-04,Q4 (highest),91,1,0.01098901098901099
2020-05,Q1 (lowest),103,13,0.1262135922330097
2020-05,Q2,99,2,0.020202020202020204
2020-05,Q3,76,5,0.06578947368421052
2020-05,Q4 (highest),91,3,0.03296703296703297
2020-06,Q1 (lowest),103,11,0.10679611650485436
2020-06,Q2,99,1,0.010101010101010102
2020-06,Q3,76,4,0.05263157894736842
2020-06,Q4 (highest),91,0,0.0
2020-07,Q1 (lowest),103,16,0.1553398058252427
2020-07,Q2,99,3,0.030303030303030304
2020-07,Q3,76,4,0.05263157894736842
2020-07,Q4 (highest),91,2,0.02197802197802198
2020-08,Q1 (lowest),103,9,0.08737864077669903
2020-08,Q2,99,3,0.030303030303030304
2020-08,Q3,76,2,0.02631578947368421
2020-08,Q4 (highest),91,0,0.0
2020-09,Q1 (lowest),103,8,0.07766990291262135
2020-09,Q2,99,1,0.010101010101010102
2020-09,Q3,76,2,0.02631578947368421
2020-09,Q4 (highest),91,2,0.02197802197802198
2020-10,Q1 (lowest),103,5,0.04854368932038835
2020-10,Q2,99,0,0.0
2020-10,Q3,76,4,0.05263157894736842
2020-10,Q4 (highest),91,0,0.0
2020-11,Q1 (lowest),103,7,0.06796116504854369
2020-11,Q2,99,1,0.010101010101010102
2020-11,Q3,76,4,0.05263157894736842
2020-11,Q4 (highest),91,1,0.01098901098901099
2020-12,Q1 (lowest),103,5,0.04854368932038835
2020-12,Q2,99,3,0.030303030303030304
2020-12,Q3,76,3,0.039473684210526314
2020-12,Q4 (highest),91,0,0.0
2021-01,Q1 (lowest),103,5,0.04854368932038835
2021-01,Q2,99,1,0.010101010101010102
2021-01,Q3,76,1,0.013157894736842105
2021-01,Q4 (highest),91,0,0.0
2021-02,Q1 (lowest),103,4,0.038834951456310676
2021-02,Q2,99,4,0.04040404040404041
2021-02,Q3,76,2,0.02631578947368421
2021-02,Q4 (highest),91,0,0.0
2021-03,Q1 (lowest),103,5,0.04854368932038835
2021-03,Q2,99,2,0.020202020202020204
2021-03,Q3,76,4,0.05263157894736842
2021-03,Q4 (highest),91,1,0.01098901098901099
2021-04,Q1 (lowest),103,5,0.04854368932038835
2021-04,Q2,99,1,0.010101010101010102
2021-04,Q3,76,0,0.0
2021-04,Q4 (highest),91,1,0.01098901098901099
2021-05,Q1 (lowest),103,5,0.04854368932038835
2021-05,Q2,99,0,0.0
2021-05,Q3,76,1,0.013157894736842105
2021-05,Q4 (highest),91,1,0.01098901098901099
2021-06,Q1 (lowest),103,8,0.07766990291262135
2021-06,Q2,99,2,0.020202020202020204
2021-06,Q3,76,1,0.013157894736842105
2021-06,Q4 (highest),91,1,0.01098901098901099
2021-07,Q1 (lowest),103,5,0.04854368932038835
2021-07,Q2,99,1,0.010101010101010102
2021-07,Q3,76,3,0.039473684210526314
2021-07,Q4 (highest),91,1,0.01098901098901099
2021-08,Q1 (lowest),103,3,0.02912621359223301
2021-08,Q2,99,1,0.010101010101010102
2021-08,Q3,76,1,0.013157894736842105
2021-08,Q4 (highest),91,2,0.02197802197802198
2021-09,Q1 (lowest),103,4,0.038834951456310676
2021-09,Q2,99,0,0.0
2021-09,Q3,76,2,0.02631578947368421
2021-09,Q4 (highest),91,1,0.01098901098901099
2021-10,Q1 (lowest),103,3,0.02912621359223301
2021-10,Q2,99,1,0.010101010101010102
2021-10,Q3,76,0,0.0
2021-10,Q4 (highest),91,1,0.01098901098901099
2021-11,Q1 (lowest),103,6,0.05825242718446602
2021-11,Q2,99,1,0.010101010101010102
2021-11,Q3,76,0,0.0
2021-11,Q4 (highest),91,0,0.0
2021-12,Q1 (lowest),103,4,0.038834951456310676
2021-12,Q2,99,1,0.010101010101010102
2021-12,Q3,76,2,0.02631578947368421
2021-12,Q4 (highest),91,2,0.02197802197802198
2022-01,Q1 (lowest),103,2,0.019417475728155338
2022-01,Q2,99,2,0.020202020202020204
2022-01,Q3,76,0,0.0
2022-01,Q4 (highest),91,1,0.01098901098901099
2022-02,Q1 (lowest),103,3,0.02912621359223301
2022-02,Q2,99,0,0.0
2022-02,Q3,76,1,0.013157894736842105
2022-02,Q4 (highest),91,1,0.01098901098901099
2022-03,Q1 (lowest),103,4,0.038834951456310676
2022-03,Q2,99,0,0.0
2022-03,Q3,76,1,0.013157894736842105
2022-03,Q4 (highest),91,1,0.01098901098901099
2022-04,Q1 (lowest),103,5,0.04854368932038835
2022-04,Q2,99,3,0.030303030303030304
2022-04,Q3,76,1,0.013157894736842105
2022-04,Q4 (highest),91,0,0.0
2022-05,Q1 (lowest),103,4,0.038834951456310676
2022-05,Q2,99,1,0.010101010101010102
2022-05,Q3,76,0,0.0
2022-05,Q4 (highest),91,0,0.0
2022-06,Q1 (lowest),103,4,0.038834951456310676
2022-06,Q2,99,0,0.0
2022-06,Q3,76,0,0.0
2022-06,Q4 (highest),91,0,0.0
2022-07,Q1 (lowest),103,6,0.05825242718446602
2022-07,Q2,99,2,0.020202020202020204
